Wavelength (nm)	H08 ems
450.00	0.011786
451.00	0.014620
452.00	0.016600
453.00	0.019704
454.00	0.023804
455.00	0.029416
456.00	0.034588
457.00	0.041995
458.00	0.050965
459.00	0.061002
460.00	0.070934
461.00	0.085298
462.00	0.10203
463.00	0.12066
464.00	0.14097
465.00	0.16401
466.00	0.18917
467.00	0.21995
468.00	0.25282
469.00	0.28654
470.00	0.32475
471.00	0.36647
472.00	0.41486
473.00	0.46452
474.00	0.52010
475.00	0.57836
476.00	0.63953
477.00	0.69742
478.00	0.76315
479.00	0.81542
480.00	0.86772
481.00	0.91465
482.00	0.95672
483.00	0.98781
484.00	1.0000
485.00	0.99237
486.00	0.99306
487.00	0.97695
488.00	0.95951
489.00	0.93585
490.00	0.92006
491.00	0.90759
492.00	0.88433
493.00	0.87431
494.00	0.85541
495.00	0.84190
496.00	0.82592
497.00	0.81545
498.00	0.80000
499.00	0.79026
500.00	0.77396
501.00	0.76906
502.00	0.74276
503.00	0.73239
504.00	0.72177
505.00	0.71076
506.00	0.70883
507.00	0.69267
508.00	0.68873
509.00	0.67720
510.00	0.66505
511.00	0.64872
512.00	0.64538
513.00	0.63141
514.00	0.62734
515.00	0.60901
516.00	0.60845
517.00	0.59777
518.00	0.58610
519.00	0.57037
520.00	0.56473
521.00	0.55555
522.00	0.54285
523.00	0.53373
524.00	0.52449
525.00	0.50884
526.00	0.49569
527.00	0.48967
528.00	0.47894
529.00	0.46362
530.00	0.45306
531.00	0.43779
532.00	0.42906
533.00	0.41717
534.00	0.40524
535.00	0.38942
536.00	0.37686
537.00	0.36610
538.00	0.35857
539.00	0.34687
540.00	0.34319
541.00	0.32860
542.00	0.31740
543.00	0.31240
544.00	0.30246
545.00	0.29454
546.00	0.28406
547.00	0.27696
548.00	0.27347
549.00	0.26511
550.00	0.25635
551.00	0.25060
552.00	0.24435
553.00	0.23918
554.00	0.23274
555.00	0.22855
556.00	0.22144
557.00	0.21789
558.00	0.21591
559.00	0.20746
560.00	0.20195
561.00	0.19875
562.00	0.19131
563.00	0.18664
564.00	0.18267
565.00	0.17701
566.00	0.17496
567.00	0.17080
568.00	0.16427
569.00	0.15987
570.00	0.15504
571.00	0.14961
572.00	0.14686
573.00	0.14215
574.00	0.13841
575.00	0.13465
576.00	0.13024
577.00	0.12760
578.00	0.12163
579.00	0.11949
580.00	0.11543
581.00	0.11231
582.00	0.10883
583.00	0.10507
584.00	0.10128
585.00	0.099747
586.00	0.095817
587.00	0.093393
588.00	0.091152
589.00	0.088487
590.00	0.085770
591.00	0.082445
592.00	0.079941
593.00	0.081151
594.00	0.077412
595.00	0.073112
596.00	0.070336
597.00	0.070346
598.00	0.068941
599.00	0.065362
600.00	0.062924
601.00	0.061061
602.00	0.058692
603.00	0.057150
604.00	0.054824
605.00	0.054144
606.00	0.052013
607.00	0.050361
608.00	0.049725
609.00	0.046794
610.00	0.045825
611.00	0.043763
612.00	0.042559
613.00	0.041421
614.00	0.041052
615.00	0.038945
616.00	0.037676
617.00	0.035894
618.00	0.034995
619.00	0.034221
620.00	0.032812
621.00	0.032493
622.00	0.031694
623.00	0.030414
624.00	0.029746
625.00	0.028729
626.00	0.027290
627.00	0.027228
628.00	0.026475
629.00	0.025811
630.00	0.024029
631.00	0.024010
632.00	0.022928
633.00	0.022243
634.00	0.022118
635.00	0.022383
636.00	0.020450
637.00	0.020874
638.00	0.019595
639.00	0.018648
640.00	0.017963
641.00	0.017672
642.00	0.017392
643.00	0.016685
644.00	0.016953
645.00	0.016831
646.00	0.016181
647.00	0.015282
648.00	0.014960
649.00	0.014536
650.00	0.014372
651.00	0.014110
652.00	0.013279
653.00	0.012865
654.00	0.013295
655.00	0.012636
656.00	0.012171
657.00	0.012567
658.00	0.012104
659.00	0.011533
660.00	0.010940
661.00	0.011672
662.00	0.011143
663.00	0.010842
664.00	0.010141
665.00	0.010476
666.00	0.010227
667.00	0.0097512
668.00	0.0092810
669.00	0.0095574
670.00	0.0089356
671.00	0.0095500
672.00	0.0089487
673.00	0.0096565
674.00	0.0085000
675.00	0.0080216
676.00	0.0089002
677.00	0.0082166
678.00	0.0085115
679.00	0.0080938
680.00	0.0079673
681.00	0.0076799
682.00	0.0080636
683.00	0.0081935
684.00	0.0072886
685.00	0.0076856
686.00	0.0077544
687.00	0.0071116
688.00	0.0079129
689.00	0.0075664
690.00	0.0076062
691.00	0.0069370
692.00	0.0069914
693.00	0.0079625
694.00	0.0071452
695.00	0.0071132
696.00	0.0063459
697.00	0.0067808
698.00	0.0066618
699.00	0.0064242
700.00	0.0072669
