Wavelength (nm)	H11 abs N
220.00	0.55866
220.25	0.55706
220.50	0.56071
220.75	0.55551
221.00	0.55783
221.25	0.55574
221.50	0.55007
221.75	0.55006
222.00	0.54556
222.25	0.54309
222.50	0.54062
222.75	0.53627
223.00	0.53264
223.25	0.52902
223.50	0.52519
223.75	0.52172
224.00	0.51400
224.25	0.50982
224.50	0.50640
224.75	0.50065
225.00	0.49546
225.25	0.48839
225.50	0.48235
225.75	0.47512
226.00	0.47124
226.25	0.46275
226.50	0.45458
226.75	0.44467
227.00	0.43682
227.25	0.42934
227.50	0.41658
227.75	0.40944
228.00	0.39936
228.25	0.38706
228.50	0.37746
228.75	0.36601
229.00	0.35575
229.25	0.34392
229.50	0.33405
229.75	0.31865
230.00	0.31179
230.25	0.29698
230.50	0.28538
230.75	0.27412
231.00	0.26065
231.25	0.25331
231.50	0.24173
231.75	0.23075
232.00	0.22322
232.25	0.21339
232.50	0.20442
232.75	0.19677
233.00	0.18904
233.25	0.18097
233.50	0.17323
233.75	0.16461
234.00	0.15818
234.25	0.15339
234.50	0.14510
234.75	0.13749
235.00	0.13216
235.25	0.12738
235.50	0.12268
235.75	0.11772
236.00	0.11351
236.25	0.10903
236.50	0.10737
236.75	0.10375
237.00	0.10261
237.25	0.098590
237.50	0.095809
237.75	0.093465
238.00	0.093742
238.25	0.090424
238.50	0.090188
238.75	0.087508
239.00	0.086181
239.25	0.087458
239.50	0.086206
239.75	0.082887
240.00	0.084424
240.25	0.083265
240.50	0.083408
240.75	0.083483
241.00	0.082240
241.25	0.081895
241.50	0.081988
241.75	0.084315
242.00	0.083920
242.25	0.082946
242.50	0.084130
242.75	0.082223
243.00	0.085307
243.25	0.084878
243.50	0.086861
243.75	0.087558
244.00	0.087516
244.25	0.087189
244.50	0.089919
244.75	0.091222
245.00	0.091440
245.25	0.091516
245.50	0.093163
245.75	0.094146
246.00	0.094347
246.25	0.096397
246.50	0.097179
246.75	0.098196
247.00	0.10106
247.25	0.10015
247.50	0.10217
247.75	0.10255
248.00	0.10322
248.25	0.10561
248.50	0.10687
248.75	0.10898
249.00	0.10977
249.25	0.11127
249.50	0.11281
249.75	0.11543
250.00	0.11628
250.25	0.11689
250.50	0.11922
250.75	0.12041
251.00	0.12106
251.25	0.12347
251.50	0.12491
251.75	0.12601
252.00	0.12959
252.25	0.13037
252.50	0.13101
252.75	0.13136
253.00	0.13358
253.25	0.13499
253.50	0.13837
253.75	0.13904
254.00	0.14081
254.25	0.14315
254.50	0.14228
254.75	0.14158
255.00	0.14393
255.25	0.14506
255.50	0.14865
255.75	0.14993
256.00	0.14964
256.25	0.15236
256.50	0.15368
256.75	0.15327
257.00	0.15606
257.25	0.15806
257.50	0.15875
257.75	0.16072
258.00	0.16114
258.25	0.16324
258.50	0.16351
258.75	0.16469
259.00	0.16661
259.25	0.16730
259.50	0.16892
259.75	0.16832
260.00	0.16966
260.25	0.17187
260.50	0.17257
260.75	0.17319
261.00	0.17436
261.25	0.17337
261.50	0.17439
261.75	0.17654
262.00	0.17680
262.25	0.17743
262.50	0.17902
262.75	0.17854
263.00	0.17795
263.25	0.17965
263.50	0.17857
263.75	0.17964
264.00	0.18175
264.25	0.18121
264.50	0.18149
264.75	0.18199
265.00	0.18135
265.25	0.18167
265.50	0.18365
265.75	0.18454
266.00	0.18305
266.25	0.18138
266.50	0.18253
266.75	0.18188
267.00	0.18282
267.25	0.18272
267.50	0.18250
267.75	0.18133
268.00	0.18212
268.25	0.18199
268.50	0.18331
268.75	0.17902
269.00	0.17897
269.25	0.17864
269.50	0.17856
269.75	0.17670
270.00	0.17463
270.25	0.17355
270.50	0.17239
270.75	0.17213
271.00	0.17150
271.25	0.17006
271.50	0.16954
271.75	0.16806
272.00	0.16550
272.25	0.16463
272.50	0.16270
272.75	0.16329
273.00	0.16061
273.25	0.16022
273.50	0.15792
273.75	0.15695
274.00	0.15585
274.25	0.15520
274.50	0.15238
274.75	0.15231
275.00	0.14947
275.25	0.15027
275.50	0.14627
275.75	0.14490
276.00	0.14560
276.25	0.14321
276.50	0.14386
276.75	0.14287
277.00	0.14035
277.25	0.13769
277.50	0.13785
277.75	0.13660
278.00	0.13628
278.25	0.13407
278.50	0.13383
278.75	0.13232
279.00	0.13114
279.25	0.13036
279.50	0.13089
279.75	0.13132
280.00	0.12963
280.25	0.12706
280.50	0.12568
280.75	0.12475
281.00	0.12378
281.25	0.12407
281.50	0.12350
281.75	0.12168
282.00	0.12060
282.25	0.11949
282.50	0.11780
282.75	0.11771
283.00	0.11673
283.25	0.11744
283.50	0.11517
283.75	0.11454
284.00	0.11239
284.25	0.11195
284.50	0.11034
284.75	0.11062
285.00	0.11004
285.25	0.11014
285.50	0.10787
285.75	0.10805
286.00	0.10593
286.25	0.10582
286.50	0.10490
286.75	0.10252
287.00	0.10291
287.25	0.10197
287.50	0.10068
287.75	0.10042
288.00	0.099263
288.25	0.099389
288.50	0.098935
288.75	0.098742
289.00	0.095986
289.25	0.095448
289.50	0.096641
289.75	0.096456
290.00	0.096229
290.25	0.096498
290.50	0.095406
290.75	0.095456
291.00	0.095734
291.25	0.096414
291.50	0.095776
291.75	0.095246
292.00	0.096456
292.25	0.097120
292.50	0.095801
292.75	0.096355
293.00	0.096851
293.25	0.097221
293.50	0.098632
293.75	0.096574
294.00	0.098221
294.25	0.098347
294.50	0.097523
294.75	0.096288
295.00	0.096028
295.25	0.095961
295.50	0.096549
295.75	0.097120
296.00	0.095305
296.25	0.095398
296.50	0.094902
296.75	0.092743
297.00	0.093919
297.25	0.090415
297.50	0.088626
297.75	0.086525
298.00	0.085391
298.25	0.083399
298.50	0.079879
298.75	0.078736
299.00	0.076770
299.25	0.072628
299.50	0.071645
299.75	0.069267
300.00	0.066200
300.25	0.063411
300.50	0.061251
300.75	0.059806
301.00	0.057412
301.25	0.054177
301.50	0.053118
301.75	0.049925
302.00	0.047909
302.25	0.046791
302.50	0.044397
302.75	0.043019
303.00	0.042153
303.25	0.041498
303.50	0.038977
303.75	0.035533
304.00	0.035953
304.25	0.034524
304.50	0.033096
304.75	0.033877
305.00	0.029281
305.25	0.030836
305.50	0.028819
305.75	0.030357
306.00	0.027971
306.25	0.029281
306.50	0.026929
306.75	0.027551
307.00	0.027601
307.25	0.025005
307.50	0.024509
307.75	0.025307
308.00	0.024601
308.25	0.026441
308.50	0.024366
308.75	0.023123
309.00	0.023644
309.25	0.025710
309.50	0.024240
309.75	0.022787
310.00	0.024753
310.25	0.022274
310.50	0.021627
310.75	0.029794
311.00	0.026786
311.25	0.023812
311.50	0.025761
311.75	0.026635
312.00	0.025458
312.25	0.030601
312.50	0.023753
312.75	0.023602
313.00	0.021022
313.25	0.025190
313.50	0.030189
313.75	0.019703
314.00	0.016838
314.25	0.021610
314.50	0.023929
314.75	0.023904
315.00	0.022745
315.25	0.027483
315.50	0.025316
315.75	0.018014
316.00	0.025332
316.25	0.026215
316.50	0.023190
316.75	0.026240
317.00	0.019863
317.25	0.025736
317.50	0.022089
317.75	0.025475
318.00	0.026173
318.25	0.021913
318.50	0.021073
318.75	0.016418
319.00	0.024475
319.25	0.025156
319.50	0.024114
319.75	0.021350
320.00	0.022215
320.25	0.023778
320.50	0.019501
320.75	0.022240
321.00	0.023652
321.25	0.022173
321.50	0.022266
321.75	0.017871
322.00	0.020442
322.25	0.018854
322.50	0.020350
322.75	0.018174
323.00	0.017871
323.25	0.022173
323.50	0.016376
323.75	0.017082
324.00	0.020543
324.25	0.016846
324.50	0.023022
324.75	0.018880
325.00	0.016871
325.25	0.016023
325.50	0.012427
325.75	0.012385
326.00	0.016687
326.25	0.016048
326.50	0.015342
326.75	0.017065
327.00	0.013830
327.25	0.014578
327.50	0.013561
327.75	0.017829
328.00	0.019090
328.25	0.018123
328.50	0.017082
328.75	0.017787
329.00	0.010822
329.25	0.014435
329.50	0.014443
329.75	0.016888
330.00	0.011276
330.25	0.012771
330.50	0.011906
330.75	0.015485
331.00	0.015561
331.25	0.010654
331.50	0.012284
331.75	0.013964
332.00	0.011654
332.25	0.0097969
332.50	0.0083433
332.75	0.013729
333.00	0.013670
333.25	0.012284
333.50	0.010814
333.75	0.012502
334.00	0.0078224
334.25	0.014048
334.50	0.0069738
334.75	0.0095616
335.00	0.010687
335.25	0.010167
335.50	0.013116
335.75	0.012015
336.00	0.010721
336.25	0.0090575
336.50	0.0086374
336.75	0.0069906
337.00	0.010015
337.25	0.011334
337.50	0.011629
337.75	0.013133
338.00	0.0057050
338.25	0.011923
338.50	0.014082
338.75	0.014813
339.00	0.0063604
339.25	0.012889
339.50	0.010805
339.75	0.0094944
340.00	0.010713
340.25	0.011175
340.50	0.014292
340.75	0.017317
341.00	0.0079568
341.25	0.014200
341.50	0.015149
341.75	0.011721
342.00	0.011469
342.25	0.010561
342.50	0.010368
342.75	0.010906
343.00	0.012662
343.25	0.012998
343.50	0.013687
343.75	0.0092171
344.00	0.011486
344.25	0.016712
344.50	0.015023
344.75	0.015788
345.00	0.013040
345.25	0.012183
345.50	0.012166
345.75	0.014443
346.00	0.013065
346.25	0.011158
346.50	0.014594
346.75	0.015015
347.00	0.012771
347.25	0.010822
347.50	0.014678
347.75	0.017275
348.00	0.020409
348.25	0.014754
348.50	0.017317
348.75	0.014452
349.00	0.015267
349.25	0.018594
349.50	0.019737
349.75	0.016863
350.00	0.016502
350.25	0.016283
350.50	0.018165
350.75	0.022829
351.00	0.019888
351.25	0.017518
351.50	0.017124
351.75	0.021039
352.00	0.021367
352.25	0.022467
352.50	0.021778
352.75	0.022333
353.00	0.020753
353.25	0.025408
353.50	0.018056
353.75	0.024551
354.00	0.022703
354.25	0.022375
354.50	0.021241
354.75	0.021207
355.00	0.025778
355.25	0.021291
355.50	0.023660
355.75	0.024408
356.00	0.026408
356.25	0.022904
356.50	0.025005
356.75	0.028231
357.00	0.027954
357.25	0.026458
357.50	0.027172
357.75	0.029357
358.00	0.027693
358.25	0.029466
358.50	0.030432
358.75	0.032558
359.00	0.028004
359.25	0.035566
359.50	0.031432
359.75	0.032357
360.00	0.031894
360.25	0.031407
360.50	0.032180
360.75	0.032869
361.00	0.033734
361.25	0.036583
361.50	0.035112
361.75	0.037011
362.00	0.038347
362.25	0.035650
362.50	0.041422
362.75	0.039087
363.00	0.042221
363.25	0.042506
363.50	0.038952
363.75	0.043397
364.00	0.044111
364.25	0.045850
364.50	0.046388
364.75	0.046270
365.00	0.045817
365.25	0.046228
365.50	0.045766
365.75	0.045523
366.00	0.053379
366.25	0.050278
366.50	0.051555
366.75	0.053799
367.00	0.056101
367.25	0.054513
367.50	0.058529
367.75	0.056983
368.00	0.060235
368.25	0.058857
368.50	0.059596
368.75	0.059512
369.00	0.058966
369.25	0.063268
369.50	0.064327
369.75	0.065604
370.00	0.064394
370.25	0.067805
370.50	0.067771
370.75	0.069763
371.00	0.070595
371.25	0.073561
371.50	0.071267
371.75	0.072989
372.00	0.073384
372.25	0.077148
372.50	0.077829
372.75	0.076468
373.00	0.078543
373.25	0.079215
373.50	0.081635
373.75	0.085618
374.00	0.084500
374.25	0.086592
374.50	0.086819
374.75	0.086307
375.00	0.091213
375.25	0.090449
375.50	0.089827
375.75	0.090936
376.00	0.095179
376.25	0.096423
376.50	0.098817
376.75	0.10302
377.00	0.10314
377.25	0.10547
377.50	0.10958
377.75	0.10730
378.00	0.11128
378.25	0.11024
378.50	0.11032
378.75	0.11334
379.00	0.11706
379.25	0.11801
379.50	0.12058
379.75	0.12301
380.00	0.12312
380.25	0.12569
380.50	0.12877
380.75	0.12959
381.00	0.13189
381.25	0.13454
381.50	0.13468
381.75	0.13671
382.00	0.14073
382.25	0.14185
382.50	0.14370
382.75	0.14605
383.00	0.14784
383.25	0.15343
383.50	0.15552
383.75	0.15605
384.00	0.15982
384.25	0.16206
384.50	0.16110
384.75	0.16638
385.00	0.16886
385.25	0.16729
385.50	0.17501
385.75	0.17514
386.00	0.17918
386.25	0.18145
386.50	0.18139
386.75	0.18520
387.00	0.18769
387.25	0.19148
387.50	0.19485
387.75	0.19680
388.00	0.19952
388.25	0.20126
388.50	0.20518
388.75	0.20667
389.00	0.21190
389.25	0.21478
389.50	0.21744
389.75	0.21956
390.00	0.22286
390.25	0.22666
390.50	0.22921
390.75	0.23540
391.00	0.23623
391.25	0.23967
391.50	0.24391
391.75	0.24559
