Wavelength (nm)	H13 ems
375.00	0.0070564
376.00	0.0075117
377.00	0.0084649
378.00	0.0093884
379.00	0.010457
380.00	0.011334
381.00	0.012618
382.00	0.013797
383.00	0.015148
384.00	0.017466
385.00	0.019549
386.00	0.022452
387.00	0.024931
388.00	0.027572
389.00	0.030346
390.00	0.034813
391.00	0.039866
392.00	0.043945
393.00	0.049060
394.00	0.053296
395.00	0.060999
396.00	0.068220
397.00	0.076971
398.00	0.084825
399.00	0.094739
400.00	0.10636
401.00	0.11820
402.00	0.13230
403.00	0.14769
404.00	0.16212
405.00	0.18045
406.00	0.19930
407.00	0.22021
408.00	0.24164
409.00	0.26593
410.00	0.28840
411.00	0.31311
412.00	0.33992
413.00	0.37186
414.00	0.39910
415.00	0.43179
416.00	0.46032
417.00	0.49326
418.00	0.52678
419.00	0.55919
420.00	0.58994
421.00	0.62365
422.00	0.65578
423.00	0.68761
424.00	0.71979
425.00	0.74963
426.00	0.77720
427.00	0.81008
428.00	0.83635
429.00	0.86446
430.00	0.88513
431.00	0.90263
432.00	0.92522
433.00	0.94305
434.00	0.95808
435.00	0.97240
436.00	0.98007
437.00	0.99225
438.00	0.99676
439.00	0.99846
440.00	0.99887
441.00	1.0000
442.00	0.99968
443.00	0.99780
444.00	0.99377
445.00	0.98716
446.00	0.98221
447.00	0.97351
448.00	0.96185
449.00	0.94964
450.00	0.93560
451.00	0.92609
452.00	0.91038
453.00	0.89702
454.00	0.88535
455.00	0.86859
456.00	0.85298
457.00	0.83245
458.00	0.81773
459.00	0.79778
460.00	0.78073
461.00	0.76364
462.00	0.74648
463.00	0.72670
464.00	0.70995
465.00	0.69224
466.00	0.67606
467.00	0.65608
468.00	0.63747
469.00	0.62116
470.00	0.60318
471.00	0.58873
472.00	0.56984
473.00	0.55461
474.00	0.53871
475.00	0.52312
476.00	0.50463
477.00	0.49278
478.00	0.47791
479.00	0.46349
480.00	0.44728
481.00	0.43848
482.00	0.43060
483.00	0.42108
484.00	0.40791
485.00	0.39208
486.00	0.37714
487.00	0.36363
488.00	0.34853
489.00	0.33463
490.00	0.32221
491.00	0.31108
492.00	0.30186
493.00	0.29103
494.00	0.28227
495.00	0.27347
496.00	0.26586
497.00	0.25914
498.00	0.24648
499.00	0.23808
500.00	0.23007
501.00	0.22209
502.00	0.21437
503.00	0.20523
504.00	0.19886
505.00	0.19193
506.00	0.18606
507.00	0.17945
508.00	0.17263
509.00	0.16529
510.00	0.16058
511.00	0.15453
512.00	0.14886
513.00	0.14367
514.00	0.13817
515.00	0.13201
516.00	0.12741
517.00	0.12304
518.00	0.11750
519.00	0.11477
520.00	0.11075
521.00	0.10673
522.00	0.10414
523.00	0.099928
524.00	0.094991
525.00	0.091736
526.00	0.088465
527.00	0.084038
528.00	0.081536
529.00	0.079772
530.00	0.076562
531.00	0.072760
532.00	0.071107
533.00	0.068018
534.00	0.066121
535.00	0.063818
536.00	0.061953
537.00	0.059358
538.00	0.057958
539.00	0.055513
540.00	0.053623
541.00	0.052130
542.00	0.050883
543.00	0.048459
544.00	0.046193
545.00	0.045270
546.00	0.043818
547.00	0.042855
548.00	0.041716
549.00	0.040132
550.00	0.038684
551.00	0.037156
552.00	0.036093
553.00	0.034534
554.00	0.032986
555.00	0.032186
556.00	0.031416
557.00	0.030445
558.00	0.029356
559.00	0.028253
560.00	0.027834
561.00	0.026686
562.00	0.026204
563.00	0.025356
564.00	0.024770
565.00	0.023693
566.00	0.022745
567.00	0.022336
568.00	0.021858
569.00	0.020851
570.00	0.020370
571.00	0.019393
572.00	0.018974
573.00	0.018940
574.00	0.018271
575.00	0.017435
576.00	0.017128
577.00	0.016187
578.00	0.015730
579.00	0.015302
580.00	0.014750
581.00	0.015002
582.00	0.014307
583.00	0.013356
584.00	0.013309
585.00	0.013452
586.00	0.012895
587.00	0.012691
588.00	0.012224
589.00	0.011811
590.00	0.011641
591.00	0.011220
592.00	0.011312
593.00	0.010802
594.00	0.010450
595.00	0.010296
596.00	0.010110
597.00	0.0098873
598.00	0.0097928
599.00	0.0095712
600.00	0.0089901
