Wavelength (nm)	H14 abs N
250.00	0.72868
251.00	0.68071
252.00	0.63608
253.00	0.59599
254.00	0.56373
255.00	0.54030
256.00	0.52549
257.00	0.51739
258.00	0.51620
259.00	0.51980
260.00	0.52935
261.00	0.54433
262.00	0.56402
263.00	0.58870
264.00	0.61846
265.00	0.65053
266.00	0.68501
267.00	0.71731
268.00	0.74559
269.00	0.76879
270.00	0.78729
271.00	0.80246
272.00	0.81804
273.00	0.83881
274.00	0.86618
275.00	0.90010
276.00	0.94108
277.00	0.97799
278.00	1.00000
279.00	0.99846
280.00	0.96837
281.00	0.91405
282.00	0.84831
283.00	0.77956
284.00	0.71900
285.00	0.67110
286.00	0.63780
287.00	0.61798
288.00	0.61150
289.00	0.61650
290.00	0.62927
291.00	0.64638
292.00	0.66356
293.00	0.67624
294.00	0.68311
295.00	0.68664
296.00	0.68822
297.00	0.69122
298.00	0.69629
299.00	0.70534
300.00	0.72056
301.00	0.74141
302.00	0.76386
303.00	0.78142
304.00	0.78675
305.00	0.77460
306.00	0.74308
307.00	0.69501
308.00	0.63783
309.00	0.57919
310.00	0.52500
311.00	0.48033
312.00	0.44607
313.00	0.42204
314.00	0.40578
315.00	0.39748
316.00	0.39370
317.00	0.39428
318.00	0.39794
319.00	0.40253
320.00	0.40885
321.00	0.41594
322.00	0.42311
323.00	0.43081
324.00	0.43806
325.00	0.44471
326.00	0.45142
327.00	0.45800
328.00	0.46405
329.00	0.46933
330.00	0.47444
331.00	0.47778
332.00	0.47999
333.00	0.48214
334.00	0.48261
335.00	0.48173
336.00	0.48028
337.00	0.47730
338.00	0.47295
339.00	0.46766
340.00	0.46155
341.00	0.45479
342.00	0.44663
343.00	0.43762
344.00	0.42787
345.00	0.41781
346.00	0.40651
347.00	0.39461
348.00	0.38238
349.00	0.36909
350.00	0.35569
351.00	0.34112
352.00	0.32575
353.00	0.31014
354.00	0.29419
355.00	0.27748
356.00	0.26135
357.00	0.24557
358.00	0.22949
359.00	0.21339
360.00	0.19665
361.00	0.18005
362.00	0.16365
363.00	0.14785
364.00	0.13309
365.00	0.11861
366.00	0.10499
367.00	0.091965
368.00	0.080361
369.00	0.069806
370.00	0.060410
371.00	0.051602
372.00	0.043924
373.00	0.037622
374.00	0.032231
375.00	0.026449
376.00	0.022777
377.00	0.019084
378.00	0.015778
379.00	0.013537
380.00	0.011270
381.00	0.0094173
382.00	0.0081313
383.00	0.0069184
384.00	0.0057709
385.00	0.0050088
386.00	0.0046265
387.00	0.0040763
388.00	0.0033720
389.00	0.0035155
390.00	0.0030013
391.00	0.0024709
392.00	0.0024963
393.00	0.0018832
394.00	0.0018194
395.00	0.0019284
396.00	0.0016759
397.00	0.0016485
398.00	0.0014223
399.00	0.0017773
400.00	0.0016916
401.00	0.0014872
402.00	0.0015415
403.00	0.0016084
404.00	0.0015045
405.00	0.0013366
406.00	0.0014056
407.00	0.0011374
408.00	0.0013169
409.00	0.0010131
410.00	0.0012033
411.00	0.0011105
412.00	0.0012783
413.00	0.0013016
414.00	0.0011196
415.00	0.0011997
416.00	0.0010187
417.00	0.00099385
418.00	0.00086049
419.00	0.00092083
420.00	0.00095937
421.00	0.0010618
422.00	0.0010385
423.00	0.00095126
424.00	0.00097712
425.00	0.00086455
426.00	0.0010111
427.00	0.0012149
428.00	0.0010091
429.00	0.0012119
430.00	0.0010177
431.00	0.0011936
432.00	0.0012144
433.00	0.0010567
434.00	0.00099436
435.00	0.00098422
436.00	0.00087114
437.00	0.0011718
438.00	0.0011794
439.00	0.0012372
440.00	0.0013229
441.00	0.0010410
442.00	0.0011135
443.00	0.00098574
444.00	0.00076719
445.00	0.00065209
446.00	0.00093351
447.00	0.0010897
448.00	0.00072663
449.00	0.00091272
450.00	0.0011505
451.00	0.00080472
452.00	0.00089903
453.00	0.0010314
454.00	0.0013189
455.00	0.00078748
456.00	0.0010816
457.00	0.00085593
458.00	0.0012159
459.00	0.00097915
460.00	0.0011612
461.00	0.0012829
462.00	0.00084427
463.00	0.00089092
464.00	0.00099791
465.00	0.00084984
466.00	0.00082753
467.00	0.0013143
468.00	0.0013488
469.00	0.0010136
470.00	0.0014462
471.00	0.00075502
472.00	0.00084680
473.00	0.0013255
474.00	0.00054611
475.00	0.0011881
476.00	0.0015537
477.00	0.0011480
478.00	0.0011475
479.00	0.0015334
480.00	0.0011384
481.00	0.0012738
482.00	0.0014862
483.00	0.00088331
484.00	0.00088230
485.00	0.00091019
486.00	0.00091728
487.00	0.0012433
488.00	0.00098675
489.00	0.0011865
490.00	0.00079102
491.00	0.0011363
492.00	0.0013711
493.00	0.0016439
494.00	0.0013807
495.00	0.0012099
496.00	0.00065868
497.00	0.0012144
498.00	0.0013087
499.00	0.00058617
500.00	0.00093706
