Wavelength (nm)	H14 ems
340.00	0.0011743
341.00	0.0012294
342.00	0.0013317
343.00	0.0016035
344.00	0.0022900
345.00	0.0024134
346.00	0.0010691
347.00	0.00060852
348.00	0.0029364
349.00	0.0028793
350.00	0.0028048
351.00	0.0027581
352.00	0.0067838
353.00	0.0017371
354.00	0.0037522
355.00	0.0033475
356.00	0.0062421
357.00	0.0068183
358.00	0.0063563
359.00	0.0093998
360.00	0.0087133
361.00	0.012217
362.00	0.012191
363.00	0.013872
364.00	0.017887
365.00	0.024150
366.00	0.025301
367.00	0.032359
368.00	0.042666
369.00	0.044938
370.00	0.055211
371.00	0.065923
372.00	0.076913
373.00	0.082534
374.00	0.10029
375.00	0.11208
376.00	0.12587
377.00	0.14230
378.00	0.16328
379.00	0.19008
380.00	0.20608
381.00	0.22372
382.00	0.24377
383.00	0.27031
384.00	0.29861
385.00	0.32650
386.00	0.35287
387.00	0.37286
388.00	0.40708
389.00	0.42821
390.00	0.45350
391.00	0.48314
392.00	0.51395
393.00	0.53856
394.00	0.57088
395.00	0.60555
396.00	0.62350
397.00	0.64689
398.00	0.67311
399.00	0.69649
400.00	0.72632
401.00	0.73576
402.00	0.76265
403.00	0.77813
404.00	0.81095
405.00	0.82758
406.00	0.85125
407.00	0.86726
408.00	0.87636
409.00	0.88313
410.00	0.91006
411.00	0.92038
412.00	0.93582
413.00	0.96238
414.00	0.94359
415.00	0.98073
416.00	0.97330
417.00	0.97955
418.00	0.99118
419.00	0.98687
420.00	1.0003
421.00	0.99006
422.00	0.99620
423.00	0.99451
424.00	0.98712
425.00	1.0000
426.00	0.98848
427.00	0.98916
428.00	0.98319
429.00	0.96859
430.00	0.96596
431.00	0.94319
432.00	0.95509
433.00	0.94682
434.00	0.92644
435.00	0.91128
436.00	0.90482
437.00	0.89392
438.00	0.88168
439.00	0.86549
440.00	0.85131
441.00	0.84588
442.00	0.82631
443.00	0.81107
444.00	0.81075
445.00	0.78926
446.00	0.77703
447.00	0.76037
448.00	0.75224
449.00	0.73984
450.00	0.73262
451.00	0.70723
452.00	0.70096
453.00	0.69170
454.00	0.67747
455.00	0.66318
456.00	0.65251
457.00	0.63798
458.00	0.62272
459.00	0.61550
460.00	0.60261
461.00	0.58326
462.00	0.57636
463.00	0.56201
464.00	0.55012
465.00	0.53389
466.00	0.51715
467.00	0.50945
468.00	0.49564
469.00	0.48768
470.00	0.47379
471.00	0.46742
472.00	0.45233
473.00	0.43623
474.00	0.42768
475.00	0.42163
476.00	0.39915
477.00	0.39750
478.00	0.38970
479.00	0.37785
480.00	0.37121
481.00	0.36592
482.00	0.35135
483.00	0.34764
484.00	0.34587
485.00	0.32849
486.00	0.31827
487.00	0.30446
488.00	0.29753
489.00	0.29144
490.00	0.28213
491.00	0.26909
492.00	0.26718
493.00	0.26036
494.00	0.25313
495.00	0.24346
496.00	0.23939
497.00	0.23300
498.00	0.22824
499.00	0.21679
500.00	0.21291
501.00	0.20626
502.00	0.20342
503.00	0.19162
504.00	0.19244
505.00	0.18388
506.00	0.17618
507.00	0.17263
508.00	0.16878
509.00	0.16694
510.00	0.16013
511.00	0.15703
512.00	0.14808
513.00	0.14551
514.00	0.14088
515.00	0.13772
516.00	0.13640
517.00	0.12920
518.00	0.12735
519.00	0.12132
520.00	0.11870
521.00	0.11926
522.00	0.11598
523.00	0.10999
524.00	0.10815
525.00	0.10617
526.00	0.10260
527.00	0.099855
528.00	0.096726
529.00	0.096656
530.00	0.092457
531.00	0.091834
532.00	0.093193
533.00	0.085725
534.00	0.085078
535.00	0.083196
536.00	0.078240
537.00	0.079326
538.00	0.082003
539.00	0.074118
540.00	0.080386
541.00	0.076705
542.00	0.075736
543.00	0.078420
544.00	0.069093
545.00	0.073757
546.00	0.067689
547.00	0.069548
548.00	0.069175
549.00	0.066789
550.00	0.062217
551.00	0.066609
552.00	0.063892
553.00	0.060052
554.00	0.061123
555.00	0.060775
556.00	0.059138
557.00	0.058978
558.00	0.054297
559.00	0.059218
560.00	0.054911
561.00	0.055956
562.00	0.052693
563.00	0.053763
564.00	0.053297
565.00	0.052596
566.00	0.054735
567.00	0.052705
568.00	0.051124
569.00	0.052636
570.00	0.050926
571.00	0.052276
572.00	0.051905
573.00	0.051442
574.00	0.050855
575.00	0.049284
576.00	0.047315
577.00	0.046642
578.00	0.049015
579.00	0.050983
580.00	0.051425
581.00	0.048144
582.00	0.049512
583.00	0.046892
584.00	0.048323
585.00	0.051149
586.00	0.046363
587.00	0.048516
588.00	0.045450
589.00	0.049677
590.00	0.042848
591.00	0.044390
592.00	0.044802
593.00	0.044165
594.00	0.047676
595.00	0.043666
596.00	0.044168
597.00	0.047525
598.00	0.044586
599.00	0.043573
600.00	0.043609
