Wavelength (nm)	I01 ems
365.00	0.054798
366.00	0.052693
367.00	0.053151
368.00	0.053904
369.00	0.047995
370.00	0.044281
371.00	0.037572
372.00	0.038020
373.00	0.039824
374.00	0.043048
375.00	0.047964
376.00	0.050015
377.00	0.057027
378.00	0.068360
379.00	0.085657
380.00	0.11113
381.00	0.14224
382.00	0.18902
383.00	0.24823
384.00	0.31253
385.00	0.38870
386.00	0.46282
387.00	0.53278
388.00	0.59691
389.00	0.64753
390.00	0.68133
391.00	0.70791
392.00	0.72353
393.00	0.73948
394.00	0.74864
395.00	0.76972
396.00	0.78588
397.00	0.78450
398.00	0.75584
399.00	0.73097
400.00	0.70021
401.00	0.68273
402.00	0.68962
403.00	0.68871
404.00	0.71732
405.00	0.73674
406.00	0.76887
407.00	0.80512
408.00	0.85417
409.00	0.89321
410.00	0.93324
411.00	0.96302
412.00	0.98951
413.00	0.99799
414.00	0.99990
415.00	1.0000
416.00	0.98855
417.00	0.97152
418.00	0.94926
419.00	0.92994
420.00	0.89864
421.00	0.87219
422.00	0.84666
423.00	0.80756
424.00	0.79030
425.00	0.76320
426.00	0.73348
427.00	0.72012
428.00	0.70589
429.00	0.69973
430.00	0.68442
431.00	0.67341
432.00	0.68002
433.00	0.67825
434.00	0.68116
435.00	0.68238
436.00	0.68038
437.00	0.66919
438.00	0.66842
439.00	0.65427
440.00	0.64659
441.00	0.63541
442.00	0.61859
443.00	0.60504
444.00	0.58721
445.00	0.56797
446.00	0.54865
447.00	0.53103
448.00	0.50841
449.00	0.49618
450.00	0.47144
451.00	0.45822
452.00	0.43877
453.00	0.42307
454.00	0.40895
455.00	0.39574
456.00	0.39053
457.00	0.37593
458.00	0.36602
459.00	0.35513
460.00	0.34355
461.00	0.33798
462.00	0.33172
463.00	0.32598
464.00	0.31999
465.00	0.31095
466.00	0.30719
467.00	0.30263
468.00	0.29135
469.00	0.28275
470.00	0.27745
471.00	0.27317
472.00	0.26400
473.00	0.25169
474.00	0.24372
475.00	0.23756
476.00	0.22811
477.00	0.22073
478.00	0.21583
479.00	0.20381
480.00	0.19705
481.00	0.19431
482.00	0.18311
483.00	0.17927
484.00	0.17236
485.00	0.16455
486.00	0.15746
487.00	0.15225
488.00	0.14329
489.00	0.13835
490.00	0.13871
491.00	0.12753
492.00	0.12728
493.00	0.12368
494.00	0.11821
495.00	0.11348
496.00	0.11287
497.00	0.11197
498.00	0.10205
499.00	0.10207
500.00	0.096430
501.00	0.095419
502.00	0.091489
503.00	0.088851
504.00	0.084343
505.00	0.083238
506.00	0.080114
507.00	0.077350
508.00	0.073309
509.00	0.068114
510.00	0.065410
511.00	0.062257
512.00	0.061018
513.00	0.059523
514.00	0.058085
515.00	0.053924
516.00	0.051461
517.00	0.049186
518.00	0.047432
519.00	0.045838
520.00	0.042200
521.00	0.041297
522.00	0.039750
523.00	0.040243
524.00	0.037393
525.00	0.034036
526.00	0.030921
527.00	0.031776
528.00	0.031702
529.00	0.029055
530.00	0.028249
531.00	0.026666
532.00	0.027863
533.00	0.024727
534.00	0.023655
535.00	0.023449
536.00	0.022989
537.00	0.022142
538.00	0.021311
539.00	0.021866
540.00	0.021199
541.00	0.024888
542.00	0.024644
543.00	0.023488
544.00	0.021599
545.00	0.020260
546.00	0.018470
547.00	0.015585
548.00	0.015542
549.00	0.013401
550.00	0.013611
551.00	0.015206
552.00	0.013779
553.00	0.013267
554.00	0.011647
555.00	0.010673
556.00	0.010773
557.00	0.010265
558.00	0.0096166
559.00	0.0081702
560.00	0.0096754
561.00	0.0076407
562.00	0.0086620
563.00	0.0085755
564.00	0.0059271
565.00	0.0072009
566.00	0.0068580
567.00	0.0057763
568.00	0.0064478
569.00	0.0057359
570.00	0.0064584
571.00	0.0053514
572.00	0.0054467
573.00	0.0051587
574.00	0.0055902
575.00	0.0046560
576.00	0.0052982
577.00	0.0049718
578.00	0.0046265
579.00	0.0061070
580.00	0.0047141
581.00	0.0056067
582.00	0.0050028
583.00	0.0030165
584.00	0.0037286
585.00	0.0038273
586.00	0.0043967
587.00	0.0040596
588.00	0.0039903
589.00	0.0028147
590.00	0.0039512
591.00	0.0040578
592.00	0.0038718
593.00	0.0043935
594.00	0.0032847
595.00	0.0025496
596.00	0.0023514
597.00	0.0026270
598.00	0.0029931
599.00	0.0044115
600.00	0.0029479
