Wavelength (nm)	I03 ems
410.00	0.0033144
410.50	0.0020176
411.00	0.0019526
411.50	0.0020737
412.00	0.0021287
412.50	0.0022252
413.00	0.0023373
413.50	0.0023727
414.00	0.0024570
414.50	0.0026014
415.00	0.0026331
415.50	0.0027250
416.00	0.0027764
416.50	0.0027749
417.00	0.0027750
417.50	0.0028411
418.00	0.0028757
418.50	0.0029326
419.00	0.0029582
419.50	0.0031779
420.00	0.0032978
420.50	0.0034424
421.00	0.0035912
421.50	0.0037638
422.00	0.0040087
422.50	0.0041220
423.00	0.0043735
423.50	0.0043602
424.00	0.0045146
424.50	0.0046115
425.00	0.0045588
425.50	0.0044464
426.00	0.0046832
426.50	0.0046916
427.00	0.0048181
427.50	0.0048378
428.00	0.0050764
428.50	0.0054147
429.00	0.0054964
429.50	0.0057474
430.00	0.0059098
430.50	0.0060776
431.00	0.0063948
431.50	0.0066676
432.00	0.0069278
432.50	0.0073689
433.00	0.0074711
433.50	0.0078234
434.00	0.0081175
434.50	0.0083022
435.00	0.0087528
435.50	0.0091768
436.00	0.0091215
436.50	0.0097068
437.00	0.0099023
437.50	0.010287
438.00	0.010528
438.50	0.010900
439.00	0.011145
439.50	0.011548
440.00	0.011955
440.50	0.012267
441.00	0.012751
441.50	0.013158
442.00	0.013417
442.50	0.013892
443.00	0.014335
443.50	0.014797
444.00	0.014980
444.50	0.015682
445.00	0.015925
445.50	0.016632
446.00	0.017099
446.50	0.017984
447.00	0.018470
447.50	0.019599
448.00	0.020103
448.50	0.021889
449.00	0.022762
449.50	0.024413
450.00	0.025038
450.50	0.026602
451.00	0.027197
451.50	0.028369
452.00	0.029090
452.50	0.029621
453.00	0.029786
453.50	0.030209
454.00	0.030006
454.50	0.030509
455.00	0.031071
455.50	0.031214
456.00	0.031851
456.50	0.032618
457.00	0.033786
457.50	0.035434
458.00	0.037003
458.50	0.038606
459.00	0.039453
459.50	0.041267
460.00	0.042611
460.50	0.044830
461.00	0.046861
461.50	0.049273
462.00	0.050311
462.50	0.052635
463.00	0.054569
463.50	0.057113
464.00	0.059185
464.50	0.061732
465.00	0.064224
465.50	0.067556
466.00	0.069993
466.50	0.074260
467.00	0.076525
467.50	0.081448
468.00	0.084568
468.50	0.088993
469.00	0.092531
469.50	0.098760
470.00	0.10158
470.50	0.10744
471.00	0.11130
471.50	0.11961
472.00	0.12327
472.50	0.13020
473.00	0.13504
473.50	0.14412
474.00	0.14903
474.50	0.15882
475.00	0.16462
475.50	0.17440
476.00	0.18071
476.50	0.19085
477.00	0.19926
477.50	0.21122
478.00	0.21801
478.50	0.22874
479.00	0.23897
479.50	0.25210
480.00	0.26044
480.50	0.27398
481.00	0.28430
481.50	0.29901
482.00	0.30926
482.50	0.32466
483.00	0.33425
483.50	0.34974
484.00	0.35901
484.50	0.37446
485.00	0.38632
485.50	0.40043
486.00	0.41029
486.50	0.42372
487.00	0.43615
487.50	0.45311
488.00	0.46164
488.50	0.47787
489.00	0.48691
489.50	0.50271
490.00	0.51384
490.50	0.52989
491.00	0.54082
491.50	0.55857
492.00	0.56670
492.50	0.58463
493.00	0.59535
493.50	0.61150
494.00	0.62014
494.50	0.63584
495.00	0.64471
495.50	0.66111
496.00	0.67213
496.50	0.68490
497.00	0.69531
497.50	0.71221
498.00	0.72124
498.50	0.73488
499.00	0.74469
499.50	0.76109
500.00	0.76707
500.50	0.78129
501.00	0.79030
501.50	0.80685
502.00	0.81169
502.50	0.82482
503.00	0.83308
503.50	0.84684
504.00	0.85197
504.50	0.86425
505.00	0.87219
505.50	0.88150
506.00	0.88840
506.50	0.89811
507.00	0.90193
507.50	0.91322
508.00	0.91908
508.50	0.92322
509.00	0.93072
509.50	0.93819
510.00	0.94157
510.50	0.94566
511.00	0.95108
511.50	0.95447
512.00	0.96025
512.50	0.96679
513.00	0.96902
513.50	0.97058
514.00	0.97311
514.50	0.97952
515.00	0.98198
515.50	0.98412
516.00	0.98620
516.50	0.99183
517.00	0.99296
517.50	0.99362
518.00	0.99341
518.50	0.99518
519.00	0.99739
519.50	0.99926
520.00	0.99951
520.50	0.99611
521.00	0.99790
521.50	1.0000
522.00	0.99745
522.50	0.99819
523.00	0.99722
523.50	0.99589
524.00	0.99618
524.50	0.99283
525.00	0.99236
525.50	0.98958
526.00	0.99042
526.50	0.98627
527.00	0.98580
527.50	0.98078
528.00	0.98169
528.50	0.97731
529.00	0.97397
529.50	0.97062
530.00	0.96837
530.50	0.96439
531.00	0.96007
531.50	0.95484
532.00	0.95430
532.50	0.94854
533.00	0.94681
533.50	0.94011
534.00	0.94083
534.50	0.93380
535.00	0.93124
535.50	0.92716
536.00	0.92021
536.50	0.91860
537.00	0.91555
537.50	0.91094
538.00	0.90518
538.50	0.90089
539.00	0.89824
539.50	0.89185
540.00	0.88701
540.50	0.88115
541.00	0.87669
541.50	0.87096
542.00	0.86861
542.50	0.86101
543.00	0.85626
543.50	0.85136
544.00	0.84836
544.50	0.84177
545.00	0.83601
545.50	0.82919
546.00	0.82411
546.50	0.81859
547.00	0.81453
547.50	0.80695
548.00	0.80179
548.50	0.79719
549.00	0.79239
549.50	0.78581
550.00	0.78231
550.50	0.77522
551.00	0.76838
551.50	0.75964
552.00	0.75715
552.50	0.74991
553.00	0.74128
553.50	0.73704
554.00	0.73133
554.50	0.72571
555.00	0.71880
555.50	0.71033
556.00	0.70929
556.50	0.70275
557.00	0.69954
557.50	0.68872
558.00	0.68618
558.50	0.68061
559.00	0.67420
559.50	0.66499
560.00	0.66441
560.50	0.65649
561.00	0.65332
561.50	0.64302
562.00	0.64133
562.50	0.63452
563.00	0.63124
563.50	0.61979
564.00	0.61761
564.50	0.61001
565.00	0.60633
565.50	0.59916
566.00	0.59485
566.50	0.58733
567.00	0.58582
567.50	0.57515
568.00	0.57457
568.50	0.56800
569.00	0.56461
569.50	0.55604
570.00	0.55321
570.50	0.54618
571.00	0.54340
571.50	0.53817
572.00	0.53289
572.50	0.52625
573.00	0.52141
573.50	0.51608
574.00	0.50994
574.50	0.50374
575.00	0.50031
575.50	0.49337
576.00	0.49064
576.50	0.48478
577.00	0.47825
577.50	0.47343
578.00	0.46984
578.50	0.46200
579.00	0.45689
579.50	0.45109
580.00	0.44714
580.50	0.44262
581.00	0.43986
581.50	0.43379
582.00	0.42936
582.50	0.42428
583.00	0.42098
583.50	0.41459
