Wavelength (nm)	I04 abs N
220.00	0.16922
220.25	0.15800
220.50	0.15893
220.75	0.15594
221.00	0.15628
221.25	0.15477
221.50	0.15238
221.75	0.15331
222.00	0.15315
222.25	0.15325
222.50	0.15449
222.75	0.15278
223.00	0.14989
223.25	0.14953
223.50	0.15385
223.75	0.15356
224.00	0.15322
224.25	0.15411
224.50	0.15456
224.75	0.15614
225.00	0.15733
225.25	0.15795
225.50	0.16243
225.75	0.16160
226.00	0.16375
226.25	0.16399
226.50	0.16892
226.75	0.17052
227.00	0.17326
227.25	0.17561
227.50	0.18023
227.75	0.17990
228.00	0.18352
228.25	0.18708
228.50	0.19088
228.75	0.19415
229.00	0.19824
229.25	0.19914
229.50	0.20430
229.75	0.20796
230.00	0.20916
230.25	0.21258
230.50	0.21734
230.75	0.22081
231.00	0.22404
231.25	0.22807
231.50	0.23025
231.75	0.23202
232.00	0.23476
232.25	0.24028
232.50	0.24219
232.75	0.24567
233.00	0.24832
233.25	0.25092
233.50	0.25616
233.75	0.25948
234.00	0.26352
234.25	0.27014
234.50	0.27358
234.75	0.27676
235.00	0.28262
235.25	0.28714
235.50	0.29527
235.75	0.29997
236.00	0.30644
236.25	0.31154
236.50	0.31917
236.75	0.32224
237.00	0.33123
237.25	0.33482
237.50	0.33933
237.75	0.34571
238.00	0.35147
238.25	0.35819
238.50	0.36396
238.75	0.36994
239.00	0.37486
239.25	0.38229
239.50	0.38804
239.75	0.39368
240.00	0.40171
240.25	0.40756
240.50	0.41354
240.75	0.41887
241.00	0.42538
241.25	0.43266
241.50	0.43851
241.75	0.44526
242.00	0.45326
242.25	0.45803
242.50	0.46468
242.75	0.46943
243.00	0.47643
243.25	0.48383
243.50	0.48923
243.75	0.49675
244.00	0.50408
244.25	0.50993
244.50	0.51643
244.75	0.52316
245.00	0.52955
245.25	0.53786
245.50	0.54477
245.75	0.55126
246.00	0.55840
246.25	0.56336
246.50	0.57271
246.75	0.58111
247.00	0.58665
247.25	0.59612
247.50	0.60236
247.75	0.61104
248.00	0.61914
248.25	0.62708
248.50	0.63394
248.75	0.64355
249.00	0.65127
249.25	0.65881
249.50	0.66930
249.75	0.67472
250.00	0.68559
250.25	0.69255
250.50	0.70199
250.75	0.70978
251.00	0.71842
251.25	0.72507
251.50	0.73403
251.75	0.74120
252.00	0.74783
252.25	0.75592
252.50	0.76627
252.75	0.76719
253.00	0.77664
253.25	0.78465
253.50	0.79313
253.75	0.79690
254.00	0.80515
254.25	0.80994
254.50	0.81190
254.75	0.81327
255.00	0.82104
255.25	0.82916
255.50	0.83381
255.75	0.83964
256.00	0.84683
256.25	0.85199
256.50	0.85976
256.75	0.86337
257.00	0.87033
257.25	0.87469
257.50	0.87918
257.75	0.88796
258.00	0.89353
258.25	0.89759
258.50	0.90471
258.75	0.91515
259.00	0.91869
259.25	0.92464
259.50	0.93256
259.75	0.93550
260.00	0.94051
260.25	0.95025
260.50	0.95566
260.75	0.95997
261.00	0.96256
261.25	0.96976
261.50	0.97804
261.75	0.98395
262.00	0.98326
262.25	0.98954
262.50	0.99081
262.75	0.99117
263.00	0.99549
263.25	0.99658
263.50	0.99793
263.75	0.99883
264.00	1.0000
264.25	0.99546
264.50	0.99734
264.75	0.99334
265.00	0.99045
265.25	0.98926
265.50	0.98837
265.75	0.98184
266.00	0.97311
266.25	0.97023
266.50	0.96500
266.75	0.96044
267.00	0.95074
267.25	0.94295
267.50	0.93220
267.75	0.92175
268.00	0.90908
268.25	0.89949
268.50	0.88597
268.75	0.87063
269.00	0.86215
269.25	0.84604
269.50	0.83444
269.75	0.81927
270.00	0.80576
270.25	0.78817
270.50	0.77710
270.75	0.76059
271.00	0.74545
271.25	0.73182
271.50	0.71894
271.75	0.70176
272.00	0.68850
272.25	0.67580
272.50	0.66136
272.75	0.64785
273.00	0.63720
273.25	0.62507
273.50	0.61297
273.75	0.59962
274.00	0.58933
274.25	0.57836
274.50	0.56808
274.75	0.55499
275.00	0.54226
275.25	0.53267
275.50	0.52196
275.75	0.51001
276.00	0.49918
276.25	0.49220
276.50	0.48427
276.75	0.47682
277.00	0.46840
277.25	0.46178
277.50	0.45624
277.75	0.44899
278.00	0.44403
278.25	0.43611
