Wavelength (nm)	I05 abs N
200.00	0.069819
201.00	0.064683
202.00	0.069234
203.00	0.073097
204.00	0.076130
205.00	0.080420
206.00	0.085808
207.00	0.089699
208.00	0.093357
209.00	0.096184
210.00	0.097499
211.00	0.097205
212.00	0.095203
213.00	0.093247
214.00	0.090744
215.00	0.088577
216.00	0.085678
217.00	0.082737
218.00	0.079298
219.00	0.075713
220.00	0.071395
221.00	0.067040
222.00	0.064529
223.00	0.063954
224.00	0.064817
225.00	0.066793
226.00	0.070102
227.00	0.074578
228.00	0.081069
229.00	0.088844
230.00	0.098413
231.00	0.11035
232.00	0.12489
233.00	0.14158
234.00	0.15874
235.00	0.17951
236.00	0.20517
237.00	0.23350
238.00	0.26516
239.00	0.30712
240.00	0.36339
241.00	0.41501
242.00	0.44240
243.00	0.46624
244.00	0.51393
245.00	0.57490
246.00	0.63476
247.00	0.71473
248.00	0.85180
249.00	1.0000
250.00	0.98941
251.00	0.75378
252.00	0.46887
253.00	0.26220
254.00	0.14665
255.00	0.087574
256.00	0.057129
257.00	0.040730
258.00	0.031244
259.00	0.025232
260.00	0.021316
261.00	0.018611
262.00	0.016834
263.00	0.015618
264.00	0.014303
265.00	0.013556
266.00	0.012790
267.00	0.012083
268.00	0.011515
269.00	0.010962
270.00	0.010484
271.00	0.010049
272.00	0.0095525
273.00	0.0091073
274.00	0.0087886
275.00	0.0085221
276.00	0.0083569
277.00	0.0081045
278.00	0.0078091
279.00	0.0076486
280.00	0.0075597
281.00	0.0073751
282.00	0.0072016
283.00	0.0071924
284.00	0.0070622
285.00	0.0069114
286.00	0.0069224
287.00	0.0069430
288.00	0.0067914
289.00	0.0068255
290.00	0.0067896
291.00	0.0068974
292.00	0.0068689
293.00	0.0068383
294.00	0.0069439
295.00	0.0069535
296.00	0.0069610
297.00	0.0069491
298.00	0.0071372
299.00	0.0072279
300.00	0.0073953
301.00	0.0076565
302.00	0.0077433
303.00	0.0079160
304.00	0.0083021
305.00	0.0085489
306.00	0.0089083
307.00	0.0093154
308.00	0.0097945
309.00	0.010156
310.00	0.010530
311.00	0.010810
312.00	0.011150
313.00	0.011828
314.00	0.012638
315.00	0.013328
316.00	0.013988
317.00	0.014304
318.00	0.014902
319.00	0.015647
320.00	0.016885
321.00	0.018303
322.00	0.019738
323.00	0.020759
324.00	0.021209
325.00	0.021453
326.00	0.022009
327.00	0.022690
328.00	0.024096
329.00	0.025860
330.00	0.027208
331.00	0.028004
332.00	0.028147
333.00	0.028519
334.00	0.029577
335.00	0.031601
336.00	0.034862
337.00	0.038599
338.00	0.041528
339.00	0.041974
340.00	0.040984
341.00	0.039740
342.00	0.038980
343.00	0.039090
344.00	0.040321
345.00	0.042341
346.00	0.044083
347.00	0.044973
