Wavelength (nm)	I05 ems
385.00	0.0067780
386.00	0.0077800
387.00	0.0094886
388.00	0.011764
389.00	0.014592
390.00	0.018659
391.00	0.024928
392.00	0.033130
393.00	0.045532
394.00	0.061959
395.00	0.085536
396.00	0.11582
397.00	0.15706
398.00	0.20673
399.00	0.26743
400.00	0.33567
401.00	0.41026
402.00	0.48761
403.00	0.56692
404.00	0.64598
405.00	0.72611
406.00	0.80323
407.00	0.87357
408.00	0.93688
409.00	0.97756
410.00	1.0000
411.00	0.99558
412.00	0.97060
413.00	0.92830
414.00	0.87697
415.00	0.82644
416.00	0.77694
417.00	0.73129
418.00	0.69934
419.00	0.66981
420.00	0.64862
421.00	0.63508
422.00	0.62611
423.00	0.62548
424.00	0.62850
425.00	0.63675
426.00	0.65161
427.00	0.67110
428.00	0.69249
429.00	0.71590
430.00	0.73913
431.00	0.75736
432.00	0.77124
433.00	0.77526
434.00	0.77227
435.00	0.75926
436.00	0.73483
437.00	0.70771
438.00	0.67202
439.00	0.63349
440.00	0.59507
441.00	0.55885
442.00	0.52488
443.00	0.49194
444.00	0.46288
445.00	0.43547
446.00	0.41100
447.00	0.38758
448.00	0.37104
449.00	0.35306
450.00	0.34097
451.00	0.32945
452.00	0.32157
453.00	0.31549
454.00	0.31221
455.00	0.30888
456.00	0.30657
457.00	0.30659
458.00	0.30598
459.00	0.30432
460.00	0.30242
461.00	0.29926
462.00	0.29396
463.00	0.28699
464.00	0.27884
465.00	0.26840
466.00	0.25581
467.00	0.24330
468.00	0.23039
469.00	0.21746
470.00	0.20462
471.00	0.19178
472.00	0.18060
473.00	0.16984
474.00	0.15887
475.00	0.14883
476.00	0.13970
477.00	0.13220
478.00	0.12471
479.00	0.11824
480.00	0.11236
481.00	0.10826
482.00	0.10479
483.00	0.10068
484.00	0.097416
485.00	0.094338
486.00	0.091171
487.00	0.088494
488.00	0.086186
489.00	0.083989
490.00	0.082234
491.00	0.080093
492.00	0.078079
493.00	0.077090
494.00	0.074376
495.00	0.072470
496.00	0.069999
497.00	0.067393
498.00	0.065062
499.00	0.061719
500.00	0.059255
501.00	0.056399
502.00	0.053212
503.00	0.050443
504.00	0.047785
505.00	0.044957
506.00	0.043270
507.00	0.040356
508.00	0.037831
509.00	0.035623
510.00	0.033889
511.00	0.031865
512.00	0.029728
513.00	0.028374
514.00	0.027205
515.00	0.025583
516.00	0.024242
517.00	0.023000
518.00	0.022040
519.00	0.021178
520.00	0.020576
521.00	0.019830
522.00	0.019015
523.00	0.018447
524.00	0.017846
525.00	0.017470
526.00	0.016913
527.00	0.016387
528.00	0.016036
529.00	0.015456
530.00	0.015039
531.00	0.014697
532.00	0.013989
533.00	0.013681
534.00	0.013339
535.00	0.012937
536.00	0.012582
537.00	0.011887
538.00	0.011450
539.00	0.011025
540.00	0.010499
541.00	0.010136
542.00	0.0097702
543.00	0.0093059
544.00	0.0090738
545.00	0.0087099
546.00	0.0082442
547.00	0.0078474
548.00	0.0074607
549.00	0.0073277
550.00	0.0071157
551.00	0.0066232
552.00	0.0064847
553.00	0.0061691
554.00	0.0060110
555.00	0.0058167
556.00	0.0056496
557.00	0.0053770
558.00	0.0051595
559.00	0.0049335
560.00	0.0050224
561.00	0.0047865
562.00	0.0047664
563.00	0.0046130
564.00	0.0045056
565.00	0.0043923
566.00	0.0041740
567.00	0.0042332
568.00	0.0041204
569.00	0.0040145
570.00	0.0039538
571.00	0.0039751
572.00	0.0037964
573.00	0.0039087
574.00	0.0036160
575.00	0.0037026
