Wavelength (nm)	I08 abs N
200.00	0.25730
201.00	0.24728
202.00	0.22851
203.00	0.20789
204.00	0.19082
205.00	0.17730
206.00	0.16677
207.00	0.15951
208.00	0.15484
209.00	0.15204
210.00	0.15080
211.00	0.15038
212.00	0.15035
213.00	0.15032
214.00	0.15033
215.00	0.14981
216.00	0.14872
217.00	0.14691
218.00	0.14464
219.00	0.14184
220.00	0.13834
221.00	0.13477
222.00	0.13127
223.00	0.12825
224.00	0.12609
225.00	0.12515
226.00	0.12597
227.00	0.12844
228.00	0.13299
229.00	0.13909
230.00	0.14690
231.00	0.15595
232.00	0.16578
233.00	0.17659
234.00	0.18772
235.00	0.19934
236.00	0.21115
237.00	0.22347
238.00	0.23603
239.00	0.24881
240.00	0.26209
241.00	0.27575
242.00	0.28942
243.00	0.30334
244.00	0.31721
245.00	0.33060
246.00	0.34373
247.00	0.35631
248.00	0.36827
249.00	0.37926
250.00	0.38945
251.00	0.39859
252.00	0.40643
253.00	0.41305
254.00	0.41813
255.00	0.42175
256.00	0.42419
257.00	0.42567
258.00	0.42722
259.00	0.42965
260.00	0.43396
261.00	0.44137
262.00	0.45230
263.00	0.46777
264.00	0.48785
265.00	0.51307
266.00	0.54335
267.00	0.57825
268.00	0.61730
269.00	0.66074
270.00	0.70762
271.00	0.75604
272.00	0.80526
273.00	0.85360
274.00	0.89914
275.00	0.93831
276.00	0.97012
277.00	0.99124
278.00	1.0000
279.00	0.99615
280.00	0.97810
281.00	0.94733
282.00	0.90567
283.00	0.85596
284.00	0.80186
285.00	0.74610
286.00	0.69142
287.00	0.63968
288.00	0.59247
289.00	0.55020
290.00	0.51226
291.00	0.47928
292.00	0.44995
293.00	0.42336
294.00	0.39922
295.00	0.37708
296.00	0.35645
297.00	0.33699
298.00	0.31861
299.00	0.30131
300.00	0.28500
301.00	0.26976
302.00	0.25548
303.00	0.24190
304.00	0.22936
305.00	0.21748
306.00	0.20621
307.00	0.19529
308.00	0.18513
309.00	0.17546
310.00	0.16627
311.00	0.15762
312.00	0.14955
313.00	0.14237
314.00	0.13575
315.00	0.12963
316.00	0.12388
317.00	0.11874
318.00	0.11375
319.00	0.10907
320.00	0.10478
321.00	0.10053
322.00	0.096661
323.00	0.092950
324.00	0.089869
325.00	0.086939
326.00	0.084495
327.00	0.082463
328.00	0.080925
329.00	0.079755
330.00	0.078754
331.00	0.078024
332.00	0.077483
333.00	0.077008
334.00	0.076488
335.00	0.075987
336.00	0.075479
337.00	0.074956
338.00	0.074458
339.00	0.073955
340.00	0.073642
341.00	0.073357
342.00	0.073129
343.00	0.073006
344.00	0.072745
345.00	0.072423
346.00	0.071730
347.00	0.070583
348.00	0.068955
349.00	0.066501
350.00	0.063416
351.00	0.059867
352.00	0.055918
353.00	0.051592
354.00	0.047409
355.00	0.043252
356.00	0.039511
357.00	0.036298
358.00	0.033468
359.00	0.031107
360.00	0.029145
361.00	0.027472
362.00	0.026209
363.00	0.025245
364.00	0.024656
365.00	0.024295
366.00	0.024310
367.00	0.024361
368.00	0.024558
369.00	0.024970
370.00	0.025544
371.00	0.026138
372.00	0.026875
373.00	0.027554
374.00	0.028429
375.00	0.029435
376.00	0.030385
377.00	0.031624
378.00	0.032881
379.00	0.034042
380.00	0.035322
381.00	0.037002
382.00	0.038479
383.00	0.040095
384.00	0.041792
385.00	0.043525
386.00	0.045199
387.00	0.047223
388.00	0.049105
389.00	0.051397
390.00	0.053492
391.00	0.055979
392.00	0.058382
393.00	0.060874
394.00	0.063638
395.00	0.066413
396.00	0.069323
397.00	0.072336
398.00	0.075490
399.00	0.078614
400.00	0.081860
