Wavelength (nm)	I08 ems
470.00	0.0042647
471.00	0.0040323
472.00	0.0040587
473.00	0.0038984
474.00	0.0039827
475.00	0.0037760
476.00	0.0038333
477.00	0.0033905
478.00	0.0038590
479.00	0.0039033
480.00	0.0040122
481.00	0.0041453
482.00	0.0042055
483.00	0.0043088
484.00	0.0045355
485.00	0.0044448
486.00	0.0044278
487.00	0.0044643
488.00	0.0047656
489.00	0.0051033
490.00	0.0052661
491.00	0.0056268
492.00	0.0062167
493.00	0.0068198
494.00	0.0073873
495.00	0.0070271
496.00	0.0071469
497.00	0.0077859
498.00	0.0078954
499.00	0.0087298
500.00	0.0093661
501.00	0.0099102
502.00	0.011012
503.00	0.012268
504.00	0.012991
505.00	0.014055
506.00	0.015755
507.00	0.017194
508.00	0.018782
509.00	0.020791
510.00	0.022830
511.00	0.025411
512.00	0.028137
513.00	0.030182
514.00	0.033138
515.00	0.037850
516.00	0.040529
517.00	0.045700
518.00	0.049540
519.00	0.054839
520.00	0.060155
521.00	0.064004
522.00	0.070962
523.00	0.078400
524.00	0.085240
525.00	0.092154
526.00	0.10073
527.00	0.11045
528.00	0.12016
529.00	0.13102
530.00	0.14143
531.00	0.15318
532.00	0.16531
533.00	0.17776
534.00	0.19053
535.00	0.20379
536.00	0.21702
537.00	0.23289
538.00	0.24627
539.00	0.26554
540.00	0.28055
541.00	0.29622
542.00	0.31498
543.00	0.33321
544.00	0.35121
545.00	0.37157
546.00	0.38697
547.00	0.40699
548.00	0.42586
549.00	0.44851
550.00	0.46671
551.00	0.48865
552.00	0.50659
553.00	0.52882
554.00	0.55009
555.00	0.57175
556.00	0.59158
557.00	0.61426
558.00	0.63219
559.00	0.65295
560.00	0.67374
561.00	0.69375
562.00	0.71244
563.00	0.73401
564.00	0.75258
565.00	0.76816
566.00	0.78693
567.00	0.80348
568.00	0.82242
569.00	0.83614
570.00	0.85600
571.00	0.86583
572.00	0.87797
573.00	0.89708
574.00	0.90179
575.00	0.91273
576.00	0.92943
577.00	0.93907
578.00	0.94527
579.00	0.95579
580.00	0.95905
581.00	0.96863
582.00	0.97923
583.00	0.98097
584.00	0.98393
585.00	0.99280
586.00	0.99177
587.00	0.99648
588.00	0.99713
589.00	0.99892
590.00	0.99832
591.00	0.99699
592.00	1.00000
593.00	0.99156
594.00	0.99597
595.00	0.99131
596.00	0.98724
597.00	0.98520
598.00	0.97913
599.00	0.97548
600.00	0.96986
601.00	0.96352
602.00	0.95673
603.00	0.95094
604.00	0.94935
605.00	0.93768
606.00	0.93072
607.00	0.92067
608.00	0.91142
609.00	0.90293
610.00	0.89556
611.00	0.88581
612.00	0.88053
613.00	0.86489
614.00	0.86178
615.00	0.84880
616.00	0.83738
617.00	0.82513
618.00	0.81311
619.00	0.80462
620.00	0.79319
621.00	0.78299
622.00	0.77262
623.00	0.76272
624.00	0.75242
625.00	0.73956
626.00	0.73462
627.00	0.72322
628.00	0.70752
629.00	0.69694
630.00	0.68651
631.00	0.67550
632.00	0.66191
633.00	0.65585
634.00	0.64471
635.00	0.63799
636.00	0.62846
637.00	0.61667
638.00	0.60731
639.00	0.59651
640.00	0.58533
641.00	0.57842
642.00	0.57081
643.00	0.55782
644.00	0.55007
645.00	0.54038
646.00	0.52981
647.00	0.51885
648.00	0.51281
649.00	0.50143
650.00	0.49589
651.00	0.48377
652.00	0.47740
653.00	0.47088
654.00	0.45874
655.00	0.44925
656.00	0.44225
657.00	0.43519
658.00	0.42786
659.00	0.41717
660.00	0.40685
661.00	0.40222
662.00	0.39513
663.00	0.38546
664.00	0.38142
665.00	0.37160
666.00	0.36462
667.00	0.35742
668.00	0.34920
669.00	0.34118
670.00	0.33699
671.00	0.32426
672.00	0.32197
673.00	0.31433
674.00	0.31058
675.00	0.30182
676.00	0.29527
677.00	0.29039
678.00	0.28565
679.00	0.27939
680.00	0.26989
681.00	0.26700
682.00	0.25753
683.00	0.25689
684.00	0.25113
685.00	0.24385
686.00	0.23930
687.00	0.23603
688.00	0.23448
689.00	0.23523
690.00	0.23560
691.00	0.23304
692.00	0.22847
693.00	0.21303
694.00	0.20669
695.00	0.19802
696.00	0.19623
697.00	0.19254
698.00	0.18624
699.00	0.18187
700.00	0.17986
701.00	0.17285
702.00	0.17114
703.00	0.16525
704.00	0.16563
705.00	0.15957
706.00	0.15660
707.00	0.15220
708.00	0.15066
709.00	0.14713
710.00	0.14304
711.00	0.13898
712.00	0.13617
713.00	0.13278
714.00	0.13155
715.00	0.12569
716.00	0.12643
717.00	0.11942
718.00	0.12173
719.00	0.11752
720.00	0.11277
721.00	0.10950
722.00	0.10787
723.00	0.10575
724.00	0.10336
725.00	0.099785
726.00	0.097986
727.00	0.096497
728.00	0.095232
729.00	0.092861
730.00	0.087102
731.00	0.088732
732.00	0.085575
733.00	0.083832
734.00	0.080133
735.00	0.079261
736.00	0.078783
737.00	0.074839
738.00	0.075362
739.00	0.074091
740.00	0.071980
741.00	0.069621
742.00	0.069876
743.00	0.065092
744.00	0.064654
745.00	0.063955
746.00	0.062826
747.00	0.060889
748.00	0.060429
749.00	0.057673
750.00	0.058019
751.00	0.055333
752.00	0.054147
753.00	0.053629
754.00	0.051331
755.00	0.050176
756.00	0.049065
757.00	0.047803
758.00	0.048264
759.00	0.047028
760.00	0.046407
761.00	0.044503
762.00	0.042713
763.00	0.041311
764.00	0.041763
765.00	0.041222
766.00	0.040106
767.00	0.039241
768.00	0.037202
769.00	0.037642
770.00	0.036384
771.00	0.034980
772.00	0.035489
773.00	0.034198
774.00	0.034594
775.00	0.033962
776.00	0.030617
777.00	0.032036
778.00	0.029428
779.00	0.030291
780.00	0.031005
781.00	0.028658
782.00	0.028861
783.00	0.028503
784.00	0.026188
785.00	0.026498
786.00	0.027605
787.00	0.024558
788.00	0.026915
789.00	0.023911
790.00	0.023180
791.00	0.024967
792.00	0.022739
793.00	0.021440
794.00	0.021315
795.00	0.021044
796.00	0.020502
797.00	0.021510
798.00	0.021529
799.00	0.021814
800.00	0.021431
