Wavelength (nm)	I10 abs N
200.00	0.56823
201.00	0.58361
202.00	0.59222
203.00	0.59707
204.00	0.60337
205.00	0.59334
206.00	0.57862
207.00	0.54711
208.00	0.51536
209.00	0.48305
210.00	0.45662
211.00	0.42537
212.00	0.38798
213.00	0.34612
214.00	0.30776
215.00	0.27438
216.00	0.24783
217.00	0.22900
218.00	0.21674
219.00	0.21064
220.00	0.20902
221.00	0.21157
222.00	0.21786
223.00	0.22699
224.00	0.23682
225.00	0.24478
226.00	0.25069
227.00	0.25520
228.00	0.26104
229.00	0.26776
230.00	0.27374
231.00	0.27706
232.00	0.27887
233.00	0.28224
234.00	0.28807
235.00	0.29594
236.00	0.30530
237.00	0.31740
238.00	0.33421
239.00	0.35672
240.00	0.38530
241.00	0.42003
242.00	0.46067
243.00	0.50818
244.00	0.56087
245.00	0.61482
246.00	0.66917
247.00	0.72256
248.00	0.77712
249.00	0.83383
250.00	0.89399
251.00	0.94924
252.00	0.98734
253.00	1.0000
254.00	0.98483
255.00	0.93193
256.00	0.85266
257.00	0.74985
258.00	0.62061
259.00	0.47824
260.00	0.35176
261.00	0.25590
262.00	0.19008
263.00	0.14478
264.00	0.11361
265.00	0.091925
266.00	0.076590
267.00	0.065323
268.00	0.056711
269.00	0.049514
270.00	0.043887
271.00	0.039205
272.00	0.035230
273.00	0.032077
274.00	0.029547
275.00	0.027487
276.00	0.025822
277.00	0.024622
278.00	0.023895
279.00	0.023403
280.00	0.023271
281.00	0.023602
282.00	0.024081
283.00	0.024971
284.00	0.025964
285.00	0.027181
286.00	0.028722
287.00	0.030719
288.00	0.032675
289.00	0.035075
290.00	0.037742
291.00	0.040412
292.00	0.043276
293.00	0.046280
294.00	0.049423
295.00	0.052678
296.00	0.056227
297.00	0.059389
298.00	0.062633
299.00	0.065960
300.00	0.069368
301.00	0.072821
302.00	0.075775
303.00	0.078857
304.00	0.081869
305.00	0.084436
306.00	0.086827
307.00	0.089399
308.00	0.091547
309.00	0.093237
310.00	0.094576
311.00	0.095839
312.00	0.097015
313.00	0.097944
314.00	0.098545
315.00	0.098611
316.00	0.098660
317.00	0.098250
318.00	0.097627
319.00	0.096779
320.00	0.095987
321.00	0.094647
322.00	0.092868
323.00	0.091220
324.00	0.089370
325.00	0.086949
326.00	0.084767
327.00	0.082216
328.00	0.079603
329.00	0.076971
330.00	0.074159
331.00	0.071046
332.00	0.068310
333.00	0.065272
334.00	0.062190
335.00	0.059212
336.00	0.056290
337.00	0.053350
338.00	0.050323
339.00	0.047555
340.00	0.044747
341.00	0.041880
342.00	0.039438
343.00	0.036875
344.00	0.034663
345.00	0.032271
346.00	0.030018
347.00	0.028097
348.00	0.026134
349.00	0.024189
350.00	0.022448
351.00	0.021081
352.00	0.019190
353.00	0.017980
354.00	0.016730
355.00	0.015580
356.00	0.014180
357.00	0.013297
358.00	0.012451
359.00	0.011465
360.00	0.010585
361.00	0.0098219
362.00	0.0091200
363.00	0.0083125
364.00	0.0077168
365.00	0.0071633
366.00	0.0066661
367.00	0.0060378
368.00	0.0057073
369.00	0.0051860
370.00	0.0049747
371.00	0.0046615
372.00	0.0041904
373.00	0.0045047
374.00	0.0038445
375.00	0.0035843
376.00	0.0033440
377.00	0.0032637
378.00	0.0033895
379.00	0.0030908
380.00	0.0029965
381.00	0.0025887
382.00	0.0023496
383.00	0.0023707
384.00	0.0021568
385.00	0.0020488
386.00	0.0018652
387.00	0.0019475
388.00	0.0017162
389.00	0.0013042
390.00	0.0016116
391.00	0.0015967
392.00	0.0012707
393.00	0.0010957
394.00	0.0012008
395.00	0.0010709
396.00	0.00099523
397.00	0.0010080
398.00	0.00081942
399.00	0.00095965
400.00	0.0011321
401.00	0.00078674
402.00	0.0010060
403.00	0.00088064
404.00	0.00062748
405.00	0.00068539
406.00	0.00085169
407.00	0.00074000
408.00	0.00064196
409.00	0.00064196
410.00	0.00047939
411.00	0.00049883
412.00	0.00054930
413.00	0.00046739
414.00	0.00066471
415.00	0.00063989
416.00	0.00042727
417.00	0.00039045
418.00	0.00053978
419.00	0.00059273
420.00	0.00018238
