Wavelength (nm)	I10 ems
400.00	0.41930
401.00	0.44621
402.00	0.43505
403.00	0.44983
404.00	0.47462
405.00	0.50100
406.00	0.52703
407.00	0.54595
408.00	0.59487
409.00	0.64021
410.00	0.67534
411.00	0.70880
412.00	0.70554
413.00	0.75915
414.00	0.77088
415.00	0.81790
416.00	0.86862
417.00	0.88074
418.00	0.87855
419.00	0.90041
420.00	0.90920
421.00	0.89765
422.00	0.90054
423.00	0.89964
424.00	0.91235
425.00	0.90067
426.00	0.88206
427.00	0.88683
428.00	0.87490
429.00	0.89846
430.00	0.87335
431.00	0.88516
432.00	0.91209
433.00	0.88648
434.00	0.90539
435.00	0.93004
436.00	0.94301
437.00	0.95365
438.00	0.96085
439.00	0.96167
440.00	0.97387
441.00	0.99336
442.00	0.97889
443.00	0.99917
444.00	0.97394
445.00	1.0000
446.00	0.98121
447.00	0.96712
448.00	0.99080
449.00	0.98775
450.00	0.94327
451.00	0.92918
452.00	0.89989
453.00	0.89334
454.00	0.87420
455.00	0.86461
456.00	0.84664
457.00	0.84596
458.00	0.81496
459.00	0.80471
460.00	0.76781
461.00	0.77843
462.00	0.77165
463.00	0.76689
464.00	0.74962
465.00	0.72083
466.00	0.74530
467.00	0.73895
468.00	0.72797
469.00	0.70972
470.00	0.69847
471.00	0.68047
472.00	0.68524
473.00	0.68383
474.00	0.66063
475.00	0.65030
476.00	0.64534
477.00	0.62148
478.00	0.61261
479.00	0.60638
480.00	0.59742
481.00	0.59284
482.00	0.57882
483.00	0.56504
484.00	0.56149
485.00	0.54289
486.00	0.52158
487.00	0.51820
488.00	0.50309
489.00	0.47945
490.00	0.47321
491.00	0.44321
492.00	0.43676
493.00	0.44096
494.00	0.41103
495.00	0.39513
496.00	0.39361
497.00	0.37148
498.00	0.37217
499.00	0.35236
500.00	0.35460
501.00	0.32740
502.00	0.32321
503.00	0.31081
504.00	0.31740
505.00	0.30066
506.00	0.27992
507.00	0.27375
508.00	0.26515
509.00	0.26380
510.00	0.25783
511.00	0.24050
512.00	0.23967
513.00	0.23977
514.00	0.22495
515.00	0.21035
516.00	0.21688
517.00	0.18976
518.00	0.18198
519.00	0.18917
520.00	0.18059
521.00	0.17261
522.00	0.16023
523.00	0.16338
524.00	0.16153
525.00	0.15021
526.00	0.15612
527.00	0.13025
528.00	0.13169
529.00	0.12211
530.00	0.12320
531.00	0.13038
532.00	0.11290
533.00	0.10978
534.00	0.11172
535.00	0.11435
536.00	0.096818
537.00	0.099535
538.00	0.10131
539.00	0.11002
540.00	0.12798
541.00	0.11339
542.00	0.13163
543.00	0.13033
544.00	0.10823
545.00	0.11439
546.00	0.093455
547.00	0.089450
548.00	0.074067
549.00	0.066335
550.00	0.053932
551.00	0.066404
552.00	0.048774
553.00	0.050169
554.00	0.050525
555.00	0.034747
556.00	0.039173
557.00	0.033283
558.00	0.037456
559.00	0.025905
560.00	0.026993
561.00	0.034342
562.00	0.031622
563.00	0.034397
564.00	0.027188
565.00	0.016169
566.00	0.022948
567.00	0.020397
568.00	0.014301
569.00	0.027018
570.00	0.036810
