Wavelength (nm)	I11 ems
575.00	0.014352
576.00	0.016880
577.00	0.016456
578.00	0.016790
579.00	0.018228
580.00	0.020234
581.00	0.022609
582.00	0.026071
583.00	0.027900
584.00	0.032560
585.00	0.036961
586.00	0.040586
587.00	0.048637
588.00	0.055841
589.00	0.062534
590.00	0.070992
591.00	0.082016
592.00	0.095445
593.00	0.11083
594.00	0.12694
595.00	0.14463
596.00	0.16663
597.00	0.20068
598.00	0.22924
599.00	0.26851
600.00	0.31166
601.00	0.36011
602.00	0.41314
603.00	0.47223
604.00	0.54158
605.00	0.59845
606.00	0.66512
607.00	0.72963
608.00	0.78920
609.00	0.84785
610.00	0.88626
611.00	0.92535
612.00	0.95621
613.00	0.97190
614.00	0.99061
615.00	0.99516
616.00	1.00000
617.00	0.98581
618.00	0.99228
619.00	0.98893
620.00	0.98761
621.00	0.98311
622.00	0.98182
623.00	0.96973
624.00	0.96559
625.00	0.96125
626.00	0.94162
627.00	0.92428
628.00	0.90017
629.00	0.87349
630.00	0.84832
631.00	0.81667
632.00	0.78698
633.00	0.75672
634.00	0.72310
635.00	0.69951
636.00	0.67147
637.00	0.64521
638.00	0.62342
639.00	0.59834
640.00	0.57885
641.00	0.56240
642.00	0.53949
643.00	0.52469
644.00	0.50765
645.00	0.49344
646.00	0.47148
647.00	0.45900
648.00	0.44844
649.00	0.43013
650.00	0.41440
651.00	0.40500
652.00	0.38816
653.00	0.37294
654.00	0.36675
655.00	0.34945
656.00	0.34415
657.00	0.33902
658.00	0.33514
659.00	0.32478
660.00	0.31757
661.00	0.31856
662.00	0.30860
663.00	0.30456
664.00	0.30510
665.00	0.30114
666.00	0.29670
667.00	0.29122
668.00	0.28457
669.00	0.28215
670.00	0.28164
671.00	0.27580
672.00	0.26970
673.00	0.26773
674.00	0.26340
675.00	0.25371
676.00	0.24362
677.00	0.24392
678.00	0.24043
679.00	0.23368
680.00	0.23095
681.00	0.22620
682.00	0.22571
683.00	0.21814
684.00	0.21735
685.00	0.20771
686.00	0.20489
687.00	0.19886
688.00	0.19181
689.00	0.18863
690.00	0.18893
691.00	0.17792
692.00	0.17944
693.00	0.16728
694.00	0.16340
695.00	0.16272
696.00	0.15659
697.00	0.15276
698.00	0.14675
699.00	0.14594
700.00	0.14067
701.00	0.13804
702.00	0.13039
703.00	0.13204
704.00	0.12199
705.00	0.12274
706.00	0.11663
707.00	0.11085
708.00	0.11175
709.00	0.10469
710.00	0.098429
711.00	0.10090
712.00	0.096846
713.00	0.088343
714.00	0.090570
715.00	0.090986
716.00	0.085842
717.00	0.086237
718.00	0.082360
719.00	0.077506
720.00	0.075006
721.00	0.076586
722.00	0.074050
723.00	0.072459
724.00	0.069012
725.00	0.072577
726.00	0.068192
727.00	0.068665
728.00	0.063440
729.00	0.061320
730.00	0.065380
731.00	0.059460
732.00	0.061609
733.00	0.059834
734.00	0.058338
735.00	0.057786
736.00	0.058878
737.00	0.055400
738.00	0.053068
739.00	0.056408
740.00	0.053303
741.00	0.051520
742.00	0.048421
743.00	0.052702
744.00	0.049850
745.00	0.047371
746.00	0.049402
747.00	0.045677
748.00	0.049116
749.00	0.046108
750.00	0.049366
