Wavelength (nm)	I13 abs N
200.00	0.23311
201.00	0.23619
202.00	0.21267
203.00	0.19087
204.00	0.17098
205.00	0.15471
206.00	0.13958
207.00	0.12934
208.00	0.12041
209.00	0.11326
210.00	0.10782
211.00	0.10353
212.00	0.098922
213.00	0.096543
214.00	0.094301
215.00	0.092901
216.00	0.092203
217.00	0.091804
218.00	0.091553
219.00	0.091640
220.00	0.092046
221.00	0.092862
222.00	0.093841
223.00	0.095587
224.00	0.097498
225.00	0.099448
226.00	0.10123
227.00	0.10281
228.00	0.10437
229.00	0.10596
230.00	0.10739
231.00	0.10936
232.00	0.11196
233.00	0.11557
234.00	0.12059
235.00	0.12635
236.00	0.13284
237.00	0.14015
238.00	0.14822
239.00	0.15647
240.00	0.16489
241.00	0.17315
242.00	0.18124
243.00	0.18895
244.00	0.19506
245.00	0.19856
246.00	0.19806
247.00	0.19324
248.00	0.18493
249.00	0.17439
250.00	0.16314
251.00	0.15233
252.00	0.14292
253.00	0.13485
254.00	0.12828
255.00	0.12309
256.00	0.11893
257.00	0.11583
258.00	0.11385
259.00	0.11260
260.00	0.11279
261.00	0.11474
262.00	0.11769
263.00	0.12215
264.00	0.12758
265.00	0.13416
266.00	0.14145
267.00	0.14953
268.00	0.15766
269.00	0.16636
270.00	0.17561
271.00	0.18513
272.00	0.19576
273.00	0.20733
274.00	0.22007
275.00	0.23427
276.00	0.24975
277.00	0.26609
278.00	0.28310
279.00	0.30072
280.00	0.31921
281.00	0.33753
282.00	0.35614
283.00	0.37516
284.00	0.39471
285.00	0.41520
286.00	0.43589
287.00	0.45664
288.00	0.47605
289.00	0.49209
290.00	0.50348
291.00	0.50805
292.00	0.50571
293.00	0.49513
294.00	0.47827
295.00	0.45499
296.00	0.42731
297.00	0.39577
298.00	0.36306
299.00	0.33110
300.00	0.29991
301.00	0.27104
302.00	0.24436
303.00	0.21904
304.00	0.19651
305.00	0.17705
306.00	0.15979
307.00	0.14557
308.00	0.13454
309.00	0.12560
310.00	0.11864
311.00	0.11351
312.00	0.10983
313.00	0.10691
314.00	0.10425
315.00	0.10228
316.00	0.10035
317.00	0.098990
318.00	0.097954
319.00	0.097334
320.00	0.096764
321.00	0.096398
322.00	0.096855
323.00	0.096666
324.00	0.096321
325.00	0.095631
326.00	0.094373
327.00	0.091734
328.00	0.088503
329.00	0.084483
330.00	0.079657
331.00	0.074083
332.00	0.068684
333.00	0.063104
334.00	0.057418
335.00	0.052344
336.00	0.047674
337.00	0.043311
338.00	0.039534
339.00	0.036145
340.00	0.033154
341.00	0.030614
342.00	0.027997
343.00	0.026237
344.00	0.024713
345.00	0.022748
346.00	0.021224
347.00	0.020152
348.00	0.018657
349.00	0.017736
350.00	0.016996
351.00	0.015899
352.00	0.014923
353.00	0.014775
354.00	0.013888
355.00	0.013460
356.00	0.012786
357.00	0.012246
358.00	0.011775
359.00	0.011527
360.00	0.011733
361.00	0.011628
362.00	0.011241
363.00	0.011210
364.00	0.011189
365.00	0.011266
366.00	0.011640
367.00	0.010981
368.00	0.011154
369.00	0.011056
370.00	0.011195
371.00	0.010706
372.00	0.011081
373.00	0.011916
374.00	0.011204
375.00	0.011222
376.00	0.011320
377.00	0.011599
378.00	0.011172
379.00	0.011549
380.00	0.011866
381.00	0.011955
382.00	0.012568
383.00	0.012208
384.00	0.012870
385.00	0.013121
386.00	0.013119
387.00	0.013218
388.00	0.013340
389.00	0.012713
390.00	0.013298
391.00	0.012396
392.00	0.012150
393.00	0.011702
394.00	0.010648
395.00	0.010067
396.00	0.0090475
397.00	0.0084265
398.00	0.0079703
399.00	0.0076931
400.00	0.0064035
401.00	0.0056748
402.00	0.0055362
403.00	0.0052144
404.00	0.0047278
405.00	0.0042156
406.00	0.0037499
407.00	0.0037172
408.00	0.0034542
409.00	0.0037267
410.00	0.0034834
411.00	0.0033876
412.00	0.0033775
413.00	0.0035952
414.00	0.0032234
415.00	0.0033638
416.00	0.0037160
417.00	0.0037392
418.00	0.0034102
419.00	0.0040360
420.00	0.0043245
421.00	0.0043245
422.00	0.0043846
423.00	0.0046707
424.00	0.0048830
425.00	0.0052072
426.00	0.0053988
427.00	0.0051822
428.00	0.0053494
429.00	0.0057117
430.00	0.0063808
431.00	0.0064296
432.00	0.0065147
433.00	0.0071006
434.00	0.0075664
435.00	0.0075872
436.00	0.0081160
437.00	0.0086067
438.00	0.0088851
439.00	0.0092813
440.00	0.0095198
441.00	0.010106
442.00	0.010341
443.00	0.010885
444.00	0.011426
445.00	0.011708
446.00	0.012031
447.00	0.012883
448.00	0.013067
449.00	0.013571
450.00	0.013878
451.00	0.014360
452.00	0.014822
453.00	0.015372
454.00	0.015280
455.00	0.015993
456.00	0.016343
457.00	0.017000
458.00	0.017703
459.00	0.017862
460.00	0.017691
461.00	0.018922
462.00	0.018997
463.00	0.019032
464.00	0.019656
465.00	0.020275
466.00	0.020747
467.00	0.021128
468.00	0.021800
469.00	0.021808
470.00	0.022264
471.00	0.022574
472.00	0.023246
473.00	0.023572
474.00	0.024543
475.00	0.024973
476.00	0.024948
477.00	0.025843
478.00	0.026500
479.00	0.026733
480.00	0.026907
481.00	0.027345
482.00	0.027725
483.00	0.027760
484.00	0.028261
485.00	0.028386
486.00	0.029069
487.00	0.029120
488.00	0.028815
489.00	0.028931
490.00	0.029028
491.00	0.029025
492.00	0.029132
493.00	0.029207
494.00	0.028669
495.00	0.028211
496.00	0.028560
497.00	0.028442
498.00	0.027894
499.00	0.027476
500.00	0.027814
501.00	0.027463
502.00	0.026319
503.00	0.026403
504.00	0.026558
505.00	0.025876
506.00	0.026300
507.00	0.026575
508.00	0.026260
509.00	0.026674
510.00	0.026269
511.00	0.026627
512.00	0.026663
513.00	0.027043
514.00	0.027125
515.00	0.027146
516.00	0.027279
517.00	0.028300
518.00	0.027626
519.00	0.029040
520.00	0.029756
521.00	0.029517
522.00	0.030008
523.00	0.031296
524.00	0.031879
525.00	0.032810
526.00	0.033578
527.00	0.033948
528.00	0.035391
529.00	0.036078
530.00	0.037674
531.00	0.038457
532.00	0.039570
533.00	0.041165
534.00	0.042643
535.00	0.044106
536.00	0.045550
537.00	0.047118
538.00	0.049043
539.00	0.050771
540.00	0.053079
541.00	0.055295
542.00	0.057387
