Wavelength (nm)	I13 ems
610.00	0.0090432
611.00	0.014689
612.00	0.018398
613.00	0.021446
614.00	0.027927
615.00	0.032662
616.00	0.039319
617.00	0.045672
618.00	0.053674
619.00	0.061308
620.00	0.071559
621.00	0.079636
622.00	0.090152
623.00	0.10182
624.00	0.11359
625.00	0.12556
626.00	0.13857
627.00	0.15282
628.00	0.16456
629.00	0.17788
630.00	0.18889
631.00	0.20452
632.00	0.21893
633.00	0.23007
634.00	0.23976
635.00	0.25228
636.00	0.26709
637.00	0.28375
638.00	0.29115
639.00	0.30524
640.00	0.31746
641.00	0.33706
642.00	0.34417
643.00	0.36815
644.00	0.38257
645.00	0.40104
646.00	0.42631
647.00	0.43972
648.00	0.46350
649.00	0.48362
650.00	0.51115
651.00	0.53963
652.00	0.56512
653.00	0.59566
654.00	0.62070
655.00	0.65317
656.00	0.68144
657.00	0.71020
658.00	0.74290
659.00	0.77682
660.00	0.79875
661.00	0.83460
662.00	0.86672
663.00	0.88617
664.00	0.90459
665.00	0.93756
666.00	0.95152
667.00	0.95458
668.00	0.97149
669.00	0.98389
670.00	0.98918
671.00	0.99679
672.00	1.00000
673.00	0.99242
674.00	0.99661
675.00	0.99907
676.00	0.98664
677.00	0.98440
678.00	0.96957
679.00	0.96744
680.00	0.95140
681.00	0.94503
682.00	0.94599
683.00	0.92828
684.00	0.91237
685.00	0.90305
686.00	0.87948
687.00	0.86693
688.00	0.84007
689.00	0.81494
690.00	0.80626
691.00	0.78578
692.00	0.76464
693.00	0.74910
694.00	0.71547
695.00	0.70141
696.00	0.68029
697.00	0.65270
698.00	0.64404
699.00	0.61768
700.00	0.59389
701.00	0.58447
702.00	0.56733
703.00	0.53919
704.00	0.53193
705.00	0.51296
706.00	0.48982
707.00	0.48293
708.00	0.46387
709.00	0.45133
710.00	0.44064
711.00	0.42297
712.00	0.41165
713.00	0.40307
714.00	0.39203
715.00	0.38189
716.00	0.36513
717.00	0.36486
718.00	0.35301
719.00	0.34425
720.00	0.33651
721.00	0.33011
722.00	0.32971
723.00	0.31222
724.00	0.30649
725.00	0.30864
726.00	0.29587
727.00	0.29811
728.00	0.28497
729.00	0.28874
730.00	0.27203
731.00	0.27764
732.00	0.27218
733.00	0.26013
734.00	0.26374
735.00	0.25337
736.00	0.25275
737.00	0.25046
738.00	0.24585
739.00	0.24182
740.00	0.23468
741.00	0.24019
742.00	0.22390
743.00	0.22563
744.00	0.21892
745.00	0.21439
746.00	0.21979
747.00	0.21334
748.00	0.20796
749.00	0.20184
750.00	0.20392
751.00	0.20012
752.00	0.19461
753.00	0.18637
754.00	0.18419
755.00	0.18029
756.00	0.18167
757.00	0.17417
758.00	0.16666
759.00	0.16110
760.00	0.16511
761.00	0.15769
762.00	0.15099
763.00	0.15015
764.00	0.14661
765.00	0.13654
766.00	0.13656
767.00	0.13278
768.00	0.13239
769.00	0.12693
770.00	0.11988
771.00	0.13064
772.00	0.11347
773.00	0.11719
774.00	0.11252
775.00	0.10346
776.00	0.11355
777.00	0.10565
778.00	0.098404
779.00	0.096897
780.00	0.089791
781.00	0.089666
782.00	0.085473
783.00	0.077920
784.00	0.083073
785.00	0.076488
786.00	0.074529
787.00	0.076604
788.00	0.068483
789.00	0.065702
790.00	0.070992
791.00	0.055139
792.00	0.061572
793.00	0.066603
794.00	0.060345
795.00	0.059183
796.00	0.058458
797.00	0.054349
798.00	0.051806
799.00	0.049688
800.00	0.054907
