Wavelength (nm)	I14 abs N
200.00	0.24723
201.00	0.24015
202.00	0.23059
203.00	0.21456
204.00	0.19957
205.00	0.18708
206.00	0.17603
207.00	0.16804
208.00	0.16043
209.00	0.15431
210.00	0.14834
211.00	0.14371
212.00	0.13944
213.00	0.13604
214.00	0.13357
215.00	0.13121
216.00	0.12903
217.00	0.12758
218.00	0.12639
219.00	0.12553
220.00	0.12503
221.00	0.12450
222.00	0.12457
223.00	0.12439
224.00	0.12403
225.00	0.12369
226.00	0.12356
227.00	0.12345
228.00	0.12426
229.00	0.12595
230.00	0.12865
231.00	0.13198
232.00	0.13631
233.00	0.14132
234.00	0.14698
235.00	0.15328
236.00	0.16003
237.00	0.16676
238.00	0.17371
239.00	0.18057
240.00	0.18745
241.00	0.19386
242.00	0.19856
243.00	0.20112
244.00	0.20128
245.00	0.19868
246.00	0.19368
247.00	0.18736
248.00	0.18015
249.00	0.17269
250.00	0.16599
251.00	0.16029
252.00	0.15588
253.00	0.15277
254.00	0.15116
255.00	0.15083
256.00	0.15193
257.00	0.15448
258.00	0.15822
259.00	0.16274
260.00	0.16827
261.00	0.17429
262.00	0.18075
263.00	0.18767
264.00	0.19466
265.00	0.20203
266.00	0.20953
267.00	0.21784
268.00	0.22647
269.00	0.23593
270.00	0.24611
271.00	0.25697
272.00	0.26821
273.00	0.27982
274.00	0.29226
275.00	0.30486
276.00	0.31811
277.00	0.33188
278.00	0.34616
279.00	0.36179
280.00	0.37897
281.00	0.39816
282.00	0.41867
283.00	0.44070
284.00	0.46215
285.00	0.48212
286.00	0.49883
287.00	0.51044
288.00	0.51509
289.00	0.51218
290.00	0.50094
291.00	0.48344
292.00	0.46026
293.00	0.43287
294.00	0.40381
295.00	0.37439
296.00	0.34553
297.00	0.31779
298.00	0.29062
299.00	0.26534
300.00	0.24115
301.00	0.21899
302.00	0.19896
303.00	0.18147
304.00	0.16669
305.00	0.15450
306.00	0.14490
307.00	0.13713
308.00	0.13104
309.00	0.12647
310.00	0.12257
311.00	0.11930
312.00	0.11689
313.00	0.11468
314.00	0.11295
315.00	0.11155
316.00	0.11042
317.00	0.10921
318.00	0.10819
319.00	0.10651
320.00	0.10455
321.00	0.10176
322.00	0.098000
323.00	0.093499
324.00	0.087915
325.00	0.082364
326.00	0.076482
327.00	0.070466
328.00	0.064856
329.00	0.059472
330.00	0.054415
331.00	0.049892
332.00	0.046041
333.00	0.042597
334.00	0.039435
335.00	0.036952
336.00	0.034728
337.00	0.032995
338.00	0.031315
339.00	0.029680
340.00	0.028342
341.00	0.027271
342.00	0.026124
343.00	0.025078
344.00	0.024170
345.00	0.023224
346.00	0.022372
347.00	0.021782
348.00	0.020919
349.00	0.020178
350.00	0.019503
351.00	0.019041
352.00	0.018581
353.00	0.017839
354.00	0.017316
355.00	0.017023
356.00	0.016874
357.00	0.016600
358.00	0.016375
359.00	0.016544
360.00	0.016071
361.00	0.015571
362.00	0.015354
363.00	0.015119
364.00	0.014856
365.00	0.014603
366.00	0.014573
367.00	0.014580
368.00	0.014357
369.00	0.014257
370.00	0.014113
371.00	0.013825
372.00	0.014138
373.00	0.014449
374.00	0.014552
375.00	0.014154
376.00	0.014181
377.00	0.014575
378.00	0.014287
379.00	0.014108
380.00	0.014313
381.00	0.013936
382.00	0.013908
383.00	0.013354
384.00	0.012891
385.00	0.012679
386.00	0.011696
387.00	0.011324
388.00	0.010829
389.00	0.010333
390.00	0.0092553
391.00	0.0091873
392.00	0.0081945
393.00	0.0080011
394.00	0.0075307
