Wavelength (nm)	I15 abs N
200.00	0.86083
201.00	0.93810
202.00	0.94926
203.00	0.92763
204.00	0.89002
205.00	0.82327
206.00	0.75895
207.00	0.71119
208.00	0.66714
209.00	0.62765
210.00	0.59323
211.00	0.56928
212.00	0.55693
213.00	0.55164
214.00	0.55492
215.00	0.56405
216.00	0.57453
217.00	0.58492
218.00	0.59424
219.00	0.60003
220.00	0.60472
221.00	0.60714
222.00	0.60843
223.00	0.60712
224.00	0.60401
225.00	0.60405
226.00	0.61311
227.00	0.63323
228.00	0.66562
229.00	0.70546
230.00	0.75081
231.00	0.79887
232.00	0.84918
233.00	0.90062
234.00	0.94544
235.00	0.97705
236.00	0.99325
237.00	1.00000
238.00	0.99799
239.00	0.98903
240.00	0.97320
241.00	0.94672
242.00	0.90417
243.00	0.83858
244.00	0.73510
245.00	0.58502
246.00	0.41477
247.00	0.27451
248.00	0.18051
249.00	0.12354
250.00	0.088450
251.00	0.067302
252.00	0.054218
253.00	0.045961
254.00	0.040714
255.00	0.037507
256.00	0.035023
257.00	0.034008
258.00	0.033461
259.00	0.033453
260.00	0.034333
261.00	0.035784
262.00	0.036666
263.00	0.038185
264.00	0.040050
265.00	0.042294
266.00	0.044763
267.00	0.047311
268.00	0.050092
269.00	0.052911
270.00	0.055802
271.00	0.059279
272.00	0.062787
273.00	0.066444
274.00	0.070000
275.00	0.073767
276.00	0.077484
277.00	0.081195
278.00	0.085304
279.00	0.089407
280.00	0.092930
281.00	0.096706
282.00	0.10034
283.00	0.10377
284.00	0.10721
285.00	0.11054
286.00	0.11335
287.00	0.11616
288.00	0.11857
289.00	0.12037
290.00	0.12206
291.00	0.12376
292.00	0.12447
293.00	0.12499
294.00	0.12522
295.00	0.12490
296.00	0.12386
297.00	0.12264
298.00	0.12101
299.00	0.11892
300.00	0.11652
301.00	0.11362
302.00	0.11021
303.00	0.10671
304.00	0.10320
305.00	0.098904
306.00	0.094640
307.00	0.090378
308.00	0.085781
309.00	0.081580
310.00	0.076803
311.00	0.072213
312.00	0.067771
313.00	0.063450
314.00	0.059693
315.00	0.055578
316.00	0.051593
317.00	0.047947
318.00	0.044295
319.00	0.040649
320.00	0.037502
321.00	0.034208
322.00	0.031465
323.00	0.028613
324.00	0.026272
325.00	0.023697
326.00	0.021755
327.00	0.019712
328.00	0.018026
329.00	0.016493
330.00	0.014750
331.00	0.013301
332.00	0.011735
333.00	0.010395
334.00	0.0094957
335.00	0.0085924
336.00	0.0076044
337.00	0.0070628
338.00	0.0065334
339.00	0.0060730
340.00	0.0054015
341.00	0.0049581
342.00	0.0046019
343.00	0.0043768
344.00	0.0038908
345.00	0.0035218
346.00	0.0033626
347.00	0.0027948
348.00	0.0027515
349.00	0.0024813
350.00	0.0023618
351.00	0.0021263
352.00	0.0023471
353.00	0.0022636
354.00	0.0020519
355.00	0.0016354
356.00	0.0016079
357.00	0.0017311
358.00	0.0019367
359.00	0.0017348
360.00	0.0017824
361.00	0.0017189
362.00	0.0012298
363.00	0.0017891
364.00	0.0020434
365.00	0.0021898
366.00	0.0017342
367.00	0.0013304
368.00	0.0017134
369.00	0.0018629
370.00	0.0018989
371.00	0.0015909
372.00	0.0015878
373.00	0.0014250
374.00	0.0017019
375.00	0.0010499
376.00	0.0013475
377.00	0.0017519
378.00	0.0014201
379.00	0.0017098
380.00	0.0012737
381.00	0.0012816
382.00	0.0015250
383.00	0.0017067
384.00	0.0018757
385.00	0.0016915
386.00	0.0015646
387.00	0.0015006
388.00	0.0016397
389.00	0.0011767
390.00	0.0011511
391.00	0.0017086
392.00	0.0019592
393.00	0.00095475
394.00	0.0010926
395.00	0.0015366
396.00	0.0016201
397.00	0.0011261
398.00	0.0012469
399.00	0.0014933
400.00	0.0015573
