Wavelength (nm)	I16 abs N
200.00	0.60206
201.00	0.61603
202.00	0.58660
203.00	0.54477
204.00	0.50229
205.00	0.47456
206.00	0.45806
207.00	0.44971
208.00	0.44758
209.00	0.45059
210.00	0.45715
211.00	0.46428
212.00	0.47003
213.00	0.47585
214.00	0.47812
215.00	0.47580
216.00	0.46913
217.00	0.45883
218.00	0.44666
219.00	0.43296
220.00	0.42074
221.00	0.41237
222.00	0.40857
223.00	0.41066
224.00	0.41942
225.00	0.43643
226.00	0.46276
227.00	0.49866
228.00	0.54164
229.00	0.58960
230.00	0.64135
231.00	0.69805
232.00	0.76161
233.00	0.83306
234.00	0.89556
235.00	0.93571
236.00	0.95257
237.00	0.96058
238.00	0.97949
239.00	1.00000
240.00	0.98560
241.00	0.87442
242.00	0.66500
243.00	0.43577
244.00	0.26530
245.00	0.16330
246.00	0.10555
247.00	0.073670
248.00	0.055018
249.00	0.043220
250.00	0.035399
251.00	0.029904
252.00	0.025473
253.00	0.021845
254.00	0.019056
255.00	0.016975
256.00	0.015086
257.00	0.013778
258.00	0.012816
259.00	0.011868
260.00	0.011421
261.00	0.011107
262.00	0.011041
263.00	0.010690
264.00	0.010850
265.00	0.010873
266.00	0.011209
267.00	0.011855
268.00	0.012292
269.00	0.013151
270.00	0.014109
271.00	0.015161
272.00	0.016285
273.00	0.017699
274.00	0.019301
275.00	0.021068
276.00	0.023104
277.00	0.025146
278.00	0.027536
279.00	0.030289
280.00	0.033057
281.00	0.035907
282.00	0.039244
283.00	0.042890
284.00	0.046469
285.00	0.050294
286.00	0.054694
287.00	0.059060
288.00	0.063369
289.00	0.068221
290.00	0.073235
291.00	0.078412
292.00	0.083638
293.00	0.088926
294.00	0.094613
295.00	0.099850
296.00	0.10578
297.00	0.11165
298.00	0.11728
299.00	0.12312
300.00	0.12873
301.00	0.13442
302.00	0.14026
303.00	0.14556
304.00	0.15109
305.00	0.15616
306.00	0.16105
307.00	0.16559
308.00	0.16953
309.00	0.17381
310.00	0.17761
311.00	0.18093
312.00	0.18406
313.00	0.18631
314.00	0.18849
315.00	0.19050
316.00	0.19168
317.00	0.19251
318.00	0.19312
319.00	0.19319
320.00	0.19255
321.00	0.19168
322.00	0.19013
323.00	0.18804
324.00	0.18554
325.00	0.18272
326.00	0.17964
327.00	0.17638
328.00	0.17202
329.00	0.16775
330.00	0.16317
331.00	0.15827
332.00	0.15299
333.00	0.14771
334.00	0.14206
335.00	0.13612
336.00	0.13014
337.00	0.12439
338.00	0.11808
339.00	0.11204
340.00	0.10568
341.00	0.099282
342.00	0.093297
343.00	0.086897
344.00	0.080531
345.00	0.074491
346.00	0.068120
347.00	0.062056
348.00	0.056250
349.00	0.050713
350.00	0.045704
351.00	0.040948
352.00	0.036552
353.00	0.032585
354.00	0.029024
355.00	0.025836
356.00	0.023098
357.00	0.020821
358.00	0.018911
359.00	0.016570
360.00	0.014770
361.00	0.012574
362.00	0.010583
363.00	0.0091500
364.00	0.0079473
365.00	0.0067392
366.00	0.0054258
367.00	0.0044732
368.00	0.0037469
369.00	0.0026467
370.00	0.0025870
371.00	0.0024547
372.00	0.0018569
373.00	0.0014695
374.00	0.0015997
375.00	0.0018558
376.00	0.0013985
377.00	0.0014180
378.00	0.0017098
379.00	0.0015417
380.00	0.0012731
381.00	0.00095580
382.00	0.0010236
383.00	0.0017077
384.00	0.0016230
385.00	0.0012791
386.00	0.0010968
387.00	0.00098672
388.00	0.0015156
389.00	0.0010263
390.00	0.0011826
391.00	0.00095851
392.00	0.0010355
393.00	0.0010491
394.00	0.00050771
395.00	0.00061566
396.00	0.0010583
397.00	0.00086629
398.00	0.00057714
399.00	0.00079305
400.00	0.00086357
