Wavelength (nm)	I17 abs N
220.00	0.15122
220.25	0.15042
220.50	0.15035
220.75	0.14948
221.00	0.14635
221.25	0.14651
221.50	0.14525
221.75	0.14427
222.00	0.14276
222.25	0.14309
222.50	0.14000
222.75	0.13802
223.00	0.13728
223.25	0.13731
223.50	0.13594
223.75	0.13516
224.00	0.13266
224.25	0.13364
224.50	0.13113
224.75	0.13227
225.00	0.13141
225.25	0.13127
225.50	0.13070
225.75	0.12993
226.00	0.12921
226.25	0.12993
226.50	0.13124
226.75	0.13112
227.00	0.13002
227.25	0.13023
227.50	0.13382
227.75	0.13258
228.00	0.13106
228.25	0.13394
228.50	0.13628
228.75	0.13601
229.00	0.13722
229.25	0.13767
229.50	0.13834
229.75	0.13846
230.00	0.14044
230.25	0.14320
230.50	0.14433
230.75	0.14542
231.00	0.14759
231.25	0.14931
231.50	0.15099
231.75	0.15085
232.00	0.15350
232.25	0.15478
232.50	0.15776
232.75	0.15786
233.00	0.16012
233.25	0.16085
233.50	0.16277
233.75	0.16632
234.00	0.16741
234.25	0.16870
234.50	0.17209
234.75	0.17247
235.00	0.17427
235.25	0.17555
235.50	0.17824
235.75	0.17969
236.00	0.18118
236.25	0.18567
236.50	0.18627
236.75	0.18818
237.00	0.18940
237.25	0.19182
237.50	0.19099
237.75	0.19258
238.00	0.19321
238.25	0.19382
238.50	0.19477
238.75	0.19541
239.00	0.19584
239.25	0.19665
239.50	0.19575
239.75	0.19665
240.00	0.19684
240.25	0.19751
240.50	0.19867
240.75	0.19868
241.00	0.19895
241.25	0.19928
241.50	0.19935
241.75	0.20143
242.00	0.20215
242.25	0.20483
242.50	0.20450
242.75	0.20554
243.00	0.20620
243.25	0.20600
243.50	0.20414
243.75	0.20480
244.00	0.20387
244.25	0.20391
244.50	0.20214
244.75	0.20232
245.00	0.20216
245.25	0.20150
245.50	0.20039
245.75	0.20028
246.00	0.20188
246.25	0.20235
246.50	0.20347
246.75	0.20332
247.00	0.20637
247.25	0.20816
247.50	0.21040
247.75	0.21325
248.00	0.21639
248.25	0.21913
248.50	0.22038
248.75	0.22412
249.00	0.22427
249.25	0.22260
