Wavelength (nm)	I18 abs N
220.00	0.35504
220.25	0.35473
220.50	0.35857
220.75	0.35470
221.00	0.35459
221.25	0.35079
221.50	0.35022
221.75	0.35267
222.00	0.35175
222.25	0.35023
222.50	0.35311
222.75	0.35230
223.00	0.35210
223.25	0.35081
223.50	0.35458
223.75	0.35331
224.00	0.35278
224.25	0.35417
224.50	0.35467
224.75	0.35653
225.00	0.35661
225.25	0.35770
225.50	0.35939
225.75	0.35607
226.00	0.35927
226.25	0.35951
226.50	0.36056
226.75	0.35895
227.00	0.35910
227.25	0.36160
227.50	0.36134
227.75	0.35747
228.00	0.35763
228.25	0.35935
228.50	0.35927
228.75	0.35581
229.00	0.35466
229.25	0.35233
229.50	0.35095
229.75	0.35082
230.00	0.34797
230.25	0.34822
230.50	0.34335
230.75	0.34261
231.00	0.33854
231.25	0.33823
231.50	0.33582
231.75	0.33204
232.00	0.33155
232.25	0.33086
232.50	0.32639
232.75	0.32456
233.00	0.32062
233.25	0.31962
233.50	0.31765
233.75	0.31584
234.00	0.31488
234.25	0.31430
234.50	0.31119
234.75	0.30838
235.00	0.30710
235.25	0.30442
235.50	0.30346
235.75	0.30087
236.00	0.30090
236.25	0.29934
236.50	0.29673
236.75	0.29364
237.00	0.29391
237.25	0.29159
237.50	0.28944
237.75	0.28712
238.00	0.28590
238.25	0.28611
238.50	0.28177
238.75	0.28124
239.00	0.27996
239.25	0.27677
239.50	0.27629
239.75	0.27307
240.00	0.27357
240.25	0.26913
240.50	0.26786
240.75	0.26597
241.00	0.26397
241.25	0.26186
241.50	0.26095
241.75	0.25717
242.00	0.25499
242.25	0.25255
242.50	0.25099
242.75	0.24945
243.00	0.24867
243.25	0.24770
243.50	0.24625
243.75	0.24418
244.00	0.24337
244.25	0.24238
244.50	0.24075
244.75	0.24167
245.00	0.24052
245.25	0.24200
245.50	0.24027
245.75	0.24101
246.00	0.24144
246.25	0.24201
246.50	0.24187
246.75	0.24239
247.00	0.24286
247.25	0.24423
247.50	0.24330
247.75	0.24494
248.00	0.24454
248.25	0.24456
248.50	0.24445
248.75	0.24528
249.00	0.24332
249.25	0.24517
249.50	0.24671
249.75	0.24683
250.00	0.24698
250.25	0.24446
250.50	0.24495
250.75	0.24596
251.00	0.24575
251.25	0.24731
251.50	0.24753
251.75	0.24898
252.00	0.24954
252.25	0.24956
252.50	0.25152
252.75	0.25149
253.00	0.25332
253.25	0.25718
253.50	0.26013
253.75	0.26113
254.00	0.26415
254.25	0.26647
254.50	0.26761
254.75	0.27120
255.00	0.27245
255.25	0.27679
255.50	0.27725
255.75	0.28187
256.00	0.28539
256.25	0.29001
256.50	0.29179
256.75	0.29578
257.00	0.30061
257.25	0.30382
257.50	0.30735
257.75	0.31138
258.00	0.31617
258.25	0.31941
258.50	0.32516
258.75	0.32978
259.00	0.33495
259.25	0.34137
259.50	0.34508
259.75	0.35218
260.00	0.35570
260.25	0.36201
260.50	0.36751
260.75	0.37294
261.00	0.37891
261.25	0.38547
261.50	0.39070
261.75	0.39513
262.00	0.39972
262.25	0.40515
262.50	0.41081
262.75	0.41715
263.00	0.42020
263.25	0.42591
263.50	0.43037
263.75	0.43560
264.00	0.43778
264.25	0.44126
264.50	0.44512
264.75	0.45034
265.00	0.45402
265.25	0.45796
265.50	0.45865
265.75	0.46342
266.00	0.46670
266.25	0.46989
266.50	0.47277
266.75	0.47675
267.00	0.48007
267.25	0.48416
267.50	0.48540
267.75	0.48961
268.00	0.49083
268.25	0.49616
268.50	0.49886
268.75	0.50189
269.00	0.50425
269.25	0.50621
269.50	0.50823
269.75	0.50848
270.00	0.51022
270.25	0.51011
270.50	0.51054
270.75	0.51092
271.00	0.50828
271.25	0.50646
271.50	0.50294
271.75	0.49964
272.00	0.49438
272.25	0.49060
272.50	0.48474
272.75	0.47925
273.00	0.46860
273.25	0.46221
273.50	0.45351
273.75	0.44413
274.00	0.43441
274.25	0.42279
274.50	0.41106
274.75	0.39783
275.00	0.38194
275.25	0.36679
275.50	0.35288
275.75	0.33718
276.00	0.32506
276.25	0.31269
276.50	0.29814
276.75	0.28740
277.00	0.27484
277.25	0.26353
277.50	0.25480
277.75	0.24302
278.00	0.23384
278.25	0.22510
278.50	0.21713
278.75	0.20614
279.00	0.19883
279.25	0.19328
279.50	0.18317
279.75	0.17918
280.00	0.17211
280.25	0.16701
280.50	0.15964
280.75	0.15635
281.00	0.14929
281.25	0.14538
281.50	0.14153
281.75	0.13743
282.00	0.13285
282.25	0.12995
282.50	0.12752
282.75	0.12340
283.00	0.11832
283.25	0.11708
283.50	0.11529
283.75	0.11307
284.00	0.11073
284.25	0.10833
284.50	0.10468
284.75	0.10365
285.00	0.10222
285.25	0.10069
285.50	0.098620
285.75	0.098999
286.00	0.097185
286.25	0.095453
286.50	0.094542
286.75	0.090585
287.00	0.090899
287.25	0.089650
287.50	0.089296
287.75	0.087636
288.00	0.086773
288.25	0.086596
288.50	0.085943
288.75	0.083042
289.00	0.082728
289.25	0.084573
289.50	0.081511
289.75	0.082719
290.00	0.082840
290.25	0.083130
290.50	0.081253
290.75	0.081180
291.00	0.077852
291.25	0.078650
291.50	0.079174
291.75	0.078392
292.00	0.078150
292.25	0.078714
292.50	0.077828
292.75	0.078126
293.00	0.077538
293.25	0.078650
293.50	0.076498
293.75	0.077642
294.00	0.078529
294.25	0.076780
294.50	0.078553
294.75	0.079560
295.00	0.075837
295.25	0.078561
295.50	0.076554
295.75	0.078883
296.00	0.078440
296.25	0.082051
296.50	0.080020
296.75	0.081124
297.00	0.080826
297.25	0.080124
297.50	0.082518
297.75	0.079939
298.00	0.084331
298.25	0.083364
298.50	0.084541
298.75	0.084903
299.00	0.085492
299.25	0.087023
299.50	0.087136
299.75	0.087837
300.00	0.089449
300.25	0.091617
300.50	0.092406
300.75	0.093438
301.00	0.094059
301.25	0.093849
301.50	0.094881
301.75	0.096533
302.00	0.097717
302.25	0.098701
302.50	0.10026
302.75	0.10238
303.00	0.10181
303.25	0.10255
303.50	0.10163
303.75	0.10454
304.00	0.10330
304.25	0.10650
304.50	0.10779
304.75	0.10984
305.00	0.10927
305.25	0.11047
305.50	0.11134
305.75	0.11210
306.00	0.11289
306.25	0.11406
306.50	0.11568
306.75	0.11746
307.00	0.11749
307.25	0.11876
307.50	0.11780
307.75	0.11996
308.00	0.12241
308.25	0.12161
308.50	0.12332
308.75	0.12397
309.00	0.12566
309.25	0.12665
309.50	0.12733
309.75	0.12935
310.00	0.12562
310.25	0.13248
310.50	0.12791
310.75	0.12500
311.00	0.14275
311.25	0.13608
311.50	0.13638
311.75	0.13591
312.00	0.13783
312.25	0.12832
312.50	0.13766
312.75	0.14118
313.00	0.13984
313.25	0.14182
313.50	0.14330
313.75	0.14610
314.00	0.14512
314.25	0.14880
314.50	0.14961
314.75	0.14311
315.00	0.14722
315.25	0.15549
315.50	0.14938
315.75	0.15324
316.00	0.14643
316.25	0.14867
316.50	0.15055
316.75	0.15764
317.00	0.15432
317.25	0.15399
317.50	0.15593
317.75	0.15228
318.00	0.15133
318.25	0.14967
318.50	0.15106
318.75	0.15070
319.00	0.15519
319.25	0.15611
319.50	0.15440
319.75	0.15442
320.00	0.15554
320.25	0.14394
320.50	0.14819
320.75	0.15233
321.00	0.14935
321.25	0.14941
321.50	0.14710
321.75	0.15019
322.00	0.14700
322.25	0.14596
322.50	0.14514
322.75	0.14079
323.00	0.14110
323.25	0.14211
323.50	0.14287
323.75	0.13979
324.00	0.13924
324.25	0.13688
324.50	0.13636
324.75	0.13053
325.00	0.13101
325.25	0.13266
325.50	0.12667
325.75	0.12587
326.00	0.12309
326.25	0.11793
326.50	0.12359
326.75	0.11807
327.00	0.11973
327.25	0.11649
327.50	0.12082
327.75	0.11002
328.00	0.11318
328.25	0.11418
328.50	0.10782
328.75	0.10739
329.00	0.10707
329.25	0.10801
329.50	0.10319
329.75	0.099241
330.00	0.10093
330.25	0.10174
330.50	0.097588
330.75	0.095082
331.00	0.095275
331.25	0.093849
331.50	0.085959
331.75	0.088595
332.00	0.092213
332.25	0.094171
332.50	0.087047
332.75	0.085895
333.00	0.084944
333.25	0.081922
333.50	0.078819
