Wavelength (nm)	I18 ems
550.00	0.0084227
550.50	0.0087902
551.00	0.0092430
551.50	0.0094862
552.00	0.0096115
552.50	0.0099472
553.00	0.010377
553.50	0.010722
554.00	0.011071
554.50	0.011431
555.00	0.011779
555.50	0.012146
556.00	0.012515
556.50	0.012962
557.00	0.013184
557.50	0.013715
558.00	0.014368
558.50	0.014743
559.00	0.014814
559.50	0.015427
560.00	0.015850
560.50	0.016258
561.00	0.016446
561.50	0.016868
562.00	0.017332
562.50	0.017787
563.00	0.018073
563.50	0.018742
564.00	0.019068
564.50	0.019461
565.00	0.020209
565.50	0.020498
566.00	0.020706
566.50	0.021386
567.00	0.021847
567.50	0.022059
568.00	0.022720
568.50	0.022766
569.00	0.023768
569.50	0.023964
570.00	0.024583
570.50	0.024941
571.00	0.025842
571.50	0.026070
572.00	0.026925
572.50	0.027465
573.00	0.028043
573.50	0.028252
574.00	0.028768
574.50	0.029521
575.00	0.030134
575.50	0.030874
576.00	0.031274
576.50	0.032325
577.00	0.033183
577.50	0.033380
578.00	0.034392
578.50	0.035159
579.00	0.036462
579.50	0.037045
580.00	0.037950
580.50	0.038840
581.00	0.040239
581.50	0.040911
582.00	0.042276
582.50	0.043644
583.00	0.044659
583.50	0.045427
584.00	0.047140
584.50	0.049195
585.00	0.050646
585.50	0.051544
586.00	0.053526
586.50	0.055560
587.00	0.057489
587.50	0.059902
588.00	0.061632
588.50	0.064100
589.00	0.066867
589.50	0.069231
590.00	0.071790
590.50	0.074840
591.00	0.078694
591.50	0.081638
592.00	0.085462
592.50	0.089089
593.00	0.092992
593.50	0.096117
594.00	0.10212
594.50	0.10574
595.00	0.11174
595.50	0.11587
596.00	0.12229
596.50	0.12813
597.00	0.13498
597.50	0.13977
598.00	0.14807
598.50	0.15619
599.00	0.16391
599.50	0.17180
600.00	0.18036
600.50	0.19203
601.00	0.20200
601.50	0.21186
602.00	0.22513
602.50	0.23802
603.00	0.25299
603.50	0.26487
604.00	0.28077
604.50	0.29680
605.00	0.31277
605.50	0.32693
606.00	0.34608
606.50	0.36618
607.00	0.38399
607.50	0.40192
608.00	0.42142
608.50	0.44494
609.00	0.46834
609.50	0.48961
610.00	0.51212
610.50	0.53709
611.00	0.56457
611.50	0.58750
612.00	0.61406
612.50	0.64258
613.00	0.67019
613.50	0.69495
614.00	0.71946
614.50	0.74767
615.00	0.77466
615.50	0.79872
616.00	0.82043
616.50	0.84710
617.00	0.86811
617.50	0.88799
618.00	0.91042
618.50	0.92660
619.00	0.94162
619.50	0.95688
620.00	0.96904
620.50	0.97710
621.00	0.98715
621.50	0.99351
622.00	1.0000
622.50	0.99941
623.00	0.99619
623.50	0.99489
624.00	0.99114
624.50	0.98070
625.00	0.96855
625.50	0.95903
626.00	0.94691
626.50	0.92779
627.00	0.90918
627.50	0.89714
628.00	0.87672
628.50	0.85902
629.00	0.84316
629.50	0.83230
630.00	0.81827
630.50	0.80445
631.00	0.79004
631.50	0.78004
632.00	0.77045
632.50	0.75777
633.00	0.74848
633.50	0.73938
634.00	0.73210
634.50	0.72435
635.00	0.71539
635.50	0.70582
636.00	0.70362
636.50	0.69276
637.00	0.69041
637.50	0.68371
638.00	0.67936
