Wavelength (nm)	I20 ems
510.00	0.0011882
510.50	0.0012394
511.00	0.0012905
511.50	0.0013310
512.00	0.0014053
512.50	0.0014972
513.00	0.0015706
513.50	0.0016177
514.00	0.0017051
514.50	0.0017981
515.00	0.0018784
515.50	0.0020014
516.00	0.0021433
516.50	0.0022871
517.00	0.0022896
517.50	0.0024525
518.00	0.0026425
518.50	0.0027946
519.00	0.0029331
519.50	0.0031445
520.00	0.0033018
520.50	0.0035859
521.00	0.0037206
521.50	0.0040237
522.00	0.0042427
522.50	0.0045527
523.00	0.0048696
523.50	0.0051460
524.00	0.0054495
524.50	0.0058662
525.00	0.0061779
525.50	0.0066097
526.00	0.0070588
526.50	0.0075081
527.00	0.0079498
527.50	0.0085223
528.00	0.0090826
528.50	0.0096951
529.00	0.010210
529.50	0.010826
530.00	0.011501
530.50	0.012351
531.00	0.012946
531.50	0.013870
532.00	0.014696
532.50	0.015695
533.00	0.016427
533.50	0.017444
534.00	0.018577
534.50	0.019819
535.00	0.020805
535.50	0.022166
536.00	0.023497
536.50	0.024989
537.00	0.025978
537.50	0.027872
538.00	0.029274
538.50	0.031024
539.00	0.032485
539.50	0.034483
540.00	0.036136
540.50	0.038162
541.00	0.039713
541.50	0.042084
542.00	0.043872
542.50	0.046328
543.00	0.048078
543.50	0.050536
544.00	0.052999
544.50	0.055666
545.00	0.057942
545.50	0.061000
546.00	0.064114
546.50	0.067381
547.00	0.069948
547.50	0.073654
548.00	0.077019
548.50	0.080734
549.00	0.083998
549.50	0.088194
550.00	0.092130
550.50	0.096976
551.00	0.10060
551.50	0.10548
552.00	0.11051
552.50	0.11556
553.00	0.11991
553.50	0.12559
554.00	0.13095
554.50	0.13707
555.00	0.14191
555.50	0.14799
556.00	0.15361
556.50	0.16084
557.00	0.16536
557.50	0.17213
558.00	0.17822
558.50	0.18546
559.00	0.19093
559.50	0.19835
560.00	0.20465
560.50	0.21277
561.00	0.21805
561.50	0.22644
562.00	0.23246
562.50	0.24134
563.00	0.24774
563.50	0.25618
564.00	0.26377
564.50	0.27289
565.00	0.27955
565.50	0.28863
566.00	0.29676
566.50	0.30583
567.00	0.31301
567.50	0.32224
568.00	0.33138
568.50	0.34069
569.00	0.34851
569.50	0.35791
570.00	0.36754
570.50	0.37714
571.00	0.38561
571.50	0.39559
572.00	0.40475
572.50	0.41547
573.00	0.42350
573.50	0.43438
574.00	0.44403
574.50	0.45482
575.00	0.46465
575.50	0.47441
576.00	0.48614
576.50	0.49676
577.00	0.50633
577.50	0.51758
578.00	0.52827
578.50	0.53927
579.00	0.54832
579.50	0.55917
580.00	0.56933
580.50	0.58094
581.00	0.58908
581.50	0.59933
582.00	0.60914
582.50	0.62051
583.00	0.62775
583.50	0.63839
584.00	0.64754
584.50	0.65801
585.00	0.66571
585.50	0.67606
586.00	0.68472
586.50	0.69455
587.00	0.70310
587.50	0.71356
588.00	0.72072
588.50	0.73023
589.00	0.73810
589.50	0.74661
590.00	0.75449
590.50	0.76309
591.00	0.76996
591.50	0.77890
592.00	0.78694
592.50	0.79500
593.00	0.80232
593.50	0.81058
594.00	0.81707
594.50	0.82460
595.00	0.83093
595.50	0.83912
596.00	0.84502
596.50	0.85261
597.00	0.85846
597.50	0.86523
598.00	0.87039
598.50	0.87729
599.00	0.88321
599.50	0.88756
600.00	0.89354
600.50	0.90048
601.00	0.90629
601.50	0.91038
602.00	0.91588
602.50	0.92104
603.00	0.92570
603.50	0.93056
604.00	0.93471
604.50	0.93803
605.00	0.94195
