Wavelength (nm)	I-21, 62669-60-7, Oxazine 170.ems
560.00	0.0033389
560.50	0.0034013
561.00	0.0035011
561.50	0.0036070
562.00	0.0036948
562.50	0.0037925
563.00	0.0038838
563.50	0.0040030
564.00	0.0041112
564.50	0.0042596
565.00	0.0043573
565.50	0.0045124
566.00	0.0046222
566.50	0.0047953
567.00	0.0049228
567.50	0.0050724
568.00	0.0052323
568.50	0.0054246
569.00	0.0055882
569.50	0.0058043
570.00	0.0059629
570.50	0.0061665
571.00	0.0063823
571.50	0.0066152
572.00	0.0068258
572.50	0.0071412
573.00	0.0073245
573.50	0.0075966
574.00	0.0078873
574.50	0.0081958
575.00	0.0084789
575.50	0.0088329
576.00	0.0091703
576.50	0.0095785
577.00	0.0098968
577.50	0.010341
578.00	0.010751
578.50	0.011223
579.00	0.011618
579.50	0.012110
580.00	0.012552
580.50	0.013118
581.00	0.013560
581.50	0.014108
582.00	0.014630
582.50	0.015319
583.00	0.015817
583.50	0.016493
584.00	0.017144
584.50	0.017931
585.00	0.018485
585.50	0.019327
586.00	0.020016
586.50	0.020930
587.00	0.021700
587.50	0.022621
588.00	0.023582
588.50	0.024641
589.00	0.025437
589.50	0.026598
590.00	0.027644
590.50	0.028892
591.00	0.029930
591.50	0.031339
592.00	0.032551
592.50	0.034112
593.00	0.035281
593.50	0.036923
594.00	0.038461
594.50	0.040115
595.00	0.041581
595.50	0.043457
596.00	0.045161
596.50	0.047318
597.00	0.049024
597.50	0.051233
598.00	0.053349
598.50	0.055876
599.00	0.057997
599.50	0.060581
600.00	0.063341
600.50	0.066431
601.00	0.069116
601.50	0.072209
602.00	0.075595
602.50	0.079276
603.00	0.082460
603.50	0.086387
604.00	0.089853
604.50	0.094249
605.00	0.097450
605.50	0.10179
606.00	0.10626
606.50	0.11129
607.00	0.11525
607.50	0.12072
608.00	0.12548
608.50	0.13171
609.00	0.13618
609.50	0.14261
610.00	0.14837
610.50	0.15581
611.00	0.16146
611.50	0.16903
612.00	0.17638
612.50	0.18484
613.00	0.19158
613.50	0.20095
614.00	0.20886
614.50	0.21843
615.00	0.22631
615.50	0.23710
616.00	0.24699
616.50	0.25857
617.00	0.26783
617.50	0.28064
618.00	0.29227
618.50	0.30530
619.00	0.31650
619.50	0.33076
620.00	0.34413
620.50	0.35987
621.00	0.37285
621.50	0.39043
622.00	0.40591
622.50	0.42468
623.00	0.44036
623.50	0.45888
624.00	0.47808
624.50	0.49893
625.00	0.51706
625.50	0.53700
626.00	0.55692
626.50	0.57988
627.00	0.59786
627.50	0.61914
628.00	0.63941
628.50	0.66251
629.00	0.67996
629.50	0.70200
630.00	0.72243
630.50	0.74547
631.00	0.76131
631.50	0.78300
632.00	0.80220
632.50	0.82357
633.00	0.83924
633.50	0.85907
634.00	0.87573
634.50	0.89428
635.00	0.90838
635.50	0.92318
636.00	0.93587
636.50	0.94902
637.00	0.95811
637.50	0.96840
638.00	0.97613
638.50	0.98358
639.00	0.98852
639.50	0.99287
640.00	0.99607
640.50	0.99889
641.00	1.0000
641.50	0.99983
642.00	0.99771
642.50	0.99581
643.00	0.99393
643.50	0.98890
644.00	0.98466
644.50	0.97873
645.00	0.97409
645.50	0.96714
646.00	0.96069
646.50	0.95330
647.00	0.94761
647.50	0.93862
648.00	0.93074
648.50	0.92102
649.00	0.91401
649.50	0.90539
650.00	0.89700
650.50	0.88893
651.00	0.88252
651.50	0.87586
652.00	0.86970
652.50	0.86139
653.00	0.85714
653.50	0.85128
654.00	0.84544
654.50	0.83885
655.00	0.83471
655.50	0.82838
656.00	0.82350
656.50	0.81740
657.00	0.81468
657.50	0.80819
658.00	0.80338
658.50	0.79609
659.00	0.79191
659.50	0.78477
660.00	0.78057
660.50	0.77295
661.00	0.76817
661.50	0.76164
662.00	0.75637
662.50	0.74807
663.00	0.74184
663.50	0.73505
664.00	0.72907
664.50	0.72044
665.00	0.71421
665.50	0.70666
666.00	0.69979
666.50	0.69163
667.00	0.68501
667.50	0.67694
668.00	0.66852
668.50	0.65975
669.00	0.65406
669.50	0.64391
670.00	0.63587
670.50	0.62635
671.00	0.61944
671.50	0.61015
672.00	0.60164
672.50	0.59136
673.00	0.58412
673.50	0.57457
674.00	0.56551
674.50	0.55572
675.00	0.54866
675.50	0.54014
676.00	0.53306
676.50	0.52428
677.00	0.51859
677.50	0.51113
678.00	0.50486
678.50	0.49639
679.00	0.49217
679.50	0.48511
680.00	0.47885
680.50	0.47287
681.00	0.46942
681.50	0.46298
682.00	0.45821
682.50	0.45204
683.00	0.44861
683.50	0.44322
684.00	0.43873
684.50	0.43341
685.00	0.43001
685.50	0.42586
686.00	0.42250
686.50	0.41766
687.00	0.41463
687.50	0.41166
688.00	0.40847
688.50	0.40541
689.00	0.40295
689.50	0.39891
690.00	0.39690
690.50	0.39373
691.00	0.39144
691.50	0.38826
692.00	0.38599
692.50	0.38250
693.00	0.38131
693.50	0.37855
694.00	0.37541
694.50	0.37286
695.00	0.37095
695.50	0.36739
696.00	0.36538
696.50	0.36183
697.00	0.36036
697.50	0.35720
698.00	0.35412
698.50	0.35128
699.00	0.34919
699.50	0.34611
700.00	0.34373
700.50	0.34030
701.00	0.33911
701.50	0.33597
702.00	0.33417
702.50	0.33100
703.00	0.32979
703.50	0.32567
704.00	0.32332
704.50	0.32019
705.00	0.31871
705.50	0.31473
706.00	0.31305
706.50	0.30978
707.00	0.30721
707.50	0.30309
708.00	0.30055
708.50	0.29702
709.00	0.29471
709.50	0.29124
710.00	0.28864
710.50	0.28516
711.00	0.28270
711.50	0.27934
712.00	0.27625
712.50	0.27359
713.00	0.27036
713.50	0.26752
714.00	0.26454
714.50	0.26091
715.00	0.25865
715.50	0.25489
716.00	0.25217
716.50	0.24835
717.00	0.24647
717.50	0.24277
718.00	0.24057
718.50	0.23646
719.00	0.23453
719.50	0.23006
720.00	0.22782
720.50	0.22392
721.00	0.22164
721.50	0.21863
722.00	0.21565
722.50	0.21202
723.00	0.21011
723.50	0.20704
724.00	0.20438
724.50	0.20089
725.00	0.19932
725.50	0.19622
726.00	0.19448
726.50	0.19096
727.00	0.18923
727.50	0.18656
728.00	0.18433
728.50	0.18128
729.00	0.17990
729.50	0.17675
730.00	0.17476
730.50	0.17175
731.00	0.17068
731.50	0.16767
732.00	0.16589
732.50	0.16288
733.00	0.16120
733.50	0.15900
734.00	0.15648
734.50	0.15462
735.00	0.15280
735.50	0.15118
736.00	0.14872
736.50	0.14666
737.00	0.14506
737.50	0.14273
738.00	0.14104
738.50	0.13895
739.00	0.13728
739.50	0.13534
740.00	0.13355
740.50	0.13170
741.00	0.12989
741.50	0.12831
742.00	0.12639
742.50	0.12431
743.00	0.12295
743.50	0.12086
744.00	0.11914
744.50	0.11717
745.00	0.11566
745.50	0.11400
746.00	0.11228
746.50	0.11008
747.00	0.10869
747.50	0.10712
748.00	0.10525
748.50	0.10326
749.00	0.10233
749.50	0.10059
750.00	0.098989
750.50	0.097434
751.00	0.096147
751.50	0.094643
752.00	0.093104
752.50	0.091417
753.00	0.090548
753.50	0.088864
754.00	0.087600
754.50	0.086530
755.00	0.085088
755.50	0.083427
756.00	0.082028
756.50	0.081102
757.00	0.079970
757.50	0.078757
758.00	0.077435
758.50	0.076128
759.00	0.074680
759.50	0.074487
760.00	0.073131
760.50	0.072194
761.00	0.071468
761.50	0.070744
762.00	0.069819
762.50	0.068892
763.00	0.067832
763.50	0.066959
764.00	0.065991
764.50	0.065610
765.00	0.064487
765.50	0.064129
766.00	0.063021
766.50	0.062383
767.00	0.061764
767.50	0.060911
768.00	0.060042
768.50	0.059327
769.00	0.058541
769.50	0.058200
770.00	0.057485
