Wavelength (nm)	J01 abs N
280.00	0.30729
280.25	0.31834
280.50	0.32083
280.75	0.32752
281.00	0.33264
281.25	0.33193
281.50	0.34213
281.75	0.34465
282.00	0.34793
282.25	0.35267
282.50	0.34975
282.75	0.36191
283.00	0.36981
283.25	0.36732
283.50	0.36883
283.75	0.37381
284.00	0.38404
284.25	0.38528
284.50	0.39027
284.75	0.39233
285.00	0.39042
285.25	0.40251
285.50	0.40374
285.75	0.40166
286.00	0.42365
286.25	0.41580
286.50	0.42547
286.75	0.43060
287.00	0.42931
287.25	0.44243
287.50	0.44590
287.75	0.44508
288.00	0.45299
288.25	0.45784
288.50	0.45817
288.75	0.46704
289.00	0.47400
289.25	0.47025
289.50	0.48130
289.75	0.48477
290.00	0.49501
290.25	0.49466
290.50	0.50550
290.75	0.50954
291.00	0.51279
291.25	0.51897
291.50	0.52914
291.75	0.52975
292.00	0.53389
292.25	0.54892
292.50	0.54657
292.75	0.54781
293.00	0.55344
293.25	0.56308
293.50	0.57280
293.75	0.56796
294.00	0.57991
294.25	0.58290
294.50	0.59070
294.75	0.58852
295.00	0.59867
295.25	0.60513
295.50	0.61216
295.75	0.61386
296.00	0.61743
296.25	0.61703
296.50	0.62738
296.75	0.62761
297.00	0.63765
297.25	0.64843
297.50	0.65389
297.75	0.65887
298.00	0.66305
298.25	0.66150
298.50	0.67181
298.75	0.68811
299.00	0.67869
299.25	0.69333
299.50	0.69491
299.75	0.69901
300.00	0.70232
300.25	0.71331
300.50	0.71674
300.75	0.72584
301.00	0.72940
301.25	0.73378
301.50	0.73683
301.75	0.74929
302.00	0.74760
302.25	0.75846
302.50	0.76300
302.75	0.75878
303.00	0.77235
303.25	0.78061
303.50	0.78416
303.75	0.78703
304.00	0.78964
304.25	0.79832
304.50	0.80689
304.75	0.81308
305.00	0.81169
305.25	0.81620
305.50	0.82230
305.75	0.82812
306.00	0.82972
306.25	0.83400
306.50	0.83260
306.75	0.84159
307.00	0.84022
307.25	0.85547
307.50	0.86305
307.75	0.85921
308.00	0.87151
308.25	0.86940
308.50	0.87619
308.75	0.86796
309.00	0.88036
309.25	0.88526
309.50	0.88915
309.75	0.88414
310.00	0.89494
310.25	0.89076
310.50	0.89762
310.75	0.91663
311.00	0.91505
311.25	0.92006
311.50	0.91787
311.75	0.93551
312.00	0.93038
312.25	0.91633
312.50	0.93742
312.75	0.93456
313.00	0.93392
313.25	0.95698
313.50	0.94688
313.75	0.94589
314.00	0.94348
314.25	0.95721
314.50	0.96437
314.75	0.95747
315.00	0.96086
315.25	0.97041
315.50	0.97274
315.75	0.96573
316.00	0.96745
316.25	0.98147
316.50	0.97910
316.75	0.98246
317.00	0.97789
317.25	0.98689
317.50	0.98577
317.75	0.99068
318.00	0.96817
318.25	0.98664
318.50	0.98984
318.75	0.98959
319.00	1.00000
319.25	0.99071
319.50	0.99115
319.75	0.99377
320.00	0.99251
320.25	0.98357
320.50	0.99082
320.75	0.97342
321.00	0.99138
321.25	0.97821
321.50	0.98090
321.75	0.99251
322.00	0.97858
322.25	0.98974
322.50	0.97923
322.75	0.96516
323.00	0.97548
323.25	0.97206
323.50	0.97883
323.75	0.98014
324.00	0.96145
324.25	0.95452
324.50	0.96453
324.75	0.96127
325.00	0.95537
325.25	0.95879
325.50	0.94179
325.75	0.94065
326.00	0.94567
326.25	0.94050
326.50	0.94351
326.75	0.93761
327.00	0.93920
327.25	0.92703
327.50	0.92896
327.75	0.91959
328.00	0.91680
328.25	0.92481
328.50	0.91556
328.75	0.90751
329.00	0.91515
329.25	0.92109
329.50	0.90924
329.75	0.91272
330.00	0.90464
330.25	0.90063
330.50	0.89707
330.75	0.89576
331.00	0.88565
331.25	0.90006
331.50	0.88569
331.75	0.88798
332.00	0.88042
332.25	0.89004
332.50	0.87205
332.75	0.87374
333.00	0.88017
333.25	0.86556
333.50	0.86015
333.75	0.84536
334.00	0.86253
334.25	0.85549
334.50	0.84266
334.75	0.84375
335.00	0.83482
335.25	0.82856
335.50	0.82186
335.75	0.80979
336.00	0.80897
336.25	0.80480
336.50	0.80085
336.75	0.79043
337.00	0.77958
337.25	0.77825
337.50	0.75905
337.75	0.76502
338.00	0.74774
338.25	0.74030
338.50	0.72036
338.75	0.71615
339.00	0.70821
339.25	0.70082
339.50	0.68452
339.75	0.67388
340.00	0.66787
340.25	0.65585
340.50	0.63862
340.75	0.63615
341.00	0.63080
341.25	0.60899
341.50	0.60637
341.75	0.60180
342.00	0.58761
342.25	0.58036
342.50	0.57313
342.75	0.54962
343.00	0.55453
343.25	0.54681
343.50	0.53668
343.75	0.53251
344.00	0.53288
344.25	0.51781
344.50	0.51246
344.75	0.50284
345.00	0.50908
345.25	0.49221
345.50	0.48969
345.75	0.48519
346.00	0.48209
346.25	0.46826
346.50	0.46979
346.75	0.45500
347.00	0.45747
347.25	0.45373
347.50	0.44312
347.75	0.43784
348.00	0.44383
348.25	0.43388
348.50	0.42178
348.75	0.42312
349.00	0.42738
349.25	0.41258
349.50	0.41107
349.75	0.41346
350.00	0.40525
350.25	0.40084
350.50	0.39305
350.75	0.38638
351.00	0.38447
351.25	0.37904
351.50	0.37328
351.75	0.37111
352.00	0.35499
352.25	0.35080
352.50	0.34648
352.75	0.33505
353.00	0.32646
353.25	0.31798
353.50	0.31046
353.75	0.30274
354.00	0.29262
354.25	0.28141
354.50	0.27440
354.75	0.26407
355.00	0.25408
355.25	0.24877
355.50	0.24088
355.75	0.23053
356.00	0.22427
356.25	0.21185
356.50	0.20199
356.75	0.19704
357.00	0.19129
357.25	0.18342
357.50	0.17274
357.75	0.16778
358.00	0.16000
358.25	0.14901
358.50	0.14486
358.75	0.13675
359.00	0.12729
359.25	0.12616
359.50	0.11943
359.75	0.11226
360.00	0.10672
360.25	0.10464
360.50	0.095827
360.75	0.089883
361.00	0.085197
361.25	0.080858
361.50	0.076221
361.75	0.072765
362.00	0.068293
362.25	0.065376
362.50	0.061960
362.75	0.054646
363.00	0.055478
363.25	0.049891
363.50	0.049430
363.75	0.046598
364.00	0.047234
364.25	0.042109
364.50	0.039169
364.75	0.037427
365.00	0.034842
365.25	0.034268
365.50	0.029705
365.75	0.028654
366.00	0.028665
366.25	0.026144
366.50	0.024537
366.75	0.025255
367.00	0.025650
367.25	0.025433
367.50	0.018723
367.75	0.021042
368.00	0.017485
368.25	0.017357
368.50	0.017752
368.75	0.016303
369.00	0.016025
369.25	0.014294
369.50	0.015759
369.75	0.015113
370.00	0.012871
370.25	0.012348
370.50	0.013063
370.75	0.010280
371.00	0.011441
371.25	0.010556
371.50	0.0097652
371.75	0.0092901
372.00	0.012142
372.25	0.010426
372.50	0.012006
372.75	0.0093403
373.00	0.012048
373.25	0.0087866
373.50	0.0079857
373.75	0.0086435
374.00	0.0094917
374.25	0.0098731
374.50	0.0086623
374.75	0.0062361
375.00	0.010039
375.25	0.0095539
375.50	0.0094962
375.75	0.0091785
376.00	0.0094160
376.25	0.0077984
376.50	0.0089380
376.75	0.0086210
377.00	0.0045038
377.25	0.0071720
377.50	0.0088795
377.75	0.0055303
378.00	0.0077482
378.25	0.0057836
378.50	0.0062991
378.75	0.0061088
379.00	0.0052741
379.25	0.0055236
379.50	0.0081355
379.75	0.0076208
380.00	0.0067809
380.25	0.0071210
380.50	0.0088653
380.75	0.010467
381.00	0.0061867
381.25	0.0081078
381.50	0.0050358
381.75	0.0055356
382.00	0.0052074
382.25	0.0045870
382.50	0.0070131
382.75	0.0070603
383.00	0.0066437
383.25	0.0059964
383.50	0.010042
383.75	0.0039958
384.00	0.0051549
384.25	0.0077789
384.50	0.0055700
384.75	0.0097652
385.00	0.0061650
385.25	0.0041367
385.50	0.0061357
385.75	0.0064864
386.00	0.0061545
386.25	0.0073795
386.50	0.0065366
386.75	0.0039576
387.00	0.0058360
387.25	0.0070251
387.50	0.0048118
387.75	0.0052044
388.00	0.0075264
388.25	0.0058667
388.50	0.0055588
388.75	0.0078778
389.00	0.0066362
389.25	0.0070491
389.50	0.0066490
389.75	0.0082479
390.00	0.0066834
390.25	0.0051534
390.50	0.0085334
390.75	0.0066790
391.00	0.0067142
391.25	0.0080763
391.50	0.0069075
391.75	0.0089680
392.00	0.0078471
392.25	0.0099113
392.50	0.0064422
392.75	0.0078396
393.00	0.0073615
393.25	0.0084555
393.50	0.0084510
393.75	0.0089680
394.00	0.010114
394.25	0.0086862
394.50	0.0074492
394.75	0.0096018
395.00	0.0086772
395.25	0.0086113
395.50	0.0078223
395.75	0.010582
396.00	0.0074642
396.25	0.0086203
396.50	0.0081498
396.75	0.010475
397.00	0.010114
397.25	0.010072
397.50	0.011230
397.75	0.0077714
398.00	0.010030
398.25	0.0094070
398.50	0.0083663
398.75	0.0089927
399.00	0.0095726
399.25	0.0085529
399.50	0.0085641
399.75	0.011879
400.00	0.0093096
400.25	0.011045
400.50	0.0099532
400.75	0.010466
401.00	0.0079969
401.25	0.010167
401.50	0.0096700
401.75	0.010625
402.00	0.011028
402.25	0.011740
402.50	0.0088541
402.75	0.010264
403.00	0.011441
403.25	0.010522
403.50	0.011490
403.75	0.012237
404.00	0.013716
404.25	0.010216
404.50	0.012597
404.75	0.013623
405.00	0.011456
405.25	0.010818
405.50	0.010176
405.75	0.011292
406.00	0.013178
406.25	0.011914
406.50	0.013663
406.75	0.012675
407.00	0.010956
407.25	0.011163
407.50	0.012324
407.75	0.014148
408.00	0.012596
408.25	0.012483
408.50	0.012573
408.75	0.014655
409.00	0.012746
409.25	0.013114
409.50	0.014947
409.75	0.013885
410.00	0.014317
410.25	0.015815
410.50	0.015225
410.75	0.012860
411.00	0.012662
411.25	0.014101
411.50	0.014295
411.75	0.016382
412.00	0.015401
412.25	0.013401
412.50	0.014814
412.75	0.015883
413.00	0.014358
413.25	0.015552
413.50	0.015454
413.75	0.016467
414.00	0.014309
414.25	0.017036
414.50	0.016281
414.75	0.015658
415.00	0.015734
415.25	0.014653
415.50	0.016058
415.75	0.015874
416.00	0.016284
416.25	0.018718
416.50	0.017074
416.75	0.017539
417.00	0.017020
417.25	0.016428
417.50	0.016133
417.75	0.016616
418.00	0.017041
418.25	0.017077
418.50	0.016707
418.75	0.016408
419.00	0.018191
419.25	0.018221
419.50	0.017274
419.75	0.017210
420.00	0.018703
420.25	0.018345
420.50	0.018318
420.75	0.019497
421.00	0.016819
421.25	0.019019
421.50	0.017211
421.75	0.018185
422.00	0.017819
422.25	0.020278
422.50	0.018996
422.75	0.019753
423.00	0.019324
423.25	0.017348
423.50	0.017207
423.75	0.019358
424.00	0.020191
424.25	0.019863
424.50	0.020050
424.75	0.020827
425.00	0.020391
425.25	0.020382
425.50	0.016839
425.75	0.018945
426.00	0.019503
426.25	0.021504
426.50	0.019640
426.75	0.021972
427.00	0.020599
427.25	0.020075
427.50	0.020761
427.75	0.020167
428.00	0.018562
428.25	0.020681
428.50	0.020504
428.75	0.022547
429.00	0.021494
429.25	0.020903
429.50	0.021684
429.75	0.021791
430.00	0.020677
430.25	0.022644
430.50	0.021983
430.75	0.019847
431.00	0.021099
431.25	0.022659
431.50	0.020340
431.75	0.022612
432.00	0.021451
432.25	0.020567
432.50	0.021539
432.75	0.021854
433.00	0.022449
433.25	0.021875
433.50	0.023716
433.75	0.024251
434.00	0.021476
434.25	0.022709
434.50	0.021760
434.75	0.020976
435.00	0.024460
435.25	0.023017
435.50	0.022019
435.75	0.021643
436.00	0.022599
436.25	0.023170
436.50	0.023045
436.75	0.022718
437.00	0.024975
437.25	0.022934
437.50	0.021371
437.75	0.023023
438.00	0.022681
438.25	0.023597
438.50	0.021894
438.75	0.024656
439.00	0.021575
439.25	0.024342
439.50	0.024747
439.75	0.023116
440.00	0.022476
440.25	0.021566
440.50	0.021884
440.75	0.021275
441.00	0.022892
441.25	0.024545
441.50	0.024198
441.75	0.022827
442.00	0.023685
442.25	0.023643
442.50	0.023326
442.75	0.023864
443.00	0.023482
443.25	0.022057
443.50	0.023905
443.75	0.022875
444.00	0.022238
444.25	0.022485
444.50	0.023095
444.75	0.022249
445.00	0.022134
445.25	0.024460
445.50	0.022234
445.75	0.024144
446.00	0.022722
446.25	0.023705
446.50	0.022491
446.75	0.023575
447.00	0.024628
447.25	0.022447
447.50	0.025353
447.75	0.023336
448.00	0.024248
448.25	0.023113
448.50	0.022432
448.75	0.022951
449.00	0.023551
449.25	0.023582
449.50	0.022023
449.75	0.024499
450.00	0.023974
450.25	0.021863
450.50	0.023452
450.75	0.023780
451.00	0.023981
451.25	0.023223
451.50	0.021797
451.75	0.022981
452.00	0.022653
452.25	0.023519
452.50	0.021681
452.75	0.023355
453.00	0.023780
453.25	0.023451
453.50	0.024251
453.75	0.022821
454.00	0.023588
454.25	0.022484
454.50	0.022528
454.75	0.022794
455.00	0.023774
455.25	0.022960
455.50	0.022825
455.75	0.022515
456.00	0.021907
456.25	0.022501
456.50	0.021774
456.75	0.021425
457.00	0.022384
457.25	0.021898
457.50	0.022696
457.75	0.023572
458.00	0.021230
458.25	0.021507
458.50	0.021149
458.75	0.023477
459.00	0.021721
459.25	0.022760
459.50	0.022790
459.75	0.022602
460.00	0.021766
460.25	0.021780
460.50	0.021425
460.75	0.023531
461.00	0.022671
461.25	0.020738
461.50	0.021477
461.75	0.022390
462.00	0.022334
462.25	0.020779
462.50	0.022252
462.75	0.022016
463.00	0.022704
463.25	0.021209
463.50	0.021338
463.75	0.021111
464.00	0.020400
464.25	0.021608
464.50	0.021162
464.75	0.021935
465.00	0.021191
465.25	0.021724
465.50	0.020897
465.75	0.020884
466.00	0.021068
466.25	0.021927
466.50	0.021314
466.75	0.021072
467.00	0.020893
467.25	0.020079
467.50	0.019429
467.75	0.021070
468.00	0.019906
468.25	0.019698
468.50	0.020582
468.75	0.020292
469.00	0.018904
469.25	0.017680
469.50	0.017817
469.75	0.020044
470.00	0.019762
470.25	0.017979
470.50	0.019718
470.75	0.020504
471.00	0.020061
471.25	0.018765
471.50	0.018517
471.75	0.018520
472.00	0.018810
472.25	0.019128
472.50	0.018784
472.75	0.017877
473.00	0.018950
473.25	0.017820
473.50	0.017971
473.75	0.019298
474.00	0.017897
474.25	0.017913
474.50	0.018242
474.75	0.017694
475.00	0.016994
475.25	0.017194
475.50	0.019171
475.75	0.018200
476.00	0.015916
476.25	0.017213
476.50	0.016433
476.75	0.018060
477.00	0.017525
477.25	0.016318
477.50	0.017163
477.75	0.017558
478.00	0.016103
478.25	0.016849
478.50	0.015999
478.75	0.016410
479.00	0.016805
479.25	0.016900
479.50	0.016105
479.75	0.017444
480.00	0.016171
480.25	0.014738
480.50	0.015558
480.75	0.015418
481.00	0.015801
481.25	0.016797
481.50	0.015298
481.75	0.014351
482.00	0.015815
482.25	0.015737
482.50	0.015841
482.75	0.014052
483.00	0.012890
483.25	0.014328
483.50	0.013956
483.75	0.015175
484.00	0.014232
484.25	0.014635
484.50	0.013599
