Wavelength (nm)	J04 abs N
280.00	0.27319
281.00	0.26952
282.00	0.26582
283.00	0.26206
284.00	0.25865
285.00	0.25625
286.00	0.25484
287.00	0.25452
288.00	0.25547
289.00	0.25732
290.00	0.25961
291.00	0.26241
292.00	0.26512
293.00	0.26741
294.00	0.26968
295.00	0.27159
296.00	0.27393
297.00	0.27696
298.00	0.28071
299.00	0.28514
300.00	0.29093
301.00	0.29766
302.00	0.30570
303.00	0.31480
304.00	0.32456
305.00	0.33534
306.00	0.34665
307.00	0.35877
308.00	0.37158
309.00	0.38481
310.00	0.39876
311.00	0.41338
312.00	0.42853
313.00	0.44448
314.00	0.46064
315.00	0.47753
316.00	0.49484
317.00	0.51139
318.00	0.52772
319.00	0.54238
320.00	0.55591
321.00	0.56664
322.00	0.57575
323.00	0.58297
324.00	0.58888
325.00	0.59345
326.00	0.59781
327.00	0.60074
328.00	0.60477
329.00	0.60787
330.00	0.61025
331.00	0.61076
332.00	0.60883
333.00	0.60317
334.00	0.59284
335.00	0.57747
336.00	0.55649
337.00	0.53085
338.00	0.50162
339.00	0.47068
340.00	0.43874
341.00	0.40750
342.00	0.37793
343.00	0.35089
344.00	0.32596
345.00	0.30461
346.00	0.28568
347.00	0.26902
348.00	0.25534
349.00	0.24369
350.00	0.23387
351.00	0.22562
352.00	0.21866
353.00	0.21253
354.00	0.20780
355.00	0.20410
356.00	0.20104
357.00	0.19901
358.00	0.19719
359.00	0.19615
360.00	0.19560
361.00	0.19559
362.00	0.19584
363.00	0.19644
364.00	0.19807
365.00	0.19921
366.00	0.20174
367.00	0.20372
368.00	0.20644
369.00	0.20972
370.00	0.21371
371.00	0.21796
372.00	0.22169
373.00	0.22641
374.00	0.23156
375.00	0.23623
376.00	0.24124
377.00	0.24613
378.00	0.25056
379.00	0.25537
380.00	0.25985
381.00	0.26448
382.00	0.26875
383.00	0.27250
384.00	0.27627
385.00	0.28031
386.00	0.28328
387.00	0.28620
388.00	0.28920
389.00	0.29168
390.00	0.29479
391.00	0.29682
392.00	0.29896
393.00	0.30118
394.00	0.30368
395.00	0.30566
396.00	0.30818
397.00	0.30972
398.00	0.31208
399.00	0.31427
400.00	0.31601
401.00	0.31769
402.00	0.31963
403.00	0.32114
404.00	0.32386
405.00	0.32533
406.00	0.32667
407.00	0.32789
408.00	0.32985
409.00	0.33138
410.00	0.33251
411.00	0.33379
412.00	0.33521
413.00	0.33590
