Wavelength (nm)	J05 abs N
280.00	0.28568
281.00	0.27841
282.00	0.27339
283.00	0.27097
284.00	0.27089
285.00	0.27302
286.00	0.27734
287.00	0.28291
288.00	0.28953
289.00	0.29673
290.00	0.30529
291.00	0.31359
292.00	0.32231
293.00	0.33161
294.00	0.34174
295.00	0.35168
296.00	0.36187
297.00	0.37232
298.00	0.38252
299.00	0.39169
300.00	0.40007
301.00	0.40679
302.00	0.41239
303.00	0.41687
304.00	0.42062
305.00	0.42287
306.00	0.42486
307.00	0.42636
308.00	0.42758
309.00	0.42906
310.00	0.42972
311.00	0.42950
312.00	0.42793
313.00	0.42454
314.00	0.41881
315.00	0.41092
316.00	0.40002
317.00	0.38697
318.00	0.37081
319.00	0.35281
320.00	0.33358
321.00	0.31337
322.00	0.29475
323.00	0.27602
324.00	0.25910
325.00	0.24366
326.00	0.22981
327.00	0.21741
328.00	0.20642
329.00	0.19728
330.00	0.18848
331.00	0.18097
332.00	0.17395
333.00	0.16794
334.00	0.16263
335.00	0.15763
336.00	0.15321
337.00	0.14928
338.00	0.14559
339.00	0.14206
340.00	0.13910
341.00	0.13630
342.00	0.13380
343.00	0.13192
344.00	0.12982
345.00	0.12850
346.00	0.12715
347.00	0.12623
348.00	0.12560
349.00	0.12542
350.00	0.12566
351.00	0.12616
352.00	0.12708
353.00	0.12869
354.00	0.13008
355.00	0.13219
356.00	0.13468
357.00	0.13721
358.00	0.14031
359.00	0.14405
360.00	0.14793
361.00	0.15227
362.00	0.15625
363.00	0.16133
364.00	0.16610
365.00	0.17191
366.00	0.17755
367.00	0.18301
368.00	0.18924
369.00	0.19514
370.00	0.20150
371.00	0.20772
372.00	0.21401
373.00	0.22032
374.00	0.22719
375.00	0.23372
376.00	0.24055
377.00	0.24790
378.00	0.25460
379.00	0.26073
380.00	0.26701
381.00	0.27443
382.00	0.28195
383.00	0.28885
384.00	0.29555
385.00	0.30303
386.00	0.31004
387.00	0.31691
388.00	0.32411
389.00	0.33027
390.00	0.33663
391.00	0.34383
392.00	0.34993
393.00	0.35547
394.00	0.36117
395.00	0.36724
396.00	0.37270
397.00	0.37788
398.00	0.38260
399.00	0.38708
400.00	0.39156
401.00	0.39577
402.00	0.39994
403.00	0.40435
404.00	0.40765
405.00	0.41056
406.00	0.41431
407.00	0.41812
408.00	0.42065
409.00	0.42313
410.00	0.42706
411.00	0.42945
412.00	0.43236
413.00	0.43473
414.00	0.43780
415.00	0.43990
416.00	0.44234
417.00	0.44467
418.00	0.44687
419.00	0.45006
420.00	0.45213
421.00	0.45452
422.00	0.45692
423.00	0.45911
424.00	0.46222
425.00	0.46421
426.00	0.46735
427.00	0.47052
428.00	0.47338
429.00	0.47580
430.00	0.47985
431.00	0.48397
432.00	0.48725
433.00	0.49229
434.00	0.49779
435.00	0.50287
436.00	0.50892
437.00	0.51543
438.00	0.52264
439.00	0.52933
440.00	0.53736
441.00	0.54609
442.00	0.55499
443.00	0.56373
444.00	0.57444
445.00	0.58432
446.00	0.59433
447.00	0.60602
448.00	0.61627
449.00	0.62848
450.00	0.64077
451.00	0.65189
452.00	0.66392
453.00	0.67700
454.00	0.68881
455.00	0.70061
456.00	0.71397
457.00	0.72766
458.00	0.74195
459.00	0.75237
460.00	0.76595
461.00	0.77962
462.00	0.79380
463.00	0.80759
464.00	0.81977
465.00	0.83408
466.00	0.84662
467.00	0.85880
468.00	0.87372
469.00	0.88723
470.00	0.89838
471.00	0.91020
472.00	0.92324
473.00	0.93417
474.00	0.94397
475.00	0.94928
476.00	0.96251
477.00	0.97142
478.00	0.97747
479.00	0.98249
480.00	0.99029
481.00	0.99467
482.00	0.99517
483.00	0.99860
484.00	0.99597
485.00	0.99685
486.00	1.00000
487.00	0.99966
488.00	0.99448
489.00	0.98955
490.00	0.98513
491.00	0.98069
492.00	0.97762
493.00	0.97361
