Wavelength (nm)	J08 abs N
280.00	0.37905
281.00	0.36467
282.00	0.35360
283.00	0.34505
284.00	0.33729
285.00	0.32904
286.00	0.32010
287.00	0.31152
288.00	0.30471
289.00	0.30006
290.00	0.29836
291.00	0.29887
292.00	0.30081
293.00	0.30409
294.00	0.30864
295.00	0.31313
296.00	0.31847
297.00	0.32342
298.00	0.32926
299.00	0.33498
300.00	0.34004
301.00	0.34663
302.00	0.35225
303.00	0.35808
304.00	0.36417
305.00	0.37025
306.00	0.37627
307.00	0.38190
308.00	0.38682
309.00	0.39060
310.00	0.39425
311.00	0.39572
312.00	0.39731
313.00	0.39862
314.00	0.39897
315.00	0.39885
316.00	0.39846
317.00	0.39809
318.00	0.39730
319.00	0.39621
320.00	0.39413
321.00	0.39115
322.00	0.38647
323.00	0.38042
324.00	0.37329
325.00	0.36556
326.00	0.35562
327.00	0.34592
328.00	0.33541
329.00	0.32596
330.00	0.31662
331.00	0.30797
332.00	0.30014
333.00	0.29406
334.00	0.28797
335.00	0.28296
336.00	0.27885
337.00	0.27581
338.00	0.27391
339.00	0.27226
340.00	0.27078
341.00	0.27017
342.00	0.26979
343.00	0.27001
344.00	0.27029
345.00	0.27113
346.00	0.27249
347.00	0.27365
348.00	0.27456
349.00	0.27618
350.00	0.27746
351.00	0.27976
352.00	0.28196
353.00	0.28449
354.00	0.28726
355.00	0.28932
356.00	0.29228
357.00	0.29454
358.00	0.29710
359.00	0.29976
360.00	0.30180
361.00	0.30466
362.00	0.30791
363.00	0.31202
364.00	0.31604
365.00	0.32128
366.00	0.32588
367.00	0.33046
368.00	0.33455
369.00	0.33976
370.00	0.34469
371.00	0.35060
372.00	0.35530
373.00	0.36037
374.00	0.36468
375.00	0.36957
376.00	0.37327
377.00	0.37844
378.00	0.38401
379.00	0.38762
380.00	0.39160
381.00	0.39738
382.00	0.40333
383.00	0.40864
384.00	0.41628
385.00	0.42229
386.00	0.42965
387.00	0.43759
388.00	0.44442
389.00	0.44716
390.00	0.45701
391.00	0.46500
392.00	0.47530
393.00	0.48079
394.00	0.48661
395.00	0.49175
396.00	0.49903
397.00	0.50553
398.00	0.51269
399.00	0.51504
400.00	0.51949
401.00	0.52274
402.00	0.52682
403.00	0.53272
404.00	0.53865
405.00	0.54424
406.00	0.54658
407.00	0.55130
408.00	0.55730
409.00	0.56150
410.00	0.56740
411.00	0.57393
412.00	0.58193
413.00	0.58534
414.00	0.58772
415.00	0.59242
416.00	0.59692
417.00	0.60158
418.00	0.60607
419.00	0.60833
420.00	0.61088
421.00	0.61253
422.00	0.61118
423.00	0.61178
424.00	0.61045
425.00	0.60903
426.00	0.60731
427.00	0.60786
428.00	0.60109
429.00	0.60270
430.00	0.59933
431.00	0.59569
432.00	0.59318
433.00	0.59294
434.00	0.59059
435.00	0.58799
436.00	0.58811
437.00	0.58830
438.00	0.58912
439.00	0.58934
440.00	0.59131
441.00	0.59312
442.00	0.59308
443.00	0.59797
444.00	0.60098
445.00	0.60572
446.00	0.61058
447.00	0.61509
448.00	0.62278
449.00	0.63004
450.00	0.63641
451.00	0.64458
452.00	0.65304
453.00	0.66028
454.00	0.66949
455.00	0.67897
456.00	0.69134
457.00	0.70204
458.00	0.71043
459.00	0.72108
460.00	0.72909
461.00	0.73905
462.00	0.74908
463.00	0.76268
464.00	0.77326
465.00	0.78187
466.00	0.78772
467.00	0.79756
468.00	0.80576
469.00	0.81380
470.00	0.82458
471.00	0.83110
472.00	0.84347
473.00	0.85031
474.00	0.85587
475.00	0.86734
476.00	0.87563
477.00	0.88194
478.00	0.88954
479.00	0.89809
480.00	0.90644
481.00	0.91427
482.00	0.92306
