Wavelength (nm)	J09 abs N
280.00	0.36984
281.00	0.36973
282.00	0.37036
283.00	0.37187
284.00	0.37368
285.00	0.37617
286.00	0.37910
287.00	0.38240
288.00	0.38592
289.00	0.38982
290.00	0.39330
291.00	0.39703
292.00	0.40055
293.00	0.40413
294.00	0.40724
295.00	0.41003
296.00	0.41231
297.00	0.41460
298.00	0.41632
299.00	0.41705
300.00	0.41780
301.00	0.41775
302.00	0.41676
303.00	0.41553
304.00	0.41330
305.00	0.41041
306.00	0.40759
307.00	0.40352
308.00	0.39867
309.00	0.39380
310.00	0.38864
311.00	0.38324
312.00	0.37716
313.00	0.37077
314.00	0.36465
315.00	0.35852
316.00	0.35235
317.00	0.34633
318.00	0.33995
319.00	0.33443
320.00	0.32858
321.00	0.32308
322.00	0.31756
323.00	0.31226
324.00	0.30701
325.00	0.30237
326.00	0.29808
327.00	0.29334
328.00	0.28880
329.00	0.28445
330.00	0.27997
331.00	0.27580
332.00	0.27121
333.00	0.26645
334.00	0.26184
335.00	0.25724
336.00	0.25252
337.00	0.24770
338.00	0.24290
339.00	0.23831
340.00	0.23375
341.00	0.22959
342.00	0.22500
343.00	0.22079
344.00	0.21687
345.00	0.21288
346.00	0.20911
347.00	0.20569
348.00	0.20264
349.00	0.19920
350.00	0.19602
351.00	0.19332
352.00	0.19083
353.00	0.18831
354.00	0.18635
355.00	0.18457
356.00	0.18294
357.00	0.18109
358.00	0.18008
359.00	0.17906
360.00	0.17789
361.00	0.17755
362.00	0.17700
363.00	0.17660
364.00	0.17601
365.00	0.17580
366.00	0.17545
367.00	0.17553
368.00	0.17495
369.00	0.17545
370.00	0.17552
371.00	0.17540
372.00	0.17556
373.00	0.17580
374.00	0.17627
375.00	0.17648
376.00	0.17728
377.00	0.17791
378.00	0.17855
379.00	0.17946
380.00	0.18017
381.00	0.18075
382.00	0.18155
383.00	0.18216
384.00	0.18284
385.00	0.18314
386.00	0.18361
387.00	0.18474
388.00	0.18490
389.00	0.18521
390.00	0.18527
391.00	0.18547
392.00	0.18591
393.00	0.18604
394.00	0.18618
395.00	0.18593
396.00	0.18562
397.00	0.18551
398.00	0.18574
399.00	0.18567
400.00	0.18465
401.00	0.18383
402.00	0.18303
403.00	0.18267
404.00	0.18189
405.00	0.18071
406.00	0.17951
407.00	0.17809
408.00	0.17663
409.00	0.17542
410.00	0.17404
411.00	0.17260
412.00	0.17146
413.00	0.17041
414.00	0.16855
415.00	0.16706
416.00	0.16599
417.00	0.16448
418.00	0.16333
419.00	0.16240
420.00	0.16141
421.00	0.16016
422.00	0.15914
423.00	0.15825
424.00	0.15671
425.00	0.15553
426.00	0.15386
427.00	0.15378
428.00	0.15299
429.00	0.15196
430.00	0.15179
431.00	0.15117
432.00	0.15024
433.00	0.15000
434.00	0.14957
435.00	0.14919
436.00	0.14988
437.00	0.15021
438.00	0.15103
439.00	0.15197
440.00	0.15280
441.00	0.15414
442.00	0.15549
443.00	0.15714
444.00	0.15917
445.00	0.16128
446.00	0.16362
447.00	0.16660
448.00	0.16954
449.00	0.17282
450.00	0.17623
451.00	0.18032
452.00	0.18430
453.00	0.18866
454.00	0.19296
455.00	0.19810
456.00	0.20313
457.00	0.20870
