Wavelength (nm)	J10 abs N
280.00	0.28028
281.00	0.27836
282.00	0.27837
283.00	0.28036
284.00	0.28397
285.00	0.28914
286.00	0.29534
287.00	0.30235
288.00	0.30968
289.00	0.31811
290.00	0.32653
291.00	0.33535
292.00	0.34388
293.00	0.35255
294.00	0.36110
295.00	0.36938
296.00	0.37737
297.00	0.38572
298.00	0.39429
299.00	0.40235
300.00	0.41091
301.00	0.42021
302.00	0.42902
303.00	0.43795
304.00	0.44692
305.00	0.45575
306.00	0.46410
307.00	0.47103
308.00	0.47680
309.00	0.48158
310.00	0.48390
311.00	0.48516
312.00	0.48487
313.00	0.48316
314.00	0.48122
315.00	0.47899
316.00	0.47590
317.00	0.47306
318.00	0.47041
319.00	0.46810
320.00	0.46532
321.00	0.46384
322.00	0.46111
323.00	0.45751
324.00	0.45265
325.00	0.44726
326.00	0.43999
327.00	0.43143
328.00	0.42205
329.00	0.41019
330.00	0.39695
331.00	0.38357
332.00	0.36974
333.00	0.35604
334.00	0.34282
335.00	0.33050
336.00	0.31886
337.00	0.30823
338.00	0.29903
339.00	0.29089
340.00	0.28373
341.00	0.27786
342.00	0.27310
343.00	0.26889
344.00	0.26504
345.00	0.26204
346.00	0.25975
347.00	0.25788
348.00	0.25676
349.00	0.25573
350.00	0.25523
351.00	0.25479
352.00	0.25469
353.00	0.25499
354.00	0.25587
355.00	0.25680
356.00	0.25770
357.00	0.25832
358.00	0.25905
359.00	0.25976
360.00	0.26013
361.00	0.26052
362.00	0.26131
363.00	0.26133
364.00	0.26093
365.00	0.26118
366.00	0.26040
367.00	0.26047
368.00	0.25989
369.00	0.25933
370.00	0.25870
371.00	0.25826
372.00	0.25731
373.00	0.25648
374.00	0.25572
375.00	0.25417
376.00	0.25305
377.00	0.25009
378.00	0.24747
379.00	0.24503
380.00	0.24170
381.00	0.23815
382.00	0.23456
383.00	0.23008
384.00	0.22545
385.00	0.22038
386.00	0.21567
387.00	0.21130
388.00	0.20613
389.00	0.20180
390.00	0.19744
391.00	0.19279
392.00	0.18819
393.00	0.18386
394.00	0.18070
395.00	0.17694
396.00	0.17311
397.00	0.16912
398.00	0.16547
399.00	0.16181
400.00	0.15907
401.00	0.15572
402.00	0.15225
403.00	0.14930
404.00	0.14597
405.00	0.14347
406.00	0.14119
407.00	0.13920
408.00	0.13742
409.00	0.13602
410.00	0.13426
411.00	0.13348
412.00	0.13226
413.00	0.13174
414.00	0.13140
415.00	0.13127
416.00	0.13099
417.00	0.13091
418.00	0.13096
419.00	0.13139
420.00	0.13177
421.00	0.13249
422.00	0.13308
423.00	0.13384
424.00	0.13485
425.00	0.13654
426.00	0.13836
427.00	0.14092
428.00	0.14300
429.00	0.14589
430.00	0.14877
431.00	0.15181
432.00	0.15585
433.00	0.16044
434.00	0.16478
435.00	0.16927
436.00	0.17460
437.00	0.18016
438.00	0.18612
439.00	0.19213
440.00	0.19880
441.00	0.20571
442.00	0.21168
443.00	0.21893
444.00	0.22681
445.00	0.23435
446.00	0.24279
447.00	0.25141
448.00	0.26007
449.00	0.26927
450.00	0.27875
451.00	0.28875
452.00	0.29986
453.00	0.31075
454.00	0.32300
455.00	0.33485
456.00	0.34611
457.00	0.35920
458.00	0.37180
459.00	0.38503
460.00	0.39828
461.00	0.41235
462.00	0.42515
463.00	0.44018
464.00	0.45450
465.00	0.46897
466.00	0.48216
467.00	0.49532
468.00	0.50889
469.00	0.52146
470.00	0.53394
471.00	0.55039
472.00	0.56314
473.00	0.57643
474.00	0.58687
475.00	0.60002
476.00	0.61153
477.00	0.62594
478.00	0.63967
479.00	0.65283
480.00	0.66667
481.00	0.68088
482.00	0.69715
483.00	0.71406
484.00	0.72905
485.00	0.75182
486.00	0.76274
487.00	0.77599
488.00	0.79551
489.00	0.81791
490.00	0.83476
491.00	0.85391
492.00	0.87027
493.00	0.88695
494.00	0.90278
495.00	0.91804
496.00	0.93772
497.00	0.95257
498.00	0.96157
499.00	0.96979
500.00	0.97886
501.00	0.98972
502.00	1.0004
503.00	1.0001
504.00	1.0035
505.00	1.0056
506.00	1.0050
507.00	1.0054
508.00	1.0018
509.00	0.99656
510.00	0.99173
511.00	0.98318
512.00	0.97769
513.00	0.97077
514.00	0.97074
515.00	0.97044
516.00	0.96098
517.00	0.95822
518.00	0.95934
519.00	0.95731
520.00	0.95944
521.00	0.96380
522.00	0.96394
523.00	0.96751
524.00	0.97621
525.00	0.97787
526.00	0.98326
527.00	0.99239
528.00	0.99014
529.00	1.0000
530.00	0.99908
531.00	0.99816
532.00	0.99564
533.00	0.99361
534.00	0.99383
535.00	0.98959
536.00	0.97791
537.00	0.96408
538.00	0.95220
539.00	0.93877
540.00	0.92095
541.00	0.89872
542.00	0.87326
543.00	0.84570
544.00	0.81430
545.00	0.78236
546.00	0.74942
547.00	0.71231
548.00	0.67331
549.00	0.63406
550.00	0.59361
551.00	0.55351
552.00	0.51366
553.00	0.47565
554.00	0.44017
555.00	0.40342
556.00	0.36983
557.00	0.33768
558.00	0.30798
559.00	0.27933
560.00	0.25301
561.00	0.23012
562.00	0.20800
563.00	0.18811
564.00	0.16890
565.00	0.15249
566.00	0.13743
567.00	0.12306
568.00	0.11133
569.00	0.099428
570.00	0.089365
571.00	0.080301
572.00	0.072846
573.00	0.065456
574.00	0.058722
575.00	0.053117
576.00	0.047674
577.00	0.042667
578.00	0.038745
579.00	0.035129
580.00	0.031511
581.00	0.028496
582.00	0.025952
583.00	0.023867
584.00	0.021423
585.00	0.019420
586.00	0.018093
587.00	0.016562
588.00	0.015099
589.00	0.013887
590.00	0.012765
591.00	0.012021
592.00	0.011239
593.00	0.010300
594.00	0.0095345
595.00	0.0087303
596.00	0.0082938
597.00	0.0077440
598.00	0.0075533
599.00	0.0070908
600.00	0.0067302
601.00	0.0063166
602.00	0.0059332
603.00	0.0056090
604.00	0.0055479
605.00	0.0054162
606.00	0.0051442
607.00	0.0050161
608.00	0.0047459
609.00	0.0046780
610.00	0.0047396
611.00	0.0045949
612.00	0.0043687
613.00	0.0042631
614.00	0.0040406
615.00	0.0039565
616.00	0.0039574
617.00	0.0038464
618.00	0.0040959
619.00	0.0038720
620.00	0.0038522
621.00	0.0034278
622.00	0.0035362
623.00	0.0036391
624.00	0.0037501
625.00	0.0038320
626.00	0.0037618
627.00	0.0035483
628.00	0.0034665
629.00	0.0036706
630.00	0.0035501
631.00	0.0038014
632.00	0.0037776
633.00	0.0039045
634.00	0.0039160
635.00	0.0037711
636.00	0.0037760
637.00	0.0040158
638.00	0.0040914
639.00	0.0038846
640.00	0.0037933
641.00	0.0037479
642.00	0.0038760
643.00	0.0035330
644.00	0.0031576
645.00	0.0031878
646.00	0.0030228
647.00	0.0033055
648.00	0.0031361
649.00	0.0033208
650.00	0.0028888
651.00	0.0031563
652.00	0.0030781
653.00	0.0029189
654.00	0.0035254
655.00	0.0031963
656.00	0.0028430
657.00	0.0026645
658.00	0.0029612
659.00	0.0030259
660.00	0.0029450
661.00	0.0030048
662.00	0.0031801
663.00	0.0028353
664.00	0.0023952
665.00	0.0029311
666.00	0.0031190
667.00	0.0029909
668.00	0.0030515
669.00	0.0027993
670.00	0.0027674
671.00	0.0026604
672.00	0.0028798
673.00	0.0031113
674.00	0.0032152
675.00	0.0029769
676.00	0.0025507
677.00	0.0027782
678.00	0.0028524
679.00	0.0030214
680.00	0.0030426
681.00	0.0028582
682.00	0.0028848
683.00	0.0027598
684.00	0.0029095
685.00	0.0030376
686.00	0.0029423
687.00	0.0027121
688.00	0.0027396
689.00	0.0027886
690.00	0.0028578
691.00	0.0030084
692.00	0.0031091
693.00	0.0027103
694.00	0.0025305
695.00	0.0028299
696.00	0.0028605
697.00	0.0029639
698.00	0.0028448
699.00	0.0029594
700.00	0.0026393
