Wavelength (nm)	J14 abs N
280.00	0.25065
281.00	0.24640
282.00	0.24339
283.00	0.24124
284.00	0.24007
285.00	0.23980
286.00	0.24041
287.00	0.24144
288.00	0.24282
289.00	0.24483
290.00	0.24740
291.00	0.25025
292.00	0.25330
293.00	0.25689
294.00	0.26086
295.00	0.26522
296.00	0.26924
297.00	0.27379
298.00	0.27835
299.00	0.28296
300.00	0.28770
301.00	0.29242
302.00	0.29705
303.00	0.30208
304.00	0.30695
305.00	0.31147
306.00	0.31585
307.00	0.32074
308.00	0.32508
309.00	0.32923
310.00	0.33280
311.00	0.33556
312.00	0.33852
313.00	0.34161
314.00	0.34448
315.00	0.34779
316.00	0.35169
317.00	0.35587
318.00	0.36060
319.00	0.36614
320.00	0.37244
321.00	0.37980
322.00	0.38748
323.00	0.39624
324.00	0.40518
325.00	0.41424
326.00	0.42380
327.00	0.43367
328.00	0.44372
329.00	0.45391
330.00	0.46443
331.00	0.47435
332.00	0.48436
333.00	0.49428
334.00	0.50450
335.00	0.51424
336.00	0.52324
337.00	0.53229
338.00	0.54086
339.00	0.54853
340.00	0.55641
341.00	0.56381
342.00	0.57048
343.00	0.57649
344.00	0.58092
345.00	0.58537
346.00	0.58860
347.00	0.59152
348.00	0.59404
349.00	0.59569
350.00	0.59601
351.00	0.59583
352.00	0.59523
353.00	0.59408
354.00	0.59208
355.00	0.59025
356.00	0.58773
357.00	0.58387
358.00	0.57914
359.00	0.57423
360.00	0.56794
361.00	0.56081
362.00	0.55190
363.00	0.54196
364.00	0.53106
365.00	0.51964
366.00	0.50746
367.00	0.49530
368.00	0.48377
369.00	0.47238
370.00	0.46122
371.00	0.45077
372.00	0.44156
373.00	0.43276
374.00	0.42548
375.00	0.41861
376.00	0.41170
377.00	0.40625
378.00	0.40059
379.00	0.39623
380.00	0.39223
381.00	0.38876
382.00	0.38545
383.00	0.38181
384.00	0.37842
385.00	0.37627
386.00	0.37412
387.00	0.37195
388.00	0.37001
389.00	0.36819
390.00	0.36671
391.00	0.36500
392.00	0.36400
393.00	0.36325
394.00	0.36219
395.00	0.36184
396.00	0.36083
397.00	0.35990
398.00	0.35911
399.00	0.35893
400.00	0.35901
401.00	0.35898
402.00	0.35833
403.00	0.35772
404.00	0.35764
405.00	0.35760
406.00	0.35730
407.00	0.35809
408.00	0.35806
409.00	0.35892
410.00	0.35915
411.00	0.35933
412.00	0.36075
413.00	0.36167
414.00	0.36260
415.00	0.36349
416.00	0.36448
417.00	0.36532
418.00	0.36655
419.00	0.36768
420.00	0.36909
421.00	0.36995
422.00	0.37071
423.00	0.37193
424.00	0.37274
425.00	0.37453
426.00	0.37639
427.00	0.37844
428.00	0.38018
429.00	0.38134
430.00	0.38384
431.00	0.38617
432.00	0.38862
433.00	0.39187
434.00	0.39502
435.00	0.39791
436.00	0.40083
437.00	0.40379
438.00	0.40715
439.00	0.41028
440.00	0.41329
441.00	0.41708
442.00	0.41910
443.00	0.42198
444.00	0.42538
445.00	0.42852
446.00	0.43194
447.00	0.43502
448.00	0.43802
449.00	0.44102
450.00	0.44498
451.00	0.44944
452.00	0.45341
453.00	0.45756
454.00	0.46199
455.00	0.46692
456.00	0.47259
457.00	0.47820
458.00	0.48526
459.00	0.49176
460.00	0.49879
461.00	0.50537
462.00	0.51296
463.00	0.52253
464.00	0.53076
465.00	0.53994
466.00	0.54834
