Wavelength (nm)	J16 abs N
280.00	0.34623
281.00	0.33558
282.00	0.32406
283.00	0.31251
284.00	0.30152
285.00	0.29135
286.00	0.28194
287.00	0.27406
288.00	0.26691
289.00	0.26113
290.00	0.25655
291.00	0.25327
292.00	0.25098
293.00	0.24950
294.00	0.24890
295.00	0.24903
296.00	0.24971
297.00	0.25111
298.00	0.25270
299.00	0.25474
300.00	0.25687
301.00	0.25899
302.00	0.26115
303.00	0.26351
304.00	0.26610
305.00	0.26862
306.00	0.27108
307.00	0.27334
308.00	0.27528
309.00	0.27719
310.00	0.27909
311.00	0.28002
312.00	0.28044
313.00	0.28056
314.00	0.28008
315.00	0.27927
316.00	0.27745
317.00	0.27564
318.00	0.27383
319.00	0.27233
320.00	0.27072
321.00	0.27015
322.00	0.26971
323.00	0.26978
324.00	0.27114
325.00	0.27290
326.00	0.27572
327.00	0.27906
328.00	0.28327
329.00	0.28776
330.00	0.29298
331.00	0.29869
332.00	0.30517
333.00	0.31204
334.00	0.31870
335.00	0.32590
336.00	0.33296
337.00	0.34003
338.00	0.34750
339.00	0.35455
340.00	0.36150
341.00	0.36799
342.00	0.37461
343.00	0.38040
344.00	0.38607
345.00	0.39139
346.00	0.39665
347.00	0.40130
348.00	0.40535
349.00	0.40920
350.00	0.41251
351.00	0.41483
352.00	0.41731
353.00	0.41879
354.00	0.41914
355.00	0.41906
356.00	0.41808
357.00	0.41636
358.00	0.41443
359.00	0.41195
360.00	0.40841
361.00	0.40453
362.00	0.39983
363.00	0.39514
364.00	0.39007
365.00	0.38468
366.00	0.37994
367.00	0.37349
368.00	0.36843
369.00	0.36140
370.00	0.35643
371.00	0.35040
372.00	0.34504
373.00	0.33965
374.00	0.33486
375.00	0.32924
376.00	0.32475
377.00	0.31997
378.00	0.31566
379.00	0.31205
380.00	0.30872
381.00	0.30552
382.00	0.30245
383.00	0.29934
384.00	0.29716
385.00	0.29472
386.00	0.29260
387.00	0.29058
388.00	0.28834
389.00	0.28651
390.00	0.28462
391.00	0.28307
392.00	0.28122
393.00	0.27927
394.00	0.27762
395.00	0.27546
396.00	0.27352
397.00	0.27171
398.00	0.27032
399.00	0.26826
400.00	0.26660
401.00	0.26450
402.00	0.26223
403.00	0.26019
404.00	0.25839
405.00	0.25629
406.00	0.25501
407.00	0.25280
408.00	0.25069
409.00	0.24898
410.00	0.24733
411.00	0.24566
412.00	0.24408
413.00	0.24252
414.00	0.24132
415.00	0.23947
416.00	0.23800
417.00	0.23690
418.00	0.23598
419.00	0.23482
420.00	0.23391
421.00	0.23284
422.00	0.23246
423.00	0.23235
424.00	0.23236
425.00	0.23266
426.00	0.23271
427.00	0.23279
428.00	0.23313
429.00	0.23432
430.00	0.23556
431.00	0.23697
432.00	0.23869
433.00	0.24027
434.00	0.24186
435.00	0.24382
436.00	0.24595
437.00	0.24858
438.00	0.25130
439.00	0.25395
440.00	0.25670
441.00	0.25984
442.00	0.26226
443.00	0.26605
444.00	0.26963
445.00	0.27348
446.00	0.27709
447.00	0.28064
448.00	0.28523
449.00	0.28990
450.00	0.29508
451.00	0.30016
452.00	0.30587
453.00	0.31188
454.00	0.31794
455.00	0.32472
456.00	0.33233
457.00	0.34020
458.00	0.34847
459.00	0.35629
460.00	0.36483
461.00	0.37468
462.00	0.38492
463.00	0.39586
464.00	0.40734
465.00	0.41828
466.00	0.42822
467.00	0.43949
468.00	0.45172
469.00	0.46377
470.00	0.47734
471.00	0.49120
472.00	0.50390
473.00	0.51635
474.00	0.53075
475.00	0.54357
476.00	0.55828
477.00	0.57106
478.00	0.58424
479.00	0.59808
480.00	0.61214
481.00	0.62565
482.00	0.63967
483.00	0.65454
484.00	0.66752
485.00	0.68590
486.00	0.69745
487.00	0.70796
488.00	0.72240
489.00	0.74016
490.00	0.75397
491.00	0.76995
492.00	0.78441
493.00	0.79861
494.00	0.81225
495.00	0.82796
496.00	0.84428
497.00	0.85945
498.00	0.87262
499.00	0.88730
500.00	0.90093
501.00	0.91763
502.00	0.92898
503.00	0.94083
504.00	0.95217
505.00	0.95957
506.00	0.96845
507.00	0.97657
508.00	0.98569
509.00	0.99066
510.00	0.99184
511.00	0.99485
512.00	0.99377
513.00	1.00000
514.00	0.99874
515.00	0.99361
516.00	0.99219
517.00	0.98281
518.00	0.97689
519.00	0.97243
520.00	0.96581
521.00	0.95869
522.00	0.94909
523.00	0.93780
524.00	0.92784
525.00	0.91932
526.00	0.90903
527.00	0.90132
528.00	0.89339
529.00	0.88339
530.00	0.87402
531.00	0.86269
532.00	0.85249
533.00	0.84356
534.00	0.83448
535.00	0.82532
536.00	0.81443
537.00	0.80299
538.00	0.79288
539.00	0.78288
540.00	0.77186
541.00	0.76108
542.00	0.74740
543.00	0.73448
544.00	0.71996
545.00	0.70581
546.00	0.69253
547.00	0.67643
548.00	0.66111
549.00	0.64427
550.00	0.62565
551.00	0.60860
552.00	0.58977
553.00	0.57065
554.00	0.55173
555.00	0.53081
556.00	0.51096
557.00	0.49022
558.00	0.47032
559.00	0.45017
560.00	0.42939
561.00	0.40918
562.00	0.38901
563.00	0.36888
564.00	0.34972
565.00	0.33095
566.00	0.31230
567.00	0.29293
568.00	0.27565
569.00	0.25833
570.00	0.24271
571.00	0.22739
572.00	0.21346
573.00	0.19898
574.00	0.18492
575.00	0.17285
576.00	0.16086
577.00	0.14869
578.00	0.13856
579.00	0.12878
580.00	0.11855
581.00	0.10922
582.00	0.10183
583.00	0.094967
584.00	0.086354
585.00	0.079441
586.00	0.073654
587.00	0.067236
588.00	0.061740
589.00	0.057163
590.00	0.052300
591.00	0.047714
592.00	0.043458
593.00	0.039524
594.00	0.036285
595.00	0.033230
596.00	0.030507
597.00	0.027790
598.00	0.025186
599.00	0.022937
600.00	0.020801
601.00	0.019024
602.00	0.017446
603.00	0.015854
604.00	0.014477
605.00	0.013111
606.00	0.011858
607.00	0.010692
608.00	0.010008
609.00	0.0090340
610.00	0.0083043
611.00	0.0075169
612.00	0.0069504
613.00	0.0061092
614.00	0.0056326
615.00	0.0052912
616.00	0.0049325
617.00	0.0043294
618.00	0.0039583
619.00	0.0036820
620.00	0.0033121
621.00	0.0031457
622.00	0.0028608
623.00	0.0027789
624.00	0.0025210
625.00	0.0022587
626.00	0.0023002
627.00	0.0020422
628.00	0.0019178
629.00	0.0019081
630.00	0.0017859
631.00	0.0016302
632.00	0.0019377
633.00	0.0020228
634.00	0.0022431
635.00	0.0022183
