Wavelength (nm)	J18 abs N
281.82	0.36328
285.33	0.36177
288.61	0.36629
291.45	0.37607
295.61	0.39790
299.77	0.42123
303.27	0.44757
307.00	0.47241
310.28	0.49574
314.66	0.51907
318.82	0.53939
322.76	0.55670
326.26	0.57025
329.10	0.58229
332.39	0.59133
335.67	0.60036
340.27	0.60939
343.11	0.61240
346.40	0.61240
350.12	0.60713
353.84	0.59509
358.66	0.57176
361.94	0.55068
366.10	0.52359
370.69	0.49047
374.85	0.45886
379.45	0.42801
383.61	0.40242
388.43	0.37457
392.15	0.35726
396.09	0.34371
400.46	0.33844
404.62	0.34371
409.44	0.35952
413.60	0.38134
417.98	0.40693
422.14	0.43403
427.17	0.47015
431.99	0.50703
436.14	0.54316
440.96	0.58380
445.56	0.62143
449.94	0.65981
454.31	0.69970
459.13	0.74034
463.29	0.77948
467.67	0.81862
472.92	0.86679
477.52	0.90291
481.02	0.93226
484.52	0.95484
487.59	0.97366
490.87	0.99022
494.59	0.99925
497.00	1.00000
498.97	0.99774
501.38	0.99097
504.88	0.97592
507.72	0.95785
511.66	0.92624
516.70	0.87958
521.14	0.82539
525.89	0.77722
530.71	0.72002
536.40	0.65530
542.53	0.57627
547.56	0.51456
551.50	0.45661
554.57	0.41295
557.19	0.37457
560.26	0.33016
563.32	0.28877
567.70	0.23383
572.08	0.18867
576.68	0.14577
580.62	0.11040
585.65	0.079541
588.28	0.062231
591.56	0.047931
595.72	0.036642
600.76	0.028446
606.23	0.020836
611.70	0.016321
617.83	0.012558
624.18	0.0080419
630.09	0.0057840
636.44	0.0032591
642.35	0.0022694
646.94	0.0018714
649.57	0.0018498
