Wavelength (nm)	K02 ems
560.00	0.026966
560.50	0.031813
561.00	0.022696
561.50	0.028159
562.00	0.036962
562.50	0.020836
563.00	0.033301
563.50	0.021593
564.00	0.034452
564.50	0.041600
565.00	0.031326
565.50	0.042524
566.00	0.037127
566.50	0.027968
567.00	0.047994
567.50	0.031618
568.00	0.041773
568.50	0.031227
569.00	0.029133
569.50	0.031145
570.00	0.050679
570.50	0.031388
571.00	0.034083
571.50	0.049365
572.00	0.037593
572.50	0.031897
573.00	0.046046
573.50	0.028877
574.00	0.032278
574.50	0.045935
575.00	0.042802
575.50	0.032332
576.00	0.043484
576.50	0.046678
577.00	0.050906
577.50	0.044349
578.00	0.055725
578.50	0.052539
579.00	0.047274
579.50	0.064631
580.00	0.056265
580.50	0.069643
581.00	0.076869
581.50	0.066358
582.00	0.064867
582.50	0.064067
583.00	0.067847
583.50	0.063150
584.00	0.072644
584.50	0.066496
585.00	0.064959
585.50	0.061246
586.00	0.080980
586.50	0.080557
587.00	0.081949
587.50	0.076044
588.00	0.070826
588.50	0.089852
589.00	0.090920
589.50	0.089770
590.00	0.10163
590.50	0.099051
591.00	0.10620
591.50	0.12357
592.00	0.13200
592.50	0.14391
593.00	0.16658
593.50	0.14275
594.00	0.20898
594.50	0.21596
595.00	0.22029
595.50	0.25035
596.00	0.25061
596.50	0.26771
597.00	0.27825
597.50	0.29164
598.00	0.31306
598.50	0.31712
599.00	0.32560
599.50	0.34739
600.00	0.33911
600.50	0.33911
601.00	0.38183
601.50	0.39100
602.00	0.38709
602.50	0.41987
603.00	0.44464
603.50	0.43796
604.00	0.44668
604.50	0.49920
605.00	0.51416
605.50	0.55154
606.00	0.50821
606.50	0.57032
607.00	0.60157
607.50	0.63656
608.00	0.67578
608.50	0.65326
609.00	0.66433
609.50	0.71078
610.00	0.71596
610.50	0.73229
611.00	0.75189
611.50	0.81087
612.00	0.79612
612.50	0.78892
613.00	0.83013
613.50	0.83353
614.00	0.81102
614.50	0.85983
615.00	0.87312
615.50	0.87075
616.00	0.88343
616.50	0.83103
617.00	0.90235
617.50	0.93979
618.00	0.92679
618.50	0.92381
619.00	0.96673
619.50	0.96037
620.00	0.95586
620.50	0.97285
621.00	0.99501
621.50	0.93240
622.00	0.95846
622.50	0.99762
623.00	0.92201
623.50	0.94515
624.00	0.94127
624.50	1.0000
625.00	0.88366
625.50	0.93084
626.00	0.88218
626.50	0.90434
627.00	0.88743
627.50	0.91416
628.00	0.84883
628.50	0.87273
629.00	0.83861
629.50	0.84569
630.00	0.79550
630.50	0.78660
631.00	0.83835
631.50	0.80241
632.00	0.79734
632.50	0.76654
633.00	0.81325
633.50	0.78507
634.00	0.76425
634.50	0.76874
635.00	0.77623
635.50	0.76661
636.00	0.70874
636.50	0.71990
637.00	0.72506
637.50	0.68944
638.00	0.70915
638.50	0.64432
639.00	0.68430
639.50	0.70230
640.00	0.72166
640.50	0.67902
641.00	0.66979
641.50	0.67930
642.00	0.64979
642.50	0.63585
643.00	0.65417
643.50	0.63691
644.00	0.64318
644.50	0.61222
645.00	0.60036
645.50	0.61909
646.00	0.63470
646.50	0.64324
647.00	0.64725
647.50	0.65982
648.00	0.58852
648.50	0.62679
649.00	0.64737
649.50	0.58979
650.00	0.65805
650.50	0.60860
651.00	0.61359
651.50	0.64179
652.00	0.60788
652.50	0.64453
653.00	0.66767
653.50	0.64651
654.00	0.65725
654.50	0.63508
655.00	0.66202
