Wavelength (nm)	K03 abs N
200.00	0.17889
201.00	0.17298
202.00	0.17068
203.00	0.16643
204.00	0.16250
205.00	0.15834
206.00	0.15670
207.00	0.15588
208.00	0.15577
209.00	0.15543
210.00	0.15555
211.00	0.15537
212.00	0.15553
213.00	0.15534
214.00	0.15507
215.00	0.15441
216.00	0.15400
217.00	0.15322
218.00	0.15237
219.00	0.15131
220.00	0.15030
221.00	0.14907
222.00	0.14801
223.00	0.14670
224.00	0.14578
225.00	0.14471
226.00	0.14335
227.00	0.14184
228.00	0.13964
229.00	0.13692
230.00	0.13353
231.00	0.12999
232.00	0.12628
233.00	0.12152
234.00	0.11644
235.00	0.11066
236.00	0.10482
237.00	0.099028
238.00	0.093837
239.00	0.089631
240.00	0.086043
241.00	0.082787
242.00	0.079712
243.00	0.076640
244.00	0.074052
245.00	0.071780
246.00	0.069802
247.00	0.067871
248.00	0.066064
249.00	0.064485
250.00	0.063023
251.00	0.061723
252.00	0.060875
253.00	0.060121
254.00	0.059394
255.00	0.058742
256.00	0.058081
257.00	0.057189
258.00	0.056038
259.00	0.054411
260.00	0.052912
261.00	0.051223
262.00	0.049812
263.00	0.048508
264.00	0.047917
265.00	0.047154
266.00	0.046798
267.00	0.047130
268.00	0.047387
269.00	0.048109
270.00	0.048989
271.00	0.050492
272.00	0.052511
273.00	0.054139
274.00	0.055555
275.00	0.055989
276.00	0.055346
277.00	0.053428
278.00	0.050633
279.00	0.047208
280.00	0.043460
281.00	0.039824
282.00	0.036631
283.00	0.033752
284.00	0.031268
285.00	0.029224
286.00	0.027595
287.00	0.026061
288.00	0.024647
289.00	0.023372
290.00	0.022317
291.00	0.021108
292.00	0.020403
293.00	0.019330
294.00	0.018371
295.00	0.017709
296.00	0.017196
297.00	0.016464
298.00	0.015710
299.00	0.015483
300.00	0.014838
301.00	0.014741
302.00	0.014416
303.00	0.014138
304.00	0.013918
305.00	0.013677
306.00	0.013508
307.00	0.013563
308.00	0.013718
309.00	0.013834
310.00	0.013892
311.00	0.014166
312.00	0.014534
313.00	0.014559
314.00	0.014842
315.00	0.015155
316.00	0.015408
317.00	0.015592
318.00	0.015918
319.00	0.015996
320.00	0.016408
321.00	0.017010
322.00	0.017421
323.00	0.017884
324.00	0.018242
325.00	0.018956
326.00	0.019351
327.00	0.019326
328.00	0.019304
329.00	0.019089
330.00	0.018323
331.00	0.017829
332.00	0.017444
333.00	0.016639
334.00	0.015970
335.00	0.015315
336.00	0.014996
337.00	0.014820
338.00	0.014569
339.00	0.014590
340.00	0.014519
341.00	0.014441
342.00	0.014404
343.00	0.014287
344.00	0.014030
345.00	0.014130
346.00	0.013964
347.00	0.013734
348.00	0.013956
349.00	0.013891
350.00	0.014067
351.00	0.014004
352.00	0.014465
353.00	0.014526
354.00	0.014719
355.00	0.014721
356.00	0.014698
357.00	0.014745
358.00	0.014691
359.00	0.014556
360.00	0.014853
361.00	0.014547
362.00	0.014424
363.00	0.014237
364.00	0.013933
365.00	0.013774
366.00	0.013866
367.00	0.013830
368.00	0.013479
369.00	0.013530
370.00	0.013123
371.00	0.013485
372.00	0.013715
