Wavelength (nm)	K04 abs N
200.00	0.61744
201.00	0.62177
202.00	0.62340
203.00	0.61650
204.00	0.62103
205.00	0.62228
206.00	0.62902
207.00	0.63984
208.00	0.65499
209.00	0.66960
210.00	0.68303
211.00	0.69264
212.00	0.69780
213.00	0.69757
214.00	0.68759
215.00	0.66674
216.00	0.63267
217.00	0.59162
218.00	0.54669
219.00	0.50347
220.00	0.46175
221.00	0.42454
222.00	0.39144
223.00	0.36170
224.00	0.33573
225.00	0.31356
226.00	0.29457
227.00	0.27876
228.00	0.26580
229.00	0.25609
230.00	0.24878
231.00	0.24455
232.00	0.24267
233.00	0.24259
234.00	0.24393
235.00	0.24723
236.00	0.25218
237.00	0.25906
238.00	0.26750
239.00	0.27582
240.00	0.28166
241.00	0.28305
242.00	0.28036
243.00	0.27535
244.00	0.26947
245.00	0.26368
246.00	0.25787
247.00	0.25077
248.00	0.24089
249.00	0.22630
250.00	0.20565
251.00	0.17993
252.00	0.15196
253.00	0.12476
254.00	0.10128
255.00	0.083083
256.00	0.070166
257.00	0.061940
258.00	0.056438
259.00	0.052766
260.00	0.050014
261.00	0.047553
262.00	0.045824
263.00	0.045133
264.00	0.045269
265.00	0.046774
266.00	0.048632
267.00	0.051093
268.00	0.054504
269.00	0.058153
270.00	0.062060
271.00	0.066190
272.00	0.071067
273.00	0.076403
274.00	0.082063
275.00	0.088247
276.00	0.094685
277.00	0.10121
278.00	0.10764
279.00	0.11352
280.00	0.11880
281.00	0.12297
282.00	0.12628
283.00	0.12918
284.00	0.13150
285.00	0.13354
286.00	0.13526
287.00	0.13646
288.00	0.13728
289.00	0.13741
290.00	0.13678
291.00	0.13617
292.00	0.13522
293.00	0.13439
294.00	0.13349
295.00	0.13291
296.00	0.13295
297.00	0.13320
298.00	0.13266
299.00	0.13148
300.00	0.12895
301.00	0.12478
302.00	0.11907
303.00	0.11215
304.00	0.10408
305.00	0.095903
306.00	0.088016
307.00	0.080281
308.00	0.073753
309.00	0.068294
310.00	0.063470
311.00	0.059491
312.00	0.056158
313.00	0.053594
314.00	0.051395
315.00	0.049428
316.00	0.047925
317.00	0.046537
318.00	0.045499
319.00	0.044766
320.00	0.044083
321.00	0.043299
322.00	0.043154
323.00	0.043072
324.00	0.042945
325.00	0.042799
326.00	0.042876
327.00	0.042885
328.00	0.042967
329.00	0.042868
330.00	0.042331
331.00	0.042188
332.00	0.041884
333.00	0.041650
334.00	0.041513
335.00	0.041371
336.00	0.041221
337.00	0.041488
338.00	0.041700
339.00	0.041940
340.00	0.042324
341.00	0.042430
342.00	0.042631
343.00	0.042746
344.00	0.042744
345.00	0.042428
346.00	0.042041
347.00	0.041505
348.00	0.040835
349.00	0.040144
350.00	0.039362
351.00	0.038465
352.00	0.037839
353.00	0.036586
354.00	0.035705
355.00	0.034890
356.00	0.034056
357.00	0.032958
358.00	0.031968
359.00	0.031118
360.00	0.029471
361.00	0.028076
362.00	0.026759
363.00	0.025486
364.00	0.024285
365.00	0.023336
366.00	0.021958
367.00	0.021137
368.00	0.020245
369.00	0.019308
370.00	0.018725
371.00	0.017908
372.00	0.016962
373.00	0.016205
374.00	0.015692
375.00	0.014944
376.00	0.014471
377.00	0.013864
378.00	0.012684
379.00	0.011893
380.00	0.011115
381.00	0.0099681
382.00	0.0087627
383.00	0.0080617
384.00	0.0070217
385.00	0.0060000
386.00	0.0053218
