Wavelength (nm)	K06 ems
800.00	0.092731
801.00	0.12197
802.00	0.12797
803.00	0.14143
804.00	0.16015
805.00	0.17677
806.00	0.21200
807.00	0.23019
808.00	0.24153
809.00	0.29761
810.00	0.33666
811.00	0.35720
812.00	0.39408
813.00	0.42177
814.00	0.47250
815.00	0.50153
816.00	0.53718
817.00	0.56114
818.00	0.61243
819.00	0.66210
820.00	0.69421
821.00	0.75001
822.00	0.80482
823.00	0.85696
824.00	0.90461
825.00	0.91854
826.00	0.94670
827.00	0.95538
828.00	0.93945
829.00	0.97575
830.00	0.95475
831.00	0.98380
832.00	0.98965
833.00	0.98007
834.00	1.00000
835.00	0.99875
836.00	0.96306
837.00	0.93493
838.00	0.90861
839.00	0.84977
840.00	0.79888
841.00	0.73954
842.00	0.72699
843.00	0.70192
844.00	0.64325
845.00	0.60916
846.00	0.52408
847.00	0.54872
848.00	0.49022
849.00	0.42387
850.00	0.37792
851.00	0.33558
852.00	0.26260
853.00	0.28503
854.00	0.21467
855.00	0.22740
856.00	0.23187
857.00	0.13502
858.00	0.12197
859.00	0.13564
860.00	0.10936
861.00	0.13235
862.00	0.11818
863.00	0.077446
864.00	0.045242
865.00	0.074904
866.00	0.092449
867.00	0.056642
868.00	0.053270
869.00	0.024900
870.00	0.067562
871.00	0.094208
872.00	0.066573
873.00	0.040046
874.00	0.0013928
875.00	0.023837
876.00	0.018095
877.00	0.041582
878.00	0.018424
879.00	0.025136
880.00	0.022106
