Wavelength (nm)	K07 abs N 
220.00	0.10294
220.25	0.13113
220.50	0.13302
220.75	0.12932
221.00	0.13160
221.25	0.13116
221.50	0.12843
221.75	0.13077
222.00	0.12939
222.25	0.13079
222.50	0.13204
222.75	0.13001
223.00	0.12910
223.25	0.12648
223.50	0.12806
223.75	0.12746
224.00	0.12406
224.25	0.12590
224.50	0.12379
224.75	0.12418
225.00	0.12176
225.25	0.11957
225.50	0.11909
225.75	0.11728
226.00	0.11605
226.25	0.11510
226.50	0.11471
226.75	0.11373
227.00	0.11193
227.25	0.10917
227.50	0.10843
227.75	0.10410
228.00	0.10346
228.25	0.10150
228.50	0.10012
228.75	0.097743
229.00	0.094642
229.25	0.090165
229.50	0.089089
229.75	0.086174
230.00	0.083192
230.25	0.082490
230.50	0.079859
230.75	0.075906
231.00	0.073888
231.25	0.073746
231.50	0.071683
231.75	0.068216
232.00	0.066482
232.25	0.067528
232.50	0.064076
232.75	0.062992
233.00	0.060997
233.25	0.059061
233.50	0.059061
233.75	0.058799
234.00	0.057342
234.25	0.057200
234.50	0.056146
234.75	0.053441
235.00	0.053463
235.25	0.050982
235.50	0.051700
235.75	0.051976
236.00	0.052320
236.25	0.051812
236.50	0.050616
236.75	0.050227
237.00	0.051744
237.25	0.051901
237.50	0.050825
237.75	0.052596
238.00	0.051378
238.25	0.050093
238.50	0.049308
238.75	0.050691
239.00	0.049615
239.25	0.050661
239.50	0.050773
239.75	0.050937
240.00	0.052290
240.25	0.049899
240.50	0.049532
240.75	0.051461
241.00	0.051132
241.25	0.052357
241.50	0.053882
241.75	0.054637
242.00	0.053904
242.25	0.053837
242.50	0.057611
242.75	0.057058
243.00	0.058306
243.25	0.058515
243.50	0.058822
243.75	0.058284
244.00	0.058284
244.25	0.058142
244.50	0.057895
244.75	0.058530
245.00	0.058807
245.25	0.059405
245.50	0.058104
245.75	0.057880
246.00	0.058530
246.25	0.058971
246.50	0.059360
246.75	0.059360
247.00	0.060817
247.25	0.061542
247.50	0.062775
247.75	0.065174
248.00	0.068619
248.25	0.067775
248.50	0.069524
248.75	0.070398
249.00	0.069748
249.25	0.068320
