Wavelength (nm)	K07 ems
460.00	0.0028450
460.50	0.0029153
461.00	0.0031029
461.50	0.0033599
462.00	0.0034259
462.50	0.0039368
463.00	0.0041389
463.50	0.0047130
464.00	0.0051434
464.50	0.0056826
465.00	0.0062190
465.50	0.0071647
466.00	0.0074206
466.50	0.0085249
467.00	0.0090841
467.50	0.010697
468.00	0.011076
468.50	0.012299
469.00	0.013471
469.50	0.015059
470.00	0.016158
470.50	0.018790
471.00	0.020143
471.50	0.023939
472.00	0.024999
472.50	0.028606
473.00	0.031409
473.50	0.035814
474.00	0.039464
474.50	0.045208
475.00	0.049272
475.50	0.057469
476.00	0.062913
476.50	0.072579
477.00	0.079638
477.50	0.092157
478.00	0.099797
478.50	0.11502
479.00	0.12651
479.50	0.14642
480.00	0.15726
480.50	0.17867
481.00	0.19516
481.50	0.22189
482.00	0.23994
482.50	0.26646
483.00	0.29060
483.50	0.32536
484.00	0.34424
484.50	0.37685
485.00	0.40595
485.50	0.44469
486.00	0.46603
486.50	0.50305
487.00	0.53383
487.50	0.57604
488.00	0.60019
488.50	0.63631
489.00	0.66581
489.50	0.70882
490.00	0.72998
490.50	0.76769
491.00	0.79380
491.50	0.83004
492.00	0.84817
492.50	0.87937
493.00	0.89821
493.50	0.92467
494.00	0.93641
494.50	0.95631
495.00	0.96755
495.50	0.98157
496.00	0.98719
496.50	0.99452
497.00	0.99833
497.50	1.0000
498.00	0.99830
498.50	0.99337
499.00	0.99092
499.50	0.97749
500.00	0.97264
500.50	0.96029
501.00	0.94571
501.50	0.92996
502.00	0.92010
502.50	0.90073
503.00	0.88346
503.50	0.86316
504.00	0.85162
504.50	0.83029
505.00	0.81291
505.50	0.79007
506.00	0.77818
506.50	0.75885
507.00	0.74538
507.50	0.72513
508.00	0.71258
508.50	0.69795
509.00	0.68412
509.50	0.66926
510.00	0.66254
510.50	0.64907
511.00	0.63790
511.50	0.62496
512.00	0.62016
512.50	0.61103
513.00	0.60458
513.50	0.59214
