Wavelength (nm)	K08 abs N
220.00	0.092451
220.25	0.091794
220.50	0.092928
220.75	0.090184
221.00	0.089349
221.25	0.089528
221.50	0.084790
221.75	0.086921
222.00	0.085029
222.25	0.083785
222.50	0.083265
222.75	0.081348
223.00	0.078596
223.25	0.078221
223.50	0.078613
223.75	0.077914
224.00	0.076500
224.25	0.075273
224.50	0.074020
224.75	0.070066
225.00	0.070084
225.25	0.068857
225.50	0.067595
225.75	0.067127
226.00	0.064562
226.25	0.062739
226.50	0.062892
226.75	0.060924
227.00	0.060591
227.25	0.059952
227.50	0.057848
227.75	0.056561
228.00	0.055411
228.25	0.055172
228.50	0.053698
228.75	0.053664
229.00	0.051713
229.25	0.048458
229.50	0.048688
229.75	0.047904
230.00	0.046754
230.25	0.046132
230.50	0.045441
230.75	0.041777
231.00	0.041403
231.25	0.040959
231.50	0.040917
231.75	0.037858
232.00	0.035694
232.25	0.037926
232.50	0.035574
232.75	0.035668
233.00	0.032345
233.25	0.030334
233.50	0.030956
233.75	0.030053
234.00	0.028775
234.25	0.029874
234.50	0.029013
234.75	0.026193
235.00	0.024582
235.25	0.022486
235.50	0.023799
235.75	0.021822
236.00	0.022537
236.25	0.023219
236.50	0.020160
236.75	0.019283
237.00	0.021345
237.25	0.019581
237.50	0.019035
237.75	0.019070
238.00	0.016880
238.25	0.017996
238.50	0.016266
238.75	0.016113
239.00	0.016113
239.25	0.016547
239.50	0.017212
239.75	0.015295
240.00	0.016343
240.25	0.014690
240.50	0.014272
240.75	0.014230
241.00	0.012619
241.25	0.011631
241.50	0.013267
241.75	0.013148
242.00	0.012125
242.25	0.011290
242.50	0.011887
242.75	0.010395
243.00	0.010830
243.25	0.010285
243.50	0.010855
243.75	0.010157
244.00	0.011827
244.25	0.0093132
244.50	0.0094751
244.75	0.010276
245.00	0.0089468
245.25	0.0094666
245.50	0.0075153
245.75	0.0079584
246.00	0.0085975
246.25	0.0090661
246.50	0.0089042
246.75	0.0078817
247.00	0.0076517
247.25	0.0072853
247.50	0.0075665
247.75	0.0077028
248.00	0.0072427
248.25	0.0055385
248.50	0.0070382
248.75	0.0062543
249.00	0.0061691
249.25	0.0051380
249.50	0.0071319
249.75	0.0067059
250.00	0.0071149
250.25	0.0063139
250.50	0.0053255
250.75	0.0067911
251.00	0.0064588
251.25	0.0057430
251.50	0.0056322
251.75	0.0047716
252.00	0.0056493
252.25	0.0056408
252.50	0.0052829
252.75	0.0052658
253.00	0.0059731
253.25	0.0063480
253.50	0.0058197
253.75	0.0044905
254.00	0.0062543
254.25	0.0062628
254.50	0.0048995
254.75	0.0057771
255.00	0.0062798
255.25	0.0070723
255.50	0.0051210
255.75	0.0050613
256.00	0.0059731
256.25	0.0059219
256.50	0.0054363
256.75	0.0074386
257.00	0.0078050
257.25	0.0070297
257.50	0.0059816
257.75	0.0059646
258.00	0.0065354
258.25	0.0054277
258.50	0.0061094
258.75	0.0071575
259.00	0.0072512
259.25	0.0068592
259.50	0.0076687
259.75	0.0065440
260.00	0.0061094
260.25	0.0072768
260.50	0.0075665
260.75	0.0081374
261.00	0.0070552
261.25	0.0076772
261.50	0.0076091
261.75	0.0072853
262.00	0.0074131
262.25	0.0080351
262.50	0.0067059
262.75	0.0062202
263.00	0.0084611
263.25	0.0096967
263.50	0.0086827
263.75	0.0079669
264.00	0.0075665
264.25	0.0075920
264.50	0.0064162
264.75	0.0087338
265.00	0.0089554
265.25	0.0086656
265.50	0.0082652
265.75	0.0083248
266.00	0.0081118
266.25	0.0086827
266.50	0.0069104
266.75	0.0078136
267.00	0.0086571
267.25	0.0089042
267.50	0.0086656
267.75	0.0083163
