Wavelength (nm)	K-8, 14806-50-9, diO-C2-(5).ems
550.00	0.0014787
550.50	0.0016668
551.00	0.0017060
551.50	0.0018115
552.00	0.0020069
552.50	0.0020167
553.00	0.0024450
553.50	0.0024024
554.00	0.0027398
554.50	0.0028660
555.00	0.0030866
555.50	0.0032565
556.00	0.0036929
556.50	0.0038848
557.00	0.0043419
557.50	0.0046025
558.00	0.0050860
558.50	0.0055799
559.00	0.0059187
559.50	0.0065374
560.00	0.0072295
560.50	0.0079327
561.00	0.0084979
561.50	0.0093478
562.00	0.010040
562.50	0.010966
563.00	0.012021
563.50	0.013086
564.00	0.014320
564.50	0.015803
565.00	0.017437
565.50	0.019070
566.00	0.020587
566.50	0.022851
567.00	0.025217
567.50	0.026930
568.00	0.029611
568.50	0.032401
569.00	0.035542
569.50	0.038454
570.00	0.041979
570.50	0.046142
571.00	0.050270
571.50	0.054709
572.00	0.058872
572.50	0.065232
573.00	0.070411
573.50	0.076686
574.00	0.082291
574.50	0.090878
575.00	0.097117
575.50	0.10590
576.00	0.11457
576.50	0.12571
577.00	0.13532
577.50	0.14495
578.00	0.15784
578.50	0.17065
579.00	0.18298
579.50	0.19582
580.00	0.21056
580.50	0.22692
581.00	0.24284
581.50	0.25531
582.00	0.27217
582.50	0.29065
583.00	0.30814
583.50	0.32592
584.00	0.34437
584.50	0.36568
585.00	0.38685
585.50	0.40365
586.00	0.42531
586.50	0.44810
587.00	0.47196
587.50	0.49002
588.00	0.51645
588.50	0.53916
589.00	0.56479
589.50	0.58457
590.00	0.60887
590.50	0.63362
591.00	0.65658
591.50	0.67781
592.00	0.70430
592.50	0.72517
593.00	0.74962
593.50	0.76729
594.00	0.79131
594.50	0.81163
595.00	0.83348
595.50	0.84980
596.00	0.86956
596.50	0.88626
597.00	0.90311
597.50	0.91735
598.00	0.93202
598.50	0.94522
599.00	0.95689
599.50	0.96597
600.00	0.97466
600.50	0.98283
601.00	0.99026
601.50	0.99450
602.00	0.99926
602.50	0.99793
603.00	0.99974
603.50	1.00000
604.00	0.99562
604.50	0.99073
605.00	0.98629
605.50	0.98253
606.00	0.97434
606.50	0.96630
607.00	0.95460
607.50	0.94939
608.00	0.93755
608.50	0.92262
609.00	0.90738
609.50	0.89689
610.00	0.88341
610.50	0.86596
611.00	0.85020
611.50	0.83519
612.00	0.82001
612.50	0.80013
613.00	0.78465
613.50	0.76738
614.00	0.75012
614.50	0.73091
615.00	0.71457
615.50	0.69675
616.00	0.68119
616.50	0.66596
617.00	0.64716
617.50	0.63655
618.00	0.61521
618.50	0.60327
619.00	0.58408
619.50	0.57340
620.00	0.55471
620.50	0.54084
621.00	0.52940
621.50	0.51736
622.00	0.50652
622.50	0.49241
623.00	0.47917
623.50	0.46856
624.00	0.45780
624.50	0.44342
625.00	0.43463
625.50	0.42577
626.00	0.41302
626.50	0.40469
627.00	0.39454
627.50	0.38597
628.00	0.37769
628.50	0.36739
629.00	0.36173
629.50	0.35564
630.00	0.35209
630.50	0.34479
631.00	0.33880
631.50	0.33691
632.00	0.33095
632.50	0.32489
633.00	0.32272
633.50	0.31846
634.00	0.31568
634.50	0.31219
635.00	0.30823
635.50	0.30564
636.00	0.30107
636.50	0.29923
637.00	0.29499
637.50	0.29299
638.00	0.29042
638.50	0.28664
639.00	0.28486
639.50	0.28408
640.00	0.28227
640.50	0.27861
641.00	0.27686
641.50	0.27409
642.00	0.27405
642.50	0.27218
643.00	0.26972
643.50	0.26834
644.00	0.26536
644.50	0.26380
645.00	0.26075
645.50	0.26008
646.00	0.25882
646.50	0.25555
647.00	0.25373
647.50	0.25154
648.00	0.24985
648.50	0.24829
649.00	0.24625
649.50	0.24411
650.00	0.24263
650.50	0.23832
651.00	0.23677
651.50	0.23430
652.00	0.23205
652.50	0.22910
653.00	0.22663
653.50	0.22513
654.00	0.22273
654.50	0.21843
655.00	0.21624
655.50	0.21479
656.00	0.21229
656.50	0.20795
657.00	0.20777
657.50	0.20367
658.00	0.20109
658.50	0.19880
659.00	0.19332
659.50	0.19360
660.00	0.18975
660.50	0.18593
661.00	0.18189
661.50	0.18080
662.00	0.17782
662.50	0.17531
663.00	0.17276
663.50	0.16827
664.00	0.16704
664.50	0.16246
665.00	0.16082
665.50	0.15795
666.00	0.15479
666.50	0.15252
667.00	0.14921
667.50	0.14877
668.00	0.14586
668.50	0.14188
669.00	0.13858
669.50	0.13697
670.00	0.13393
670.50	0.13160
671.00	0.12920
671.50	0.12705
672.00	0.12430
672.50	0.12183
673.00	0.11870
673.50	0.11669
674.00	0.11344
674.50	0.11096
675.00	0.10947
675.50	0.10678
676.00	0.10446
676.50	0.10216
677.00	0.099665
677.50	0.098209
678.00	0.096513
678.50	0.094763
679.00	0.092332
679.50	0.089837
680.00	0.087674
680.50	0.087056
681.00	0.084043
681.50	0.083752
682.00	0.080833
682.50	0.079856
683.00	0.077948
683.50	0.076358
684.00	0.075029
684.50	0.074182
685.00	0.072084
685.50	0.070785
686.00	0.070063
686.50	0.068811
687.00	0.067678
687.50	0.066510
688.00	0.064826
688.50	0.063380
689.00	0.062479
689.50	0.061628
690.00	0.060203
690.50	0.059144
691.00	0.058672
691.50	0.057644
692.00	0.056291
692.50	0.055868
693.00	0.054358
693.50	0.054636
694.00	0.053106
694.50	0.051197
695.00	0.051426
695.50	0.051262
696.00	0.050781
696.50	0.048352
697.00	0.048842
697.50	0.047889
698.00	0.047047
698.50	0.045994
699.00	0.045760
699.50	0.045187
700.00	0.044733
700.50	0.043712
701.00	0.042809
701.50	0.042137
702.00	0.041869
702.50	0.041270
703.00	0.041106
703.50	0.040864
704.00	0.040095
704.50	0.040245
705.00	0.038194
705.50	0.038826
706.00	0.038559
706.50	0.037409
707.00	0.037338
707.50	0.036058
708.00	0.035767
708.50	0.035249
709.00	0.035370
709.50	0.034093
710.00	0.034482
710.50	0.034026
711.00	0.033640
711.50	0.032704
712.00	0.032323
712.50	0.032593
713.00	0.031237
713.50	0.031799
714.00	0.031299
714.50	0.030414
715.00	0.030083
715.50	0.030209
716.00	0.029747
716.50	0.029256
717.00	0.028109
717.50	0.028222
718.00	0.028019
718.50	0.027838
719.00	0.027247
719.50	0.027424
720.00	0.027462
720.50	0.025645
721.00	0.025766
721.50	0.025728
722.00	0.024878
722.50	0.025234
723.00	0.024453
723.50	0.024095
724.00	0.023632
724.50	0.023729
725.00	0.023239
725.50	0.023115
726.00	0.022867
726.50	0.022281
727.00	0.022318
727.50	0.022101
728.00	0.021167
728.50	0.020900
729.00	0.020472
729.50	0.020213
730.00	0.020665
730.50	0.020207
731.00	0.019673
731.50	0.019495
732.00	0.019418
732.50	0.018347
733.00	0.019074
733.50	0.018037
734.00	0.017952
734.50	0.017119
735.00	0.017166
735.50	0.017103
736.00	0.017333
736.50	0.016581
737.00	0.016123
737.50	0.016109
738.00	0.016725
738.50	0.015386
739.00	0.015064
739.50	0.015114
740.00	0.015246
740.50	0.015070
741.00	0.014472
741.50	0.014477
742.00	0.014314
742.50	0.013872
743.00	0.013472
743.50	0.013460
744.00	0.013033
744.50	0.013859
745.00	0.012586
745.50	0.012486
746.00	0.012128
746.50	0.012375
747.00	0.012035
747.50	0.011691
748.00	0.011476
748.50	0.011998
749.00	0.010668
749.50	0.010943
750.00	0.011260
