Wavelength (nm)	K09 abs N
220.00	0.12368
220.25	0.12377
220.50	0.12327
220.75	0.12593
221.00	0.12207
221.25	0.12173
221.50	0.12059
221.75	0.11770
222.00	0.11733
222.25	0.11797
222.50	0.11784
222.75	0.11659
223.00	0.11404
223.25	0.11369
223.50	0.11291
223.75	0.10852
224.00	0.11003
224.25	0.11005
224.50	0.10821
224.75	0.10699
225.00	0.10495
225.25	0.10352
225.50	0.10380
225.75	0.10162
226.00	0.10066
226.25	0.10044
226.50	0.099014
226.75	0.096197
227.00	0.096546
227.25	0.093300
227.50	0.092982
227.75	0.090875
228.00	0.090416
228.25	0.088873
228.50	0.087139
228.75	0.085578
229.00	0.085351
229.25	0.083606
229.50	0.082987
229.75	0.080740
230.00	0.080299
230.25	0.079209
230.50	0.077347
230.75	0.076465
231.00	0.075265
231.25	0.074432
231.50	0.072448
231.75	0.072987
232.00	0.070666
232.25	0.069067
232.50	0.067898
232.75	0.067751
233.00	0.066385
233.25	0.065809
233.50	0.064248
233.75	0.062845
234.00	0.062294
234.25	0.061075
234.50	0.060261
234.75	0.060175
235.00	0.058877
235.25	0.056537
235.50	0.054964
235.75	0.055643
236.00	0.055025
236.25	0.053873
236.50	0.053629
236.75	0.050524
237.00	0.050579
237.25	0.050028
237.50	0.049764
237.75	0.050811
238.00	0.048423
238.25	0.047112
238.50	0.046684
238.75	0.047743
239.00	0.046433
239.25	0.047339
239.50	0.045649
239.75	0.044742
240.00	0.044253
240.25	0.044565
240.50	0.044369
240.75	0.043309
241.00	0.042997
241.25	0.043169
241.50	0.042348
241.75	0.041785
242.00	0.042207
242.25	0.042017
242.50	0.041503
242.75	0.041944
243.00	0.041846
243.25	0.041191
243.50	0.040443
243.75	0.040149
244.00	0.040156
244.25	0.040278
244.50	0.040131
244.75	0.040284
245.00	0.039611
245.25	0.040002
245.50	0.039984
245.75	0.038349
246.00	0.038882
246.25	0.038869
246.50	0.039108
246.75	0.038508
247.00	0.039696
247.25	0.037571
247.50	0.038000
247.75	0.037534
248.00	0.038710
248.25	0.039341
248.50	0.038478
248.75	0.038061
249.00	0.039433
249.25	0.039359
249.50	0.038061
249.75	0.038453
250.00	0.038441
250.25	0.037259
250.50	0.037675
250.75	0.037485
251.00	0.038882
251.25	0.038196
251.50	0.037657
251.75	0.037724
252.00	0.037822
252.25	0.038729
252.50	0.037816
252.75	0.037779
253.00	0.038239
253.25	0.038502
253.50	0.038539
253.75	0.037553
254.00	0.038343
254.25	0.037302
254.50	0.037173
254.75	0.037381
255.00	0.038171
255.25	0.037461
255.50	0.037528
255.75	0.037994
256.00	0.038343
256.25	0.038086
256.50	0.038263
256.75	0.038459
257.00	0.038343
257.25	0.037853
257.50	0.037749
257.75	0.036787
258.00	0.038453
258.25	0.037724
258.50	0.038765
258.75	0.038723
259.00	0.038551
259.25	0.037375
259.50	0.036763
259.75	0.037718
260.00	0.038275
260.25	0.038135
260.50	0.038551
260.75	0.038502
261.00	0.037418
261.25	0.037994
261.50	0.037877
261.75	0.038049
262.00	0.037914
262.25	0.037779
262.50	0.037498
262.75	0.037247
263.00	0.037975
263.25	0.036708
263.50	0.037865
263.75	0.037430
264.00	0.037908
264.25	0.037767
264.50	0.037461
264.75	0.038435
265.00	0.037804
265.25	0.038686
265.50	0.037032
265.75	0.037822
266.00	0.038827
266.25	0.037651
266.50	0.037143
266.75	0.036738
267.00	0.036879
267.25	0.037835
267.50	0.036940
267.75	0.037694
268.00	0.037204
268.25	0.036683
268.50	0.037204
268.75	0.037712
269.00	0.037565
269.25	0.037485
269.50	0.037504
269.75	0.036824
270.00	0.037191
270.25	0.037247
270.50	0.037675
270.75	0.038190
271.00	0.037957
271.25	0.037498
271.50	0.037320
271.75	0.037191
272.00	0.037247
272.25	0.038012
272.50	0.038104
272.75	0.037155
273.00	0.037571
273.25	0.036793
273.50	0.037185
273.75	0.038220
274.00	0.037792
274.25	0.038079
274.50	0.036904
274.75	0.037614
275.00	0.036371
275.25	0.036414
275.50	0.036108
275.75	0.036757
276.00	0.036904
276.25	0.036916
276.50	0.037191
276.75	0.037767
277.00	0.036824
277.25	0.036304
277.50	0.036585
277.75	0.035863
278.00	0.038110
278.25	0.036499
278.50	0.036916
278.75	0.036199
279.00	0.034883
279.25	0.035679
279.50	0.035899
279.75	0.036824
280.00	0.035697
280.25	0.036585
280.50	0.034344
280.75	0.035679
281.00	0.035232
281.25	0.035422
281.50	0.034846
281.75	0.036310
282.00	0.036046
282.25	0.035856
282.50	0.035348
282.75	0.035979
283.00	0.034632
283.25	0.034197
283.50	0.034803
283.75	0.035103
284.00	0.033382
284.25	0.033689
284.50	0.034289
284.75	0.034748
285.00	0.033915
285.25	0.034791
285.50	0.032960
285.75	0.033799
286.00	0.033836
286.25	0.033101
286.50	0.033162
286.75	0.032482
287.00	0.034080
287.25	0.034001
287.50	0.034626
287.75	0.033419
288.00	0.032770
288.25	0.033101
288.50	0.032886
288.75	0.032997
289.00	0.032586
289.25	0.031992
289.50	0.032752
289.75	0.032562
290.00	0.033107
290.25	0.032090
290.50	0.032531
290.75	0.032268
291.00	0.032580
291.25	0.031796
291.50	0.031527
291.75	0.031092
292.00	0.032090
292.25	0.032158
292.50	0.031913
292.75	0.032525
293.00	0.030957
293.25	0.030853
293.50	0.032611
293.75	0.032078
294.00	0.031955
294.25	0.031900
294.50	0.030933
294.75	0.031392
295.00	0.032066
295.25	0.031808
295.50	0.031588
295.75	0.030626
296.00	0.030088
296.25	0.030412
296.50	0.030994
296.75	0.031815
297.00	0.031355
297.25	0.029800
297.50	0.029524
297.75	0.031478
298.00	0.030418
298.25	0.031368
298.50	0.031514
298.75	0.028655
299.00	0.030069
299.25	0.030198
299.50	0.030363
299.75	0.030259
300.00	0.029641
300.25	0.030210
300.50	0.030400
300.75	0.030896
301.00	0.031018
301.25	0.029690
301.50	0.029200
301.75	0.029206
302.00	0.029481
302.25	0.029616
302.50	0.029396
302.75	0.030333
303.00	0.029763
303.25	0.029347
303.50	0.028336
303.75	0.029494
304.00	0.029285
304.25	0.030057
304.50	0.029034
304.75	0.030590
305.00	0.029255
305.25	0.029708
305.50	0.030198
305.75	0.030590
306.00	0.030308
306.25	0.030773
306.50	0.031025
306.75	0.031123
307.00	0.030265
307.25	0.030878
307.50	0.029316
307.75	0.031025
308.00	0.030871
308.25	0.030369
308.50	0.030908
308.75	0.030026
309.00	0.029218
309.25	0.029426
309.50	0.030161
309.75	0.031294
310.00	0.033897
310.25	0.033309
310.50	0.031245
310.75	0.031833
311.00	0.028710
311.25	0.031257
311.50	0.030198
311.75	0.034540
312.00	0.035667
312.25	0.033052
312.50	0.028324
312.75	0.029126
313.00	0.032586
313.25	0.029824
313.50	0.030541
313.75	0.032899
314.00	0.035024
314.25	0.034601
314.50	0.032758
314.75	0.030333
315.00	0.031165
315.25	0.032984
315.50	0.034558
315.75	0.033444
316.00	0.033401
316.25	0.033480
316.50	0.034362
316.75	0.031221
317.00	0.035556
317.25	0.038214
317.50	0.036640
317.75	0.038625
318.00	0.036910
318.25	0.036775
318.50	0.035697
318.75	0.035226
319.00	0.037945
319.25	0.038441
319.50	0.038869
319.75	0.036646
320.00	0.036291
320.25	0.039384
320.50	0.039023
320.75	0.039476
321.00	0.040376
321.25	0.043407
321.50	0.043009
321.75	0.039280
322.00	0.039170
322.25	0.043726
322.50	0.044375
322.75	0.039170
323.00	0.044185
323.25	0.040841
323.50	0.047884
323.75	0.044363
324.00	0.043885
324.25	0.043665
324.50	0.045814
324.75	0.043891
325.00	0.043879
325.25	0.042820
325.50	0.051320
325.75	0.045802
326.00	0.047805
326.25	0.047180
326.50	0.050634
326.75	0.051528
327.00	0.048919
327.25	0.047235
327.50	0.048962
327.75	0.047339
328.00	0.048772
328.25	0.052244
328.50	0.047835
328.75	0.047970
329.00	0.048117
329.25	0.049342
329.50	0.055313
329.75	0.050603
330.00	0.051295
330.25	0.052208
330.50	0.056317
330.75	0.053873
331.00	0.057970
331.25	0.054621
331.50	0.057021
331.75	0.057621
332.00	0.058534
332.25	0.061571
332.50	0.061198
332.75	0.060726
333.00	0.063954
333.25	0.064407
333.50	0.067549
333.75	0.065975
334.00	0.066954
334.25	0.070243
334.50	0.070427
334.75	0.068871
335.00	0.072925
335.25	0.074554
335.50	0.076637
335.75	0.079674
336.00	0.079203
336.25	0.082161
336.50	0.080636
336.75	0.084157
337.00	0.085296
337.25	0.085927
337.50	0.086815
337.75	0.085976
338.00	0.085094
338.25	0.084016
338.50	0.083287
338.75	0.085608
339.00	0.081101
339.25	0.079662
339.50	0.080770
339.75	0.075210
340.00	0.074689
340.25	0.072319
340.50	0.070702
340.75	0.067457
341.00	0.067763
341.25	0.063317
341.50	0.061088
341.75	0.058013
342.00	0.058460
342.25	0.056574
342.50	0.055576
342.75	0.052869
343.00	0.052306
343.25	0.047504
343.50	0.047982
343.75	0.046684
344.00	0.043622
344.25	0.043959
344.50	0.041638
344.75	0.042673
345.00	0.040094
345.25	0.038772
345.50	0.033615
345.75	0.036420
346.00	0.036940
346.25	0.034950
346.50	0.035330
346.75	0.031876
347.00	0.032880
347.25	0.034332
347.50	0.028012
347.75	0.027920
348.00	0.031919
348.25	0.028728
348.50	0.026572
348.75	0.026627
349.00	0.028361
349.25	0.027307
349.50	0.027791
349.75	0.025886
350.00	0.026793
350.25	0.023878
350.50	0.026805
350.75	0.025231
351.00	0.025788
351.25	0.026309
351.50	0.024000
351.75	0.025550
352.00	0.026162
352.25	0.023039
352.50	0.025954
352.75	0.026793
353.00	0.023559
353.25	0.022353
353.50	0.023137
353.75	0.022524
354.00	0.023572
354.25	0.025170
354.50	0.025666
354.75	0.022947
355.00	0.022984
355.25	0.022530
355.50	0.024686
355.75	0.022561
356.00	0.022641
356.25	0.021783
356.50	0.023719
356.75	0.024282
357.00	0.022696
357.25	0.023137
357.50	0.022151
357.75	0.023437
358.00	0.022984
358.25	0.023425
358.50	0.023749
358.75	0.024870
359.00	0.021563
359.25	0.023376
359.50	0.024141
359.75	0.023706
360.00	0.023737
360.25	0.024221
360.50	0.024141
360.75	0.023951
361.00	0.023253
361.25	0.021716
361.50	0.024123
361.75	0.024845
362.00	0.023235
362.25	0.026260
362.50	0.026236
362.75	0.023039
363.00	0.024061
363.25	0.023406
363.50	0.023284
363.75	0.022506
364.00	0.026597
364.25	0.025684
364.50	0.023988
364.75	0.022200
365.00	0.025641
365.25	0.023467
365.50	0.023088
365.75	0.024435
366.00	0.023841
366.25	0.024398
366.50	0.025880
366.75	0.022188
367.00	0.023051
367.25	0.026015
367.50	0.023927
367.75	0.024453
368.00	0.024233
368.25	0.025127
368.50	0.024000
368.75	0.023939
369.00	0.025256
369.25	0.025011
369.50	0.023988
369.75	0.023284
370.00	0.025029
370.25	0.025176
370.50	0.024809
370.75	0.025684
371.00	0.025225
371.25	0.024019
371.50	0.026695
371.75	0.025360
372.00	0.025501
372.25	0.025727
372.50	0.024417
372.75	0.025580
373.00	0.025335
373.25	0.026180
373.50	0.024411
373.75	0.026695
374.00	0.026915
374.25	0.026138
374.50	0.025666
374.75	0.028275
375.00	0.025997
375.25	0.027381
375.50	0.025452
375.75	0.029187
376.00	0.026854
376.25	0.028575
376.50	0.027148
376.75	0.026285
377.00	0.028379
377.25	0.026768
377.50	0.028061
377.75	0.027963
378.00	0.027754
378.25	0.027730
378.50	0.025433
378.75	0.028612
379.00	0.027491
379.25	0.027552
379.50	0.027797
379.75	0.029040
380.00	0.028073
380.25	0.028526
380.50	0.027993
380.75	0.028544
381.00	0.027938
381.25	0.027987
381.50	0.026266
381.75	0.028397
382.00	0.027797
382.25	0.029763
382.50	0.027124
382.75	0.027515
383.00	0.026695
383.25	0.026928
383.50	0.026315
383.75	0.026450
384.00	0.026781
384.25	0.026964
384.50	0.025788
384.75	0.025684
385.00	0.024631
385.25	0.026928
385.50	0.025170
385.75	0.026928
386.00	0.024631
386.25	0.023982
386.50	0.023725
386.75	0.022249
387.00	0.024637
387.25	0.022775
387.50	0.023327
387.75	0.021048
388.00	0.023284
388.25	0.024000
388.50	0.022310
388.75	0.019475
389.00	0.020773
389.25	0.021698
389.50	0.020222
389.75	0.018868
390.00	0.019634
390.25	0.019964
390.50	0.020901
390.75	0.020577
391.00	0.019181
391.25	0.019083
391.50	0.018042
391.75	0.017252
392.00	0.018948
392.25	0.017729
392.50	0.017821
392.75	0.016970
393.00	0.017441
393.25	0.016780
393.50	0.015035
393.75	0.015965
394.00	0.014986
394.25	0.015506
394.50	0.015151
394.75	0.013387
395.00	0.013638
395.25	0.015708
395.50	0.015714
395.75	0.016045
396.00	0.014373
396.25	0.012738
396.50	0.012548
396.75	0.013001
397.00	0.015188
397.25	0.015157
397.50	0.014073
397.75	0.014833
398.00	0.012885
398.25	0.012732
398.50	0.011348
398.75	0.014030
399.00	0.013791
399.25	0.012769
399.50	0.011593
399.75	0.013106
400.00	0.012744
400.25	0.011850
400.50	0.013320
400.75	0.012916
401.00	0.011470
401.25	0.011036
401.50	0.0092963
401.75	0.010644
402.00	0.011617
402.25	0.011807
402.50	0.011152
402.75	0.012542
403.00	0.010827
403.25	0.011146
403.50	0.010931
403.75	0.010852
404.00	0.010901
404.25	0.010607
404.50	0.010699
404.75	0.010233
405.00	0.012242
405.25	0.010429
405.50	0.010729
405.75	0.011568
406.00	0.010729
406.25	0.010454
406.50	0.010337
406.75	0.011654
407.00	0.010472
407.25	0.012413
407.50	0.010772
407.75	0.011636
408.00	0.011048
408.25	0.013032
408.50	0.011066
408.75	0.010662
409.00	0.0099271
409.25	0.0097189
409.50	0.011654
409.75	0.0088493
410.00	0.0099639
410.25	0.0098108
410.50	0.0098475
410.75	0.011023
411.00	0.010160
411.25	0.011526
411.50	0.011819
411.75	0.010184
412.00	0.010956
412.25	0.0090881
412.50	0.010631
412.75	0.0097005
413.00	0.010693
413.25	0.011434
413.50	0.011581
413.75	0.0091984
414.00	0.0097128
414.25	0.0094801
414.50	0.0093576
414.75	0.0097618
415.00	0.0098108
415.25	0.0095597
415.50	0.0095781
415.75	0.010233
416.00	0.010062
416.25	0.010037
416.50	0.0088248
416.75	0.0095658
417.00	0.0099761
417.25	0.0092412
417.50	0.010264
417.75	0.011054
418.00	0.0090698
418.25	0.0092596
418.50	0.010178
418.75	0.0084084
419.00	0.0092902
419.25	0.0099822
419.50	0.0085737
419.75	0.0099455
420.00	0.0097005
420.25	0.010221
420.50	0.0099088
420.75	0.0094984
421.00	0.010374
421.25	0.0096270
421.50	0.0089105
421.75	0.0094127
422.00	0.010760
422.25	0.010068
422.50	0.010252
422.75	0.011011
423.00	0.0092657
423.25	0.010558
423.50	0.0099271
423.75	0.010509
424.00	0.010662
424.25	0.0096883
424.50	0.010564
424.75	0.010399
425.00	0.010442
425.25	0.011268
425.50	0.0096699
425.75	0.0091494
426.00	0.010099
426.25	0.010729
426.50	0.0098169
426.75	0.010356
427.00	0.011054
427.25	0.0096454
427.50	0.011029
427.75	0.010239
428.00	0.0084696
428.25	0.0095964
428.50	0.0099884
428.75	0.0094005
429.00	0.011225
429.25	0.0098169
429.50	0.0095842
429.75	0.0080164
430.00	0.011189
430.25	0.010380
430.50	0.0096577
430.75	0.0088309
431.00	0.0098353
431.25	0.0087084
431.50	0.0096760
431.75	0.0092045
432.00	0.0093943
