Wavelength (nm)	K10 abs 1
220.00	0.082172
220.25	0.080015
220.50	0.079950
220.75	0.077377
221.00	0.073317
221.25	0.073247
221.50	0.071917
221.75	0.069701
222.00	0.067506
222.25	0.067523
222.50	0.063430
222.75	0.062398
223.00	0.060030
223.25	0.060155
223.50	0.058214
223.75	0.057690
224.00	0.056311
224.25	0.055365
224.50	0.053176
224.75	0.052668
225.00	0.051695
225.25	0.051241
225.50	0.050235
225.75	0.048235
226.00	0.047684
226.25	0.046121
226.50	0.046889
226.75	0.046700
227.00	0.045548
227.25	0.044300
227.50	0.044294
227.75	0.041716
228.00	0.041635
228.25	0.042202
228.50	0.041051
228.75	0.041316
229.00	0.040716
229.25	0.039429
229.50	0.039245
229.75	0.038440
230.00	0.038824
230.25	0.038062
230.50	0.037953
230.75	0.037434
231.00	0.036418
231.25	0.036645
231.50	0.036775
231.75	0.035769
232.00	0.036088
232.25	0.035326
232.50	0.036456
232.75	0.036132
233.00	0.035326
233.25	0.035521
233.50	0.035515
233.75	0.034623
234.00	0.034396
234.25	0.035661
234.50	0.035813
234.75	0.033537
235.00	0.033132
235.25	0.033056
235.50	0.034267
235.75	0.034137
236.00	0.033634
236.25	0.034894
236.50	0.035948
236.75	0.036034
237.00	0.036343
237.25	0.036283
237.50	0.037002
237.75	0.037310
238.00	0.036694
238.25	0.036834
238.50	0.036797
238.75	0.036829
239.00	0.037051
239.25	0.037094
239.50	0.037510
239.75	0.035851
240.00	0.036488
240.25	0.036110
240.50	0.037164
240.75	0.038045
241.00	0.037256
241.25	0.039251
241.50	0.039889
241.75	0.041040
242.00	0.042391
242.25	0.044943
242.50	0.045905
242.75	0.046478
243.00	0.047121
243.25	0.047230
243.50	0.047349
243.75	0.047846
244.00	0.046684
244.25	0.047246
244.50	0.047781
244.75	0.047997
245.00	0.048084
245.25	0.048684
245.50	0.047230
245.75	0.047235
246.00	0.048695
246.25	0.048797
246.50	0.050473
246.75	0.050019
247.00	0.052414
247.25	0.055268
247.50	0.057581
247.75	0.059965
248.00	0.062874
248.25	0.065306
248.50	0.067479
248.75	0.067814
249.00	0.066977
249.25	0.065004
249.50	0.062993
249.75	0.063468
250.00	0.062079
250.25	0.062733
250.50	0.062360
250.75	0.062382
251.00	0.062387
251.25	0.061182
251.50	0.061257
251.75	0.062284
252.00	0.062820
252.25	0.063955
252.50	0.064139
252.75	0.065933
253.00	0.068328
