Wavelength (nm)	K10 ems
510.00	0.0037483
510.50	0.0037977
511.00	0.0033989
511.50	0.0036473
512.00	0.0040973
512.50	0.0037262
513.00	0.0040980
513.50	0.0041084
514.00	0.0044425
514.50	0.0051840
515.00	0.0050547
515.50	0.0057419
516.00	0.0059831
516.50	0.0057742
517.00	0.0067981
517.50	0.0074254
518.00	0.0075081
518.50	0.0079852
519.00	0.0084543
519.50	0.0091970
520.00	0.0099646
520.50	0.0095953
521.00	0.0097179
521.50	0.012225
522.00	0.011742
522.50	0.013547
523.00	0.014288
523.50	0.014980
524.00	0.016831
524.50	0.018660
525.00	0.019994
525.50	0.021813
526.00	0.021953
526.50	0.025318
527.00	0.027842
527.50	0.030283
528.00	0.032277
528.50	0.034810
529.00	0.038293
529.50	0.043177
530.00	0.045684
530.50	0.051402
531.00	0.055861
531.50	0.061296
532.00	0.064913
532.50	0.072644
533.00	0.079090
533.50	0.087779
534.00	0.094056
534.50	0.10247
535.00	0.11222
535.50	0.12483
536.00	0.13324
536.50	0.14672
537.00	0.15928
537.50	0.17731
538.00	0.18891
538.50	0.20539
539.00	0.22100
539.50	0.24166
540.00	0.25840
540.50	0.27658
541.00	0.30257
541.50	0.32595
542.00	0.34245
542.50	0.37475
543.00	0.39144
543.50	0.42449
544.00	0.44361
544.50	0.47753
545.00	0.49969
545.50	0.53755
546.00	0.56090
546.50	0.59863
547.00	0.62165
547.50	0.66065
548.00	0.67475
548.50	0.71043
549.00	0.73488
549.50	0.77137
550.00	0.79458
550.50	0.82681
551.00	0.84409
551.50	0.86450
552.00	0.89231
552.50	0.91240
553.00	0.92499
553.50	0.94323
554.00	0.95547
554.50	0.96244
555.00	0.98039
555.50	0.99093
556.00	0.99467
556.50	0.99427
557.00	1.0000
557.50	0.99760
558.00	0.99877
558.50	0.99845
559.00	0.99229
559.50	0.99175
560.00	0.98026
560.50	0.97475
561.00	0.97175
561.50	0.94900
562.00	0.95315
562.50	0.93473
563.00	0.92411
563.50	0.91045
564.00	0.90345
564.50	0.88860
565.00	0.88295
565.50	0.85883
566.00	0.84883
566.50	0.82687
567.00	0.81602
567.50	0.80191
568.00	0.79294
568.50	0.76710
569.00	0.76539
569.50	0.75145
570.00	0.73789
570.50	0.72515
571.00	0.71226
571.50	0.69349
572.00	0.68345
572.50	0.67616
573.00	0.66070
573.50	0.64993
574.00	0.64513
574.50	0.63453
575.00	0.61548
575.50	0.60777
576.00	0.58918
576.50	0.58764
577.00	0.58114
577.50	0.56536
578.00	0.56719
578.50	0.55557
579.00	0.54794
579.50	0.53750
580.00	0.53647
580.50	0.53192
581.00	0.52886
581.50	0.52341
582.00	0.51945
582.50	0.51681
583.00	0.51059
583.50	0.51249
584.00	0.50871
584.50	0.50180
585.00	0.49650
585.50	0.50217
586.00	0.49617
586.50	0.49889
587.00	0.49946
587.50	0.49718
588.00	0.49767
588.50	0.49685
589.00	0.49589
589.50	0.49259
590.00	0.49031
590.50	0.49123
591.00	0.49140
591.50	0.49008
592.00	0.49076
592.50	0.49271
593.00	0.49517
593.50	0.49452
594.00	0.49576
594.50	0.49295
595.00	0.49186
595.50	0.49746
596.00	0.49124
596.50	0.49892
597.00	0.48956
597.50	0.49777
598.00	0.48815
598.50	0.49189
599.00	0.48443
599.50	0.48373
600.00	0.48809
600.50	0.48099
601.00	0.48016
601.50	0.47696
602.00	0.47598
602.50	0.47004
603.00	0.47311
603.50	0.45674
604.00	0.45948
604.50	0.46495
605.00	0.44716
605.50	0.44727
606.00	0.44108
606.50	0.43532
607.00	0.43358
607.50	0.42804
608.00	0.42467
608.50	0.41391
609.00	0.41918
609.50	0.40379
610.00	0.40136
610.50	0.39773
611.00	0.38865
611.50	0.38265
612.00	0.38340
612.50	0.37416
613.00	0.37306
613.50	0.35977
614.00	0.36046
614.50	0.34759
615.00	0.34396
615.50	0.33990
616.00	0.33498
616.50	0.32935
617.00	0.32305
617.50	0.31607
618.00	0.30863
618.50	0.30694
619.00	0.30675
619.50	0.29696
620.00	0.29515
620.50	0.28987
621.00	0.28360
621.50	0.27877
622.00	0.27815
622.50	0.26909
623.00	0.26269
623.50	0.25767
624.00	0.26055
624.50	0.25021
625.00	0.24910
625.50	0.24267
626.00	0.23616
626.50	0.22800
627.00	0.23041
627.50	0.22519
628.00	0.22019
628.50	0.21454
629.00	0.21417
629.50	0.21335
630.00	0.20462
630.50	0.20628
631.00	0.20550
631.50	0.19853
632.00	0.19680
632.50	0.19102
633.00	0.18722
633.50	0.18797
634.00	0.18811
634.50	0.18437
635.00	0.18264
