Wavelength (nm)	K11 abs N
220.00	0.11976
220.25	0.11830
220.50	0.11926
220.75	0.11685
221.00	0.11456
221.25	0.11362
221.50	0.11284
221.75	0.10967
222.00	0.10983
222.25	0.10933
222.50	0.10480
222.75	0.10511
223.00	0.10459
223.25	0.10328
223.50	0.10209
223.75	0.099258
224.00	0.099043
224.25	0.096840
224.50	0.096017
224.75	0.092207
225.00	0.093492
225.25	0.091289
225.50	0.089232
225.75	0.087346
226.00	0.086485
226.25	0.084308
226.50	0.084612
226.75	0.084004
227.00	0.080998
227.25	0.078858
227.50	0.078763
227.75	0.076301
228.00	0.074586
228.25	0.074162
228.50	0.072339
228.75	0.072985
229.00	0.070295
229.25	0.067814
229.50	0.068453
229.75	0.065769
230.00	0.065782
230.25	0.063370
230.50	0.062478
230.75	0.059149
231.00	0.059092
231.25	0.059535
231.50	0.057091
231.75	0.055996
232.00	0.055072
232.25	0.054509
232.50	0.054686
232.75	0.051598
233.00	0.051768
233.25	0.050876
233.50	0.049800
233.75	0.048458
234.00	0.047616
234.25	0.046680
234.50	0.046452
234.75	0.046142
235.00	0.042641
235.25	0.041034
235.50	0.041610
235.75	0.040717
236.00	0.039996
236.25	0.040148
236.50	0.040888
236.75	0.040451
237.00	0.039958
237.25	0.039236
237.50	0.038996
237.75	0.039439
238.00	0.039261
238.25	0.037812
238.50	0.037572
238.75	0.036236
239.00	0.037363
239.25	0.036052
239.50	0.035268
239.75	0.033768
240.00	0.032856
240.25	0.032021
240.50	0.033780
240.75	0.033736
241.00	0.032926
241.25	0.032476
241.50	0.032394
241.75	0.033856
242.00	0.035844
242.25	0.037622
242.50	0.038280
242.75	0.038128
243.00	0.037945
243.25	0.037837
243.50	0.035052
243.75	0.035476
244.00	0.034863
244.25	0.034426
244.50	0.033666
244.75	0.032236
245.00	0.032685
245.25	0.032742
245.50	0.031729
245.75	0.029590
246.00	0.030691
246.25	0.030856
246.50	0.031134
246.75	0.030691
247.00	0.032128
247.25	0.034217
247.50	0.036514
247.75	0.038856
248.00	0.041040
248.25	0.043281
248.50	0.043964
248.75	0.043331
249.00	0.042255
249.25	0.038951
249.50	0.037027
249.75	0.035578
250.00	0.034622
250.25	0.033584
250.50	0.032388
250.75	0.031710
251.00	0.030995
251.25	0.029926
251.50	0.029185
251.75	0.028875
252.00	0.028970
252.25	0.029008
252.50	0.029027
252.75	0.030761
253.00	0.032729
253.25	0.036964
253.50	0.040844
253.75	0.044502
254.00	0.047844
254.25	0.049509
254.50	0.048794
254.75	0.046952
255.00	0.045287
255.25	0.043971
255.50	0.041084
255.75	0.038793
256.00	0.036508
256.25	0.034325
256.50	0.031318
256.75	0.031628
257.00	0.030286
257.25	0.029014
257.50	0.027451
257.75	0.028596
258.00	0.027394
258.25	0.027343
258.50	0.028020
258.75	0.027324
259.00	0.026881
259.25	0.029755
259.50	0.031704
259.75	0.036027
260.00	0.038780
260.25	0.039515
260.50	0.039610
260.75	0.038483
261.00	0.037344
261.25	0.036483
261.50	0.034584
261.75	0.032331
262.00	0.030786
262.25	0.029457
262.50	0.027698
262.75	0.026723
263.00	0.026970
263.25	0.025590
263.50	0.026185
263.75	0.025381
264.00	0.025856
264.25	0.024799
264.50	0.023799
264.75	0.024299
265.00	0.023457
265.25	0.023381
265.50	0.022469
265.75	0.022147
266.00	0.022900
266.25	0.022438
266.50	0.021311
266.75	0.022590
267.00	0.022197
267.25	0.021374
267.50	0.022767
267.75	0.022564
268.00	0.023229
268.25	0.022349
268.50	0.021742
268.75	0.022318
269.00	0.022628
269.25	0.022090
269.50	0.022653
269.75	0.021938
270.00	0.021666
270.25	0.021052
270.50	0.021071
270.75	0.021273
271.00	0.021735
271.25	0.022324
271.50	0.024451
271.75	0.022653
272.00	0.022495
272.25	0.023007
272.50	0.023419
272.75	0.023805
273.00	0.023919
273.25	0.023526
273.50	0.024185
273.75	0.022533
274.00	0.023773
274.25	0.023102
274.50	0.024527
274.75	0.025862
275.00	0.025780
275.25	0.025843
275.50	0.025330
275.75	0.024603
276.00	0.026261
276.25	0.026495
276.50	0.026830
276.75	0.027590
277.00	0.026223
277.25	0.026634
277.50	0.026292
277.75	0.026584
278.00	0.026577
278.25	0.027204
278.50	0.026153
278.75	0.025590
279.00	0.027077
279.25	0.027647
279.50	0.027691
279.75	0.025406
280.00	0.025868
280.25	0.026311
280.50	0.026090
280.75	0.026153
281.00	0.026508
281.25	0.026539
281.50	0.026818
281.75	0.026546
282.00	0.027539
282.25	0.026141
282.50	0.027425
282.75	0.027995
283.00	0.027153
283.25	0.027362
283.50	0.026919
283.75	0.026881
284.00	0.028590
284.25	0.028843
284.50	0.028793
284.75	0.028141
285.00	0.028634
285.25	0.028862
285.50	0.027786
285.75	0.028660
286.00	0.028577
286.25	0.030185
286.50	0.029850
286.75	0.028856
287.00	0.028476
287.25	0.027799
287.50	0.027229
287.75	0.027514
288.00	0.028628
288.25	0.027020
288.50	0.025508
288.75	0.023716
289.00	0.024558
289.25	0.023697
289.50	0.023875
289.75	0.024090
290.00	0.022197
290.25	0.020640
290.50	0.021678
290.75	0.020666
291.00	0.019969
291.25	0.019938
291.50	0.018368
291.75	0.018033
292.00	0.018615
292.25	0.016640
292.50	0.017501
292.75	0.016697
293.00	0.016488
293.25	0.016089
293.50	0.015292
293.75	0.015798
294.00	0.015488
294.25	0.016589
294.50	0.015672
294.75	0.015881
295.00	0.015507
295.25	0.015355
295.50	0.015070
295.75	0.015248
296.00	0.015425
296.25	0.016127
296.50	0.014805
296.75	0.015564
297.00	0.015855
297.25	0.016539
297.50	0.015900
297.75	0.016305
298.00	0.014836
298.25	0.015602
298.50	0.014058
298.75	0.016374
299.00	0.016501
299.25	0.015229
299.50	0.016077
299.75	0.015906
300.00	0.016077
300.25	0.016627
300.50	0.015513
300.75	0.015919
301.00	0.015716
301.25	0.016703
301.50	0.018007
301.75	0.016792
302.00	0.016532
302.25	0.016963
302.50	0.016703
302.75	0.016596
303.00	0.017311
303.25	0.018052
303.50	0.018203
303.75	0.016849
304.00	0.018330
304.25	0.018628
304.50	0.017450
304.75	0.018514
305.00	0.018020
305.25	0.018330
305.50	0.019058
305.75	0.019400
306.00	0.018963
306.25	0.018659
306.50	0.019501
306.75	0.019849
307.00	0.018602
307.25	0.019609
307.50	0.020957
307.75	0.020735
308.00	0.020799
308.25	0.021115
308.50	0.021261
308.75	0.021406
309.00	0.019741
309.25	0.020710
309.50	0.021020
309.75	0.021210
310.00	0.020786
310.25	0.021058
310.50	0.018868
310.75	0.022337
311.00	0.023254
311.25	0.023140
311.50	0.023672
311.75	0.022020
312.00	0.019830
312.25	0.020109
312.50	0.023634
312.75	0.025014
313.00	0.023349
313.25	0.021697
313.50	0.019976
313.75	0.021818
314.00	0.024242
314.25	0.027312
314.50	0.027210
314.75	0.022166
315.00	0.022343
315.25	0.022507
315.50	0.027046
315.75	0.025103
316.00	0.026634
316.25	0.029090
316.50	0.023957
316.75	0.022223
317.00	0.025609
317.25	0.021723
317.50	0.028406
317.75	0.025951
318.00	0.022906
318.25	0.022343
318.50	0.022970
318.75	0.022564
319.00	0.023659
319.25	0.027033
319.50	0.025754
319.75	0.026887
320.00	0.025786
320.25	0.025533
320.50	0.022533
320.75	0.023343
321.00	0.024375
321.25	0.024697
321.50	0.023324
321.75	0.021944
322.00	0.023001
322.25	0.025913
322.50	0.020786
322.75	0.024615
323.00	0.020153
323.25	0.022761
323.50	0.022375
323.75	0.028786
324.00	0.022121
324.25	0.025311
324.50	0.023109
324.75	0.022273
325.00	0.027476
325.25	0.024976
325.50	0.027698
325.75	0.023773
326.00	0.025375
326.25	0.022634
326.50	0.025792
326.75	0.028609
327.00	0.023172
327.25	0.029020
327.50	0.025191
327.75	0.025419
328.00	0.023330
328.25	0.027906
328.50	0.028742
328.75	0.027261
329.00	0.027533
329.25	0.028198
329.50	0.025590
329.75	0.026166
330.00	0.025951
330.25	0.025394
330.50	0.025590
330.75	0.025995
331.00	0.024621
331.25	0.023552
331.50	0.021337
331.75	0.022476
332.00	0.023140
332.25	0.020476
332.50	0.022413
332.75	0.017957
333.00	0.021064
333.25	0.019881
333.50	0.018526
333.75	0.019887
334.00	0.017210
334.25	0.018058
334.50	0.015583
334.75	0.018609
335.00	0.015178
335.25	0.017982
335.50	0.014754
335.75	0.015697
336.00	0.013564
336.25	0.015349
336.50	0.016817
336.75	0.013317
337.00	0.011469
337.25	0.016602
337.50	0.013064
337.75	0.014596
338.00	0.015222
338.25	0.0087283
338.50	0.0093865
338.75	0.010323
339.00	0.0098676
339.25	0.010969
339.50	0.0096524
339.75	0.010494
340.00	0.012868
340.25	0.010317
340.50	0.0071459
340.75	0.0090954
341.00	0.0099309
341.25	0.0070953
341.50	0.0086587
341.75	0.0087156
342.00	0.0085257
342.25	0.0080827
342.50	0.0063484
342.75	0.010887
343.00	0.010754
343.25	0.011013
343.50	0.010564
343.75	0.0081586
344.00	0.0097030
344.25	0.0079561
344.50	0.0067155
344.75	0.0082789
345.00	0.0083612
345.25	0.013855
345.50	0.013583
345.75	0.0091840
346.00	0.010773
346.25	0.0097283
346.50	0.010412
346.75	0.0055446
347.00	0.011216
347.25	0.010317
347.50	0.0096840
347.75	0.0083928
348.00	0.010463
348.25	0.011108
348.50	0.0082662
348.75	0.0090068
349.00	0.0069877
349.25	0.0092410
349.50	0.0092663
349.75	0.0075447
350.00	0.0085447
350.25	0.010614
350.50	0.011089
350.75	0.0091081
351.00	0.010095
351.25	0.010792
351.50	0.0097410
351.75	0.0097157
352.00	0.010368
352.25	0.010216
352.50	0.0083802
352.75	0.0082219
353.00	0.0087156
353.25	0.011013
353.50	0.0099562
353.75	0.012570
354.00	0.0093929
354.25	0.0086333
354.50	0.0087283
354.75	0.013425
355.00	0.012773
355.25	0.011209
355.50	0.0096271
355.75	0.011171
356.00	0.011899
356.25	0.012140
356.50	0.012096
356.75	0.010285
357.00	0.010209
357.25	0.0091840
357.50	0.011804
357.75	0.010754
358.00	0.011171
358.25	0.012425
358.50	0.011393
358.75	0.0089118
359.00	0.013665
359.25	0.0098043
359.50	0.013551
359.75	0.012773
360.00	0.013292
360.25	0.012342
360.50	0.011450
360.75	0.011387
361.00	0.011564
361.25	0.012456
361.50	0.012760
361.75	0.011621
362.00	0.012956
362.25	0.014089
362.50	0.011849
362.75	0.012823
363.00	0.013070
363.25	0.012532
363.50	0.012184
363.75	0.012754
364.00	0.011912
364.25	0.016381
364.50	0.012494
364.75	0.011633
365.00	0.012203
365.25	0.015153
365.50	0.013513
365.75	0.013887
366.00	0.013032
366.25	0.013798
366.50	0.014032
366.75	0.011925
367.00	0.013292
367.25	0.011532
367.50	0.014950
367.75	0.011121
368.00	0.012494
368.25	0.012526
368.50	0.012912
368.75	0.010532
369.00	0.010393
369.25	0.014425
369.50	0.012621
369.75	0.012849
370.00	0.011235
370.25	0.010551
370.50	0.011539
370.75	0.013748
371.00	0.011159
371.25	0.011969
371.50	0.012463
371.75	0.011804
372.00	0.011323
372.25	0.013767
372.50	0.011209
372.75	0.011393
373.00	0.011026
373.25	0.012355
373.50	0.010874
373.75	0.013975
374.00	0.013083
374.25	0.012437
374.50	0.012735
374.75	0.011830
375.00	0.014342
375.25	0.014836
375.50	0.012260
375.75	0.011994
376.00	0.012425
376.25	0.013165
376.50	0.012108
376.75	0.011349
377.00	0.012197
377.25	0.010222
377.50	0.013108
377.75	0.010697
378.00	0.012380
378.25	0.011874
378.50	0.011640
378.75	0.012045
379.00	0.013134
379.25	0.013045
379.50	0.011178
379.75	0.0097537
380.00	0.011197
380.25	0.011798
380.50	0.013349
380.75	0.013855
381.00	0.013140
381.25	0.010912
381.50	0.014191
381.75	0.012482
382.00	0.0095195
382.25	0.011178
382.50	0.011912
382.75	0.012975
383.00	0.010678
383.25	0.0095448
383.50	0.010026
383.75	0.010266
384.00	0.012551
384.25	0.010798
384.50	0.011102
384.75	0.010152
385.00	0.010108
385.25	0.010051
385.50	0.010285
385.75	0.0089245
386.00	0.0099372
386.25	0.0094245
386.50	0.011001
386.75	0.0087093
387.00	0.0099625
387.25	0.0093676
387.50	0.0085004
387.75	0.010114
388.00	0.0093739
388.25	0.0089372
388.50	0.011140
388.75	0.0082409
389.00	0.0079308
389.25	0.0083422
389.50	0.0081270
389.75	0.0062028
390.00	0.0074687
390.25	0.0077599
390.50	0.0064750
390.75	0.0072915
391.00	0.0057281
391.25	0.0053420
391.50	0.0075890
391.75	0.0061965
392.00	0.0076903
392.25	0.0071080
392.50	0.0072156
392.75	0.0054307
393.00	0.0062598
393.25	0.0052724
393.50	0.0044876
393.75	0.0052408
394.00	0.0055446
394.25	0.0051268
394.50	0.0059433
394.75	0.0062345
395.00	0.0059243
395.25	0.0057661
395.50	0.0067725
395.75	0.0040635
396.00	0.0052787
396.25	0.0054433
396.50	0.0034938
396.75	0.0052091
397.00	0.0032154
397.25	0.0054750
397.50	0.0025001
397.75	0.0047407
398.00	0.0037027
398.25	0.0056269
398.50	0.0044295
398.75	0.0047218
399.00	0.0035761
399.25	0.0031964
399.50	0.0043420
399.75	0.0032723
400.00	0.0016393
400.25	0.0043357
400.50	0.0024685
400.75	0.0037723
401.00	0.0011963
401.25	0.0027470
401.50	0.0030445
401.75	0.0057724
402.00	0.0031774
402.25	0.0033862
402.50	0.0033926
402.75	0.0026204
403.00	0.0043230
403.25	0.0015570
403.50	0.0029115
403.75	0.0036394
404.00	0.0037850
404.25	0.0032723
404.50	0.0029052
404.75	0.0042154
405.00	0.0023545
405.25	0.0040888
405.50	0.0038103
405.75	0.0025571
406.00	0.0032090
406.25	0.0017533
406.50	0.00098739
406.75	0.0020064
407.00	0.0026077
407.25	0.0023799
407.50	0.0022596
407.75	0.0024052
408.00	0.0017912
408.25	0.0029369
408.50	0.0036394
408.75	0.0018292
409.00	0.0016140
