Wavelength (nm)	K12 abs N
220.00	0.077242
220.25	0.076044
220.50	0.078664
220.75	0.078076
221.00	0.075687
221.25	0.074889
221.50	0.076339
221.75	0.071870
222.00	0.075246
222.25	0.073565
222.50	0.072934
222.75	0.072171
223.00	0.072878
223.25	0.072038
223.50	0.070798
223.75	0.070700
224.00	0.069145
224.25	0.067436
224.50	0.068717
224.75	0.066588
225.00	0.063919
225.25	0.064395
225.50	0.063835
225.75	0.061530
226.00	0.061853
226.25	0.059919
226.50	0.060767
226.75	0.059408
227.00	0.056067
227.25	0.055359
227.50	0.053748
227.75	0.054098
228.00	0.054477
228.25	0.054175
228.50	0.053587
228.75	0.050386
229.00	0.049202
229.25	0.049377
229.50	0.047619
229.75	0.046386
230.00	0.047037
230.25	0.044313
230.50	0.043500
230.75	0.044782
231.00	0.042400
231.25	0.041153
231.50	0.040614
231.75	0.038898
232.00	0.038597
232.25	0.035592
232.50	0.035739
232.75	0.036908
233.00	0.035725
233.25	0.034317
233.50	0.033546
233.75	0.031788
234.00	0.032299
234.25	0.030842
234.50	0.029434
234.75	0.029883
235.00	0.029140
235.25	0.027452
235.50	0.026744
235.75	0.026093
236.00	0.025042
236.25	0.025407
236.50	0.024958
236.75	0.023627
237.00	0.023207
237.25	0.021491
237.50	0.021330
237.75	0.021876
238.00	0.021267
238.25	0.020244
238.50	0.019249
238.75	0.019347
239.00	0.019375
239.25	0.019831
239.50	0.019046
239.75	0.017841
240.00	0.018051
240.25	0.018864
240.50	0.016244
240.75	0.016377
241.00	0.015579
241.25	0.015502
241.50	0.016475
241.75	0.017134
242.00	0.015109
242.25	0.014892
242.50	0.013905
242.75	0.014122
243.00	0.014927
243.25	0.014003
243.50	0.012518
243.75	0.013316
244.00	0.013001
244.25	0.013372
244.50	0.012875
244.75	0.012616
245.00	0.012343
245.25	0.013246
245.50	0.011362
245.75	0.011432
246.00	0.011453
246.25	0.011355
246.50	0.012616
246.75	0.011418
247.00	0.013197
247.25	0.011327
247.50	0.011705
247.75	0.011257
248.00	0.012006
248.25	0.011103
248.50	0.010563
248.75	0.010682
249.00	0.0096877
249.25	0.010787
249.50	0.0095966
249.75	0.0096807
250.00	0.010143
