Wavelength (nm)	K12 ems
700.00	0.0069425
700.50	0.0070931
701.00	0.0071265
701.50	0.0077909
702.00	0.0078626
702.50	0.0083381
703.00	0.0086686
703.50	0.0086637
704.00	0.0087756
704.50	0.0094156
705.00	0.0098129
705.50	0.010601
706.00	0.011211
706.50	0.011000
707.00	0.012220
707.50	0.012301
708.00	0.012818
708.50	0.013458
709.00	0.013936
709.50	0.015153
710.00	0.015544
710.50	0.016452
711.00	0.017460
711.50	0.018383
712.00	0.019219
712.50	0.019985
713.00	0.021004
713.50	0.022176
714.00	0.023065
714.50	0.024369
715.00	0.025192
715.50	0.027282
716.00	0.028032
716.50	0.029004
717.00	0.029979
717.50	0.033210
718.00	0.034317
718.50	0.036074
719.00	0.038001
719.50	0.041271
720.00	0.043001
720.50	0.045177
721.00	0.047687
721.50	0.050035
722.00	0.053295
722.50	0.057313
723.00	0.059640
723.50	0.062508
724.00	0.065744
724.50	0.069225
725.00	0.072776
725.50	0.077283
726.00	0.081319
726.50	0.085437
727.00	0.089286
727.50	0.095799
728.00	0.097562
728.50	0.10620
729.00	0.11259
729.50	0.11825
730.00	0.12246
730.50	0.12938
731.00	0.13939
731.50	0.14415
732.00	0.15053
732.50	0.15599
733.00	0.16442
733.50	0.17527
734.00	0.18020
734.50	0.18933
735.00	0.19733
735.50	0.20629
736.00	0.21508
736.50	0.22486
737.00	0.23454
737.50	0.24723
738.00	0.25526
738.50	0.26559
739.00	0.27283
739.50	0.28909
740.00	0.29289
740.50	0.30973
741.00	0.32253
741.50	0.33347
742.00	0.34359
742.50	0.36021
743.00	0.36974
743.50	0.38903
744.00	0.39728
744.50	0.41199
745.00	0.43127
745.50	0.44869
746.00	0.46064
746.50	0.47627
747.00	0.48916
747.50	0.50805
748.00	0.52136
748.50	0.53899
749.00	0.55157
749.50	0.57260
750.00	0.58170
750.50	0.60141
751.00	0.61244
751.50	0.63517
752.00	0.64871
752.50	0.66638
753.00	0.68152
753.50	0.69936
754.00	0.71008
754.50	0.72301
755.00	0.73843
755.50	0.75559
756.00	0.77105
756.50	0.78008
757.00	0.79990
757.50	0.81343
758.00	0.82488
758.50	0.83182
759.00	0.85201
759.50	0.86500
760.00	0.86590
760.50	0.88136
761.00	0.88607
761.50	0.90572
762.00	0.90954
762.50	0.92011
763.00	0.93662
763.50	0.93924
764.00	0.95036
764.50	0.95294
765.00	0.95774
765.50	0.96605
766.00	0.97146
766.50	0.98297
767.00	0.98588
767.50	0.98146
768.00	0.99215
768.50	0.99331
769.00	0.99469
769.50	0.99031
770.00	0.99799
770.50	0.99109
771.00	1.0000
771.50	0.99673
772.00	0.99112
772.50	0.98671
773.00	0.98580
773.50	0.97182
774.00	0.98186
774.50	0.97869
775.00	0.96903
775.50	0.96080
776.00	0.95619
776.50	0.95555
777.00	0.94199
777.50	0.92671
778.00	0.92929
778.50	0.91835
779.00	0.90773
779.50	0.89980
780.00	0.88417
780.50	0.87472
781.00	0.86667
781.50	0.85182
782.00	0.85186
782.50	0.83707
783.00	0.81621
783.50	0.80683
784.00	0.80311
784.50	0.78880
785.00	0.76704
785.50	0.76215
786.00	0.75104
786.50	0.73410
787.00	0.72617
787.50	0.70605
788.00	0.70851
788.50	0.67746
789.00	0.67691
789.50	0.66363
790.00	0.65519
790.50	0.64163
791.00	0.62037
791.50	0.61471
792.00	0.60253
792.50	0.58944
793.00	0.57401
793.50	0.56027
794.00	0.55301
794.50	0.53169
795.00	0.52705
795.50	0.51870
796.00	0.51379
796.50	0.49639
797.00	0.48744
797.50	0.47590
798.00	0.46851
798.50	0.45211
799.00	0.44841
799.50	0.43337
800.00	0.43383
