Wavelength (nm)	K13 ems
730.00	0.013480
731.00	0.013216
732.00	0.012816
733.00	0.013710
734.00	0.013466
735.00	0.013811
736.00	0.012481
737.00	0.013591
738.00	0.013582
739.00	0.012591
740.00	0.014219
741.00	0.013976
742.00	0.014658
743.00	0.015289
744.00	0.015405
745.00	0.016051
746.00	0.016529
747.00	0.017541
748.00	0.017854
749.00	0.019469
750.00	0.020092
751.00	0.021508
752.00	0.023984
753.00	0.026210
754.00	0.027285
755.00	0.029896
756.00	0.032596
757.00	0.035757
758.00	0.038905
759.00	0.043607
760.00	0.045841
761.00	0.050865
762.00	0.052918
763.00	0.058732
764.00	0.064813
765.00	0.070662
766.00	0.077815
767.00	0.086227
768.00	0.092487
769.00	0.10218
770.00	0.11302
771.00	0.12083
772.00	0.13234
773.00	0.14447
774.00	0.15901
775.00	0.16926
776.00	0.18291
777.00	0.19911
778.00	0.21672
779.00	0.23569
780.00	0.24971
781.00	0.26325
782.00	0.28399
783.00	0.30784
784.00	0.31895
785.00	0.34325
786.00	0.36679
787.00	0.39806
788.00	0.42068
789.00	0.43986
790.00	0.45833
791.00	0.49385
792.00	0.51231
793.00	0.54375
794.00	0.57883
795.00	0.60031
796.00	0.63152
797.00	0.65470
798.00	0.69192
799.00	0.72572
800.00	0.74603
801.00	0.76903
802.00	0.77781
803.00	0.79802
804.00	0.81855
805.00	0.84011
806.00	0.84746
807.00	0.86972
808.00	0.89791
809.00	0.92454
810.00	0.92698
811.00	0.95914
812.00	0.94866
813.00	0.97222
814.00	0.97519
815.00	0.97634
816.00	0.98834
817.00	1.0000
818.00	0.97957
819.00	0.98485
820.00	0.95505
821.00	0.97097
822.00	0.96474
823.00	0.94919
824.00	0.95239
825.00	0.94017
826.00	0.92623
827.00	0.89107
828.00	0.86242
829.00	0.80393
830.00	0.75015
831.00	0.70225
832.00	0.67147
833.00	0.64994
834.00	0.61390
835.00	0.59068
836.00	0.54363
837.00	0.50428
838.00	0.47509
839.00	0.44293
840.00	0.40259
841.00	0.38417
842.00	0.35395
843.00	0.32880
844.00	0.30191
845.00	0.27306
846.00	0.24985
847.00	0.23702
848.00	0.22043
849.00	0.19046
850.00	0.16627
851.00	0.14772
852.00	0.13732
853.00	0.13148
854.00	0.11776
855.00	0.098643
856.00	0.089362
857.00	0.081613
858.00	0.065531
859.00	0.067014
860.00	0.052104
861.00	0.056554
862.00	0.041642
863.00	0.035819
864.00	0.036112
865.00	0.027811
866.00	0.031734
867.00	0.026126
868.00	0.033194
869.00	0.028777
870.00	0.020508
871.00	0.017449
872.00	0.023270
873.00	0.016402
874.00	0.012976
875.00	0.020149
876.00	0.0084218
877.00	0.0089028
878.00	0.0083778
879.00	0.014675
880.00	0.00087678
881.00	0.011296
882.00	0.016345
883.00	0.014781
884.00	0.0074180
885.00	0.0078924
886.00	0.010762
887.00	0.0082511
888.00	0.00045162
889.00	0.0040804
890.00	0.0024268
891.00	0.0095890
892.00	0.0027491
893.00	0.012261
894.00	0.0064588
895.00	0.0094128
896.00	0.010374
897.00	0.0018642
898.00	0.0068588
899.00	0.011731
900.00	0.013810
