Wavelength (nm)	K14 abs N
220.00	0.20773
220.25	0.21007
220.50	0.21872
220.75	0.20307
221.00	0.20822
221.25	0.20847
221.50	0.20268
221.75	0.20409
222.00	0.20698
222.25	0.21325
222.50	0.20019
222.75	0.19824
223.00	0.20673
223.25	0.20827
223.50	0.19971
223.75	0.20422
224.00	0.19764
224.25	0.19380
224.50	0.19603
224.75	0.19209
225.00	0.19689
225.25	0.18757
225.50	0.18624
225.75	0.17997
226.00	0.18534
226.25	0.17606
226.50	0.17770
226.75	0.18023
227.00	0.17252
227.25	0.16721
227.50	0.16353
227.75	0.15881
228.00	0.15785
228.25	0.15647
228.50	0.14575
228.75	0.14099
229.00	0.14474
229.25	0.14037
229.50	0.13304
229.75	0.12783
230.00	0.13111
230.25	0.12294
230.50	0.12812
230.75	0.12423
231.00	0.11931
231.25	0.10750
231.50	0.11096
231.75	0.10732
232.00	0.10290
232.25	0.10405
232.50	0.10308
232.75	0.099786
233.00	0.094274
233.25	0.10267
233.50	0.092978
233.75	0.091401
234.00	0.095638
234.25	0.084830
234.50	0.084816
234.75	0.086561
235.00	0.083259
235.25	0.079465
235.50	0.077687
235.75	0.074463
236.00	0.079463
236.25	0.073373
236.50	0.074121
236.75	0.074284
237.00	0.077824
237.25	0.078249
237.50	0.074589
237.75	0.070570
238.00	0.071802
238.25	0.068520
238.50	0.068265
238.75	0.067169
239.00	0.065476
239.25	0.069416
239.50	0.067941
239.75	0.070994
240.00	0.073270
240.25	0.067811
240.50	0.066254
240.75	0.060731
241.00	0.060196
241.25	0.062216
241.50	0.062548
241.75	0.061678
242.00	0.060789
242.25	0.058390
242.50	0.055618
242.75	0.053320
243.00	0.054508
243.25	0.054763
243.50	0.054662
243.75	0.054162
244.00	0.055772
244.25	0.051569
244.50	0.052295
244.75	0.051228
245.00	0.050295
245.25	0.043832
245.50	0.043285
245.75	0.041054
246.00	0.045773
246.25	0.040394
246.50	0.042580
246.75	0.039113
247.00	0.042686
247.25	0.036616
247.50	0.034294
247.75	0.040349
248.00	0.033663
248.25	0.034727
248.50	0.036302
248.75	0.032987
249.00	0.030866
249.25	0.037912
249.50	0.033120
249.75	0.029725
250.00	0.035366
250.25	0.027307
250.50	0.031138
250.75	0.032558
251.00	0.028088
251.25	0.026774
251.50	0.034575
251.75	0.033723
252.00	0.028758
252.25	0.031526
252.50	0.028651
252.75	0.034451
253.00	0.032330
253.25	0.034592
253.50	0.032769
253.75	0.030217
254.00	0.032742
254.25	0.029186
254.50	0.033583
254.75	0.033611
255.00	0.036338
255.25	0.033133
255.50	0.031554
255.75	0.036655
256.00	0.031058
256.25	0.032538
256.50	0.036641
256.75	0.033226
257.00	0.034959
257.25	0.033233
257.50	0.033967
257.75	0.035317
258.00	0.037888
258.25	0.035616
258.50	0.042258
258.75	0.036420
259.00	0.037629
259.25	0.037551
259.50	0.044526
259.75	0.037344
260.00	0.037892
260.25	0.038458
260.50	0.041227
260.75	0.042902
261.00	0.040450
261.25	0.047062
261.50	0.043952
261.75	0.040363
262.00	0.046266
262.25	0.039782
262.50	0.040994
262.75	0.039325
263.00	0.047063
263.25	0.043921
263.50	0.046766
263.75	0.048737
264.00	0.047644
264.25	0.045399
264.50	0.049644
264.75	0.046952
265.00	0.042445
265.25	0.046552
265.50	0.047104
265.75	0.045971
266.00	0.042751
266.25	0.049372
266.50	0.047621
266.75	0.049777
267.00	0.053421
267.25	0.050911
267.50	0.053904
267.75	0.048733
268.00	0.054882
268.25	0.045499
268.50	0.047924
268.75	0.049018
269.00	0.045306
269.25	0.048293
269.50	0.047953
269.75	0.049553
270.00	0.048471
270.25	0.047415
270.50	0.050816
270.75	0.045304
271.00	0.047621
271.25	0.049301
271.50	0.050881
271.75	0.051148
272.00	0.049900
272.25	0.048345
272.50	0.045548
272.75	0.050623
273.00	0.055182
273.25	0.046677
273.50	0.050648
273.75	0.053921
274.00	0.048548
274.25	0.049054
274.50	0.052663
274.75	0.054234
275.00	0.046509
275.25	0.053794
275.50	0.055720
275.75	0.053516
276.00	0.051323
276.25	0.047957
276.50	0.052875
276.75	0.052962
277.00	0.051967
277.25	0.053513
277.50	0.052883
277.75	0.052492
278.00	0.053344
278.25	0.061564
278.50	0.055960
278.75	0.052893
279.00	0.060157
279.25	0.061204
