Wavelength (nm)	K15 abs N
220.00	0.12536
220.25	0.12479
220.50	0.12386
220.75	0.12160
221.00	0.12317
221.25	0.12115
221.50	0.11944
221.75	0.11911
222.00	0.11717
222.25	0.11542
222.50	0.11585
222.75	0.11515
223.00	0.11389
223.25	0.11126
223.50	0.10975
223.75	0.10926
224.00	0.10750
224.25	0.10624
224.50	0.10565
224.75	0.10327
225.00	0.10253
225.25	0.099795
225.50	0.099830
225.75	0.097483
226.00	0.096429
226.25	0.094446
226.50	0.093646
226.75	0.091587
227.00	0.091240
227.25	0.089821
227.50	0.090122
227.75	0.085608
228.00	0.085738
228.25	0.083937
228.50	0.083302
228.75	0.081701
229.00	0.079412
229.25	0.077359
229.50	0.075811
229.75	0.075176
230.00	0.073640
230.25	0.073546
230.50	0.071292
230.75	0.069474
231.00	0.067703
231.25	0.068686
231.50	0.066767
231.75	0.064172
232.00	0.062554
232.25	0.063855
232.50	0.060018
232.75	0.059006
233.00	0.057523
233.25	0.056317
233.50	0.054505
233.75	0.055058
234.00	0.052351
234.25	0.052857
234.50	0.050886
234.75	0.049250
235.00	0.047161
235.25	0.045973
235.50	0.046096
235.75	0.043878
236.00	0.043507
236.25	0.042654
236.50	0.040648
236.75	0.039259
237.00	0.040412
237.25	0.039312
237.50	0.036546
237.75	0.036588
238.00	0.035428
238.25	0.034210
238.50	0.033404
238.75	0.033169
239.00	0.032451
239.25	0.032151
239.50	0.031657
239.75	0.029797
240.00	0.031004
240.25	0.028444
240.50	0.028856
240.75	0.028185
241.00	0.028091
241.25	0.026079
241.50	0.026567
241.75	0.026184
242.00	0.026320
242.25	0.024743
242.50	0.025614
242.75	0.025208
243.00	0.024478
243.25	0.023766
243.50	0.022954
243.75	0.022413
244.00	0.022677
244.25	0.021312
244.50	0.021683
244.75	0.022566
245.00	0.020671
245.25	0.020600
245.50	0.019859
245.75	0.019635
246.00	0.020088
246.25	0.019559
246.50	0.019118
246.75	0.018064
247.00	0.018582
247.25	0.017464
247.50	0.018094
247.75	0.018912
248.00	0.018794
248.25	0.018765
248.50	0.018729
248.75	0.018582
249.00	0.016935
249.25	0.016652
249.50	0.017617
249.75	0.016534
250.00	0.016958
250.25	0.015511
250.50	0.014363
250.75	0.015022
251.00	0.014087
251.25	0.014304
251.50	0.014722
251.75	0.014222
252.00	0.013192
252.25	0.013586
252.50	0.012845
252.75	0.011968
253.00	0.012598
253.25	0.013875
253.50	0.013940
253.75	0.013975
254.00	0.014463
254.25	0.013757
254.50	0.012745
254.75	0.013398
255.00	0.013386
255.25	0.014016
255.50	0.012380
255.75	0.011857
256.00	0.010509
256.25	0.010344
256.50	0.0095029
256.75	0.0094382
257.00	0.0096971
257.25	0.0083084
257.50	0.0067962
257.75	0.0068786
258.00	0.0062490
258.25	0.0058018
258.50	0.0051545
258.75	0.0041483
259.00	0.0043660
259.25	0.0042425
259.50	0.0040542
259.75	0.0037835
260.00	0.0039012
260.25	0.0046132
260.50	0.0047485
260.75	0.0043719
261.00	0.0027420
261.25	0.0030362
261.50	0.0024890
261.75	0.0022477
262.00	0.0013592
262.25	0.00087085
262.50	0.0012592
262.75	0.00087085
263.00	0.00044131
263.25	0.00030598
263.50	0.00045896
263.75	0.00049427
264.00	0.00062548
264.25	0.00084732
264.50	0.00081201
264.75	0.00090027
265.00	0.00088262
265.25	0.00088262
265.50	0.00085320
265.75	0.00071787
266.00	0.00030009
266.25	0.00040601
266.50	0.00060371
266.75	0.00060312
267.00	0.00061666
267.25	0.00072375
267.50	0.00030009
267.75	0.00061077
268.00	0.00040601
268.25	0.00055899
268.50	0.00067668
268.75	0.0013416
269.00	0.00076494
269.25	0.0018123
269.50	0.00098854
269.75	0.0012769
270.00	0.0015240
270.25	0.00082966
270.50	0.0010886
270.75	0.0021595
271.00	0.0023654
271.25	0.0020712
271.50	0.0019653
271.75	0.0010827
272.00	0.0017652
272.25	0.0017005
272.50	0.0025773
272.75	0.0018182
273.00	0.0028126
273.25	0.0030833
273.50	0.0028067
273.75	0.0021242
274.00	0.0025243
274.25	0.0024184
274.50	0.0031892
274.75	0.0028362
275.00	0.0032186
275.25	0.0024596
275.50	0.0038070
275.75	0.0038541
276.00	0.0032480
276.25	0.0031833
276.50	0.0030303
276.75	0.0039777
277.00	0.0036423
277.25	0.0039012
277.50	0.0040895
277.75	0.0040365
278.00	0.0043660
278.25	0.0030480
278.50	0.0040895
278.75	0.0039012
279.00	0.0038541
279.25	0.0054016
279.50	0.0041483
279.75	0.0054193
280.00	0.0062490
280.25	0.0046132
280.50	0.0046426
280.75	0.0059077
281.00	0.0057782
281.25	0.0058135
281.50	0.0057900
281.75	0.0061254
282.00	0.0061607
282.25	0.0062843
282.50	0.0059430
282.75	0.0058900
283.00	0.0059253
283.25	0.0060783
283.50	0.0072081
283.75	0.0070433
284.00	0.0072787
284.25	0.0071610
284.50	0.0074023
284.75	0.0071492
285.00	0.0077788
285.25	0.0077671
285.50	0.0075964
285.75	0.0086203
286.00	0.0089615
286.25	0.0076376
286.50	0.0090204
286.75	0.010115
287.00	0.010450
287.25	0.0090086
287.50	0.0096618
287.75	0.0099854
288.00	0.0093793
288.25	0.010062
288.50	0.010909
288.75	0.010662
289.00	0.011209
289.25	0.011145
289.50	0.010574
289.75	0.011915
290.00	0.012280
290.25	0.012510
290.50	0.014081
290.75	0.014310
291.00	0.013116
291.25	0.014446
291.50	0.013698
291.75	0.013316
292.00	0.013969
292.25	0.014816
292.50	0.015705
292.75	0.016693
293.00	0.016752
293.25	0.017093
293.50	0.015975
293.75	0.016652
294.00	0.017429
294.25	0.016599
294.50	0.018341
294.75	0.018965
295.00	0.018294
295.25	0.017558
295.50	0.017953
295.75	0.018970
296.00	0.019465
296.25	0.020824
296.50	0.020977
296.75	0.020877
297.00	0.022430
297.25	0.021336
297.50	0.022148
297.75	0.021765
298.00	0.023019
298.25	0.022760
298.50	0.023590
298.75	0.024713
299.00	0.024084
299.25	0.024796
299.50	0.023996
299.75	0.025102
300.00	0.024755
300.25	0.027096
300.50	0.026226
300.75	0.027726
301.00	0.026302
301.25	0.026826
301.50	0.027667
301.75	0.027873
302.00	0.026708
302.25	0.028362
302.50	0.029026
302.75	0.030274
303.00	0.028850
303.25	0.029815
303.50	0.029485
303.75	0.031015
304.00	0.029880
304.25	0.031833
304.50	0.031657
304.75	0.032163
305.00	0.032622
305.25	0.032628
305.50	0.032645
305.75	0.031639
306.00	0.033440
306.25	0.033428
306.50	0.034246
306.75	0.034481
307.00	0.035246
307.25	0.034922
307.50	0.033528
307.75	0.035734
308.00	0.034969
308.25	0.036794
308.50	0.037005
308.75	0.037229
309.00	0.037435
309.25	0.038323
309.50	0.036947
309.75	0.038135
310.00	0.041407
310.25	0.039006
310.50	0.040671
310.75	0.037576
