Wavelength (nm)	K15 ems
600.00	0.0032092
600.50	0.0029466
601.00	0.0027930
601.50	0.0027992
602.00	0.0030944
602.50	0.0029390
603.00	0.0028104
603.50	0.0030450
604.00	0.0029012
604.50	0.0032969
605.00	0.0030511
605.50	0.0036053
606.00	0.0035794
606.50	0.0032146
607.00	0.0034817
607.50	0.0037365
608.00	0.0038742
608.50	0.0036905
609.00	0.0038364
609.50	0.0042260
610.00	0.0041929
610.50	0.0041236
611.00	0.0040918
611.50	0.0037502
612.00	0.0039876
612.50	0.0040399
613.00	0.0046580
613.50	0.0039953
614.00	0.0042937
614.50	0.0045073
615.00	0.0044261
615.50	0.0045249
616.00	0.0052086
616.50	0.0051166
617.00	0.0050149
617.50	0.0055639
618.00	0.0050230
618.50	0.0057196
619.00	0.0055421
619.50	0.0062489
620.00	0.0070737
620.50	0.0070743
621.00	0.0074361
621.50	0.0075073
622.00	0.0078759
622.50	0.0081434
623.00	0.0081035
623.50	0.0083123
624.00	0.0084873
624.50	0.0093066
625.00	0.010073
625.50	0.010205
626.00	0.010727
626.50	0.010901
627.00	0.011965
627.50	0.012403
628.00	0.013243
628.50	0.013701
629.00	0.015683
629.50	0.015939
630.00	0.017277
630.50	0.017183
631.00	0.019231
631.50	0.021142
632.00	0.022296
632.50	0.022172
633.00	0.025270
633.50	0.026834
634.00	0.029193
634.50	0.030903
635.00	0.032013
635.50	0.035830
636.00	0.037175
636.50	0.040739
637.00	0.043246
637.50	0.047442
638.00	0.049802
638.50	0.053126
639.00	0.057033
639.50	0.061731
640.00	0.067336
640.50	0.069587
641.00	0.075083
641.50	0.083516
642.00	0.085926
642.50	0.092324
643.00	0.096437
643.50	0.10425
644.00	0.11218
644.50	0.12086
645.00	0.12854
645.50	0.13918
646.00	0.14275
646.50	0.15611
647.00	0.16475
647.50	0.17713
648.00	0.18998
648.50	0.19891
649.00	0.20931
649.50	0.22622
650.00	0.24189
650.50	0.25552
651.00	0.26801
651.50	0.28309
652.00	0.30109
652.50	0.31463
653.00	0.33286
653.50	0.35256
654.00	0.36696
654.50	0.38739
655.00	0.40494
655.50	0.42745
656.00	0.44529
656.50	0.45751
657.00	0.48236
657.50	0.50813
658.00	0.52616
658.50	0.54520
659.00	0.56849
659.50	0.59489
660.00	0.61121
660.50	0.63687
661.00	0.65741
661.50	0.67996
662.00	0.69848
662.50	0.71706
663.00	0.73541
663.50	0.75485
664.00	0.77842
664.50	0.79478
665.00	0.81357
665.50	0.83556
666.00	0.84289
666.50	0.86697
667.00	0.88126
667.50	0.88519
668.00	0.91080
668.50	0.91544
669.00	0.93285
669.50	0.95069
670.00	0.95143
670.50	0.96051
671.00	0.97332
671.50	0.97956
672.00	0.98569
672.50	0.98917
673.00	0.98877
673.50	1.00000
674.00	0.99692
674.50	0.99047
675.00	0.99496
675.50	0.98470
676.00	0.97860
676.50	0.97893
677.00	0.98616
677.50	0.96757
678.00	0.95701
678.50	0.94241
679.00	0.94768
679.50	0.92780
680.00	0.92047
680.50	0.89693
681.00	0.88866
681.50	0.87730
682.00	0.87321
682.50	0.85009
683.00	0.83973
683.50	0.82609
684.00	0.79872
684.50	0.79120
685.00	0.77030
685.50	0.75568
686.00	0.74119
686.50	0.72878
687.00	0.71666
687.50	0.69304
688.00	0.68109
688.50	0.65841
689.00	0.64924
689.50	0.62786
690.00	0.61432
690.50	0.60310
691.00	0.59529
691.50	0.57160
692.00	0.56495
692.50	0.54660
693.00	0.53233
693.50	0.52118
694.00	0.51570
694.50	0.49428
695.00	0.48283
695.50	0.46651
696.00	0.45908
696.50	0.44663
697.00	0.43828
697.50	0.42024
698.00	0.41118
698.50	0.40074
699.00	0.39001
699.50	0.38197
700.00	0.37552
700.50	0.36041
701.00	0.35834
701.50	0.34181
702.00	0.34316
702.50	0.33174
703.00	0.32373
703.50	0.31455
704.00	0.31570
704.50	0.30410
705.00	0.29923
705.50	0.29088
706.00	0.28767
706.50	0.28098
707.00	0.27487
707.50	0.27079
708.00	0.26552
708.50	0.25560
709.00	0.25669
709.50	0.25656
710.00	0.25140
710.50	0.24364
711.00	0.24450
711.50	0.23876
712.00	0.24030
712.50	0.23021
713.00	0.23293
713.50	0.22620
714.00	0.22977
714.50	0.22486
715.00	0.22065
715.50	0.21792
716.00	0.21477
716.50	0.21729
717.00	0.21759
717.50	0.21315
718.00	0.20967
718.50	0.20657
719.00	0.21029
719.50	0.20704
720.00	0.20232
720.50	0.20128
721.00	0.20079
721.50	0.19591
722.00	0.19770
722.50	0.19720
723.00	0.19599
723.50	0.19030
724.00	0.19130
724.50	0.18944
725.00	0.19256
725.50	0.19084
726.00	0.19056
726.50	0.19144
727.00	0.18793
727.50	0.18509
728.00	0.18768
728.50	0.18834
729.00	0.18762
729.50	0.17794
730.00	0.18556
730.50	0.18507
731.00	0.18213
731.50	0.17996
732.00	0.18113
732.50	0.17871
733.00	0.17636
733.50	0.17656
734.00	0.17596
734.50	0.17487
735.00	0.17309
735.50	0.17541
736.00	0.16955
736.50	0.16758
737.00	0.17292
737.50	0.17012
738.00	0.16989
738.50	0.16778
739.00	0.16724
739.50	0.16394
740.00	0.16293
740.50	0.15923
741.00	0.15860
741.50	0.15677
742.00	0.15099
742.50	0.15788
743.00	0.15377
743.50	0.14841
