Wavelength (nm)	K16 abs N
220.00	0.18755
220.25	0.18817
220.50	0.18654
220.75	0.18448
221.00	0.18357
221.25	0.18365
221.50	0.18161
221.75	0.18146
222.00	0.18096
222.25	0.17821
222.50	0.17919
222.75	0.17624
223.00	0.17403
223.25	0.17141
223.50	0.16955
223.75	0.16664
224.00	0.16494
224.25	0.16493
224.50	0.16213
224.75	0.15985
225.00	0.15663
225.25	0.15329
225.50	0.15130
225.75	0.14667
226.00	0.14403
226.25	0.14234
226.50	0.13993
226.75	0.13689
227.00	0.13445
227.25	0.13142
227.50	0.12783
227.75	0.12720
228.00	0.12311
228.25	0.12073
228.50	0.11908
228.75	0.11654
229.00	0.11412
229.25	0.11216
229.50	0.10816
229.75	0.10670
230.00	0.10622
230.25	0.10385
230.50	0.10168
230.75	0.099292
231.00	0.096377
231.25	0.093643
231.50	0.093108
231.75	0.090694
232.00	0.088836
232.25	0.088214
232.50	0.085239
232.75	0.083928
233.00	0.081815
233.25	0.081187
233.50	0.079088
233.75	0.078305
234.00	0.075397
234.25	0.075183
234.50	0.073251
234.75	0.070663
235.00	0.071405
235.25	0.068631
235.50	0.065956
235.75	0.065528
236.00	0.063402
236.25	0.063483
236.50	0.063717
236.75	0.061764
237.00	0.059658
237.25	0.060481
237.50	0.058214
237.75	0.058355
238.00	0.057592
238.25	0.057586
238.50	0.055540
238.75	0.054082
239.00	0.053888
239.25	0.051883
239.50	0.051615
239.75	0.051167
240.00	0.049389
240.25	0.051007
240.50	0.050492
240.75	0.049663
241.00	0.049944
241.25	0.048787
241.50	0.046694
241.75	0.047202
242.00	0.047029
242.25	0.044735
242.50	0.045324
242.75	0.045290
243.00	0.043425
243.25	0.043258
243.50	0.044194
243.75	0.042435
244.00	0.041633
244.25	0.041372
244.50	0.041519
244.75	0.040483
245.00	0.040490
245.25	0.039233
245.50	0.038985
245.75	0.039273
246.00	0.038029
246.25	0.039988
246.50	0.037983
246.75	0.038638
247.00	0.038330
247.25	0.036826
247.50	0.035422
247.75	0.036004
248.00	0.034760
248.25	0.034620
248.50	0.035596
248.75	0.034111
249.00	0.035302
249.25	0.034713
249.50	0.033550
249.75	0.033028
250.00	0.032179
250.25	0.032788
250.50	0.032320
250.75	0.032768
251.00	0.030735
251.25	0.030929
251.50	0.031029
251.75	0.030173
252.00	0.030214
252.25	0.029685
252.50	0.030474
252.75	0.028950
253.00	0.027332
253.25	0.027874
253.50	0.026864
253.75	0.026503
254.00	0.026717
254.25	0.026824
254.50	0.027205
254.75	0.026035
255.00	0.027212
255.25	0.025533
255.50	0.024952
255.75	0.024571
256.00	0.024317
256.25	0.025380
256.50	0.024297
256.75	0.024343
257.00	0.023608
257.25	0.023060
257.50	0.024123
257.75	0.024143
258.00	0.023427
258.25	0.024236
258.50	0.023274
258.75	0.022899
259.00	0.023300
259.25	0.022391
259.50	0.022124
259.75	0.021234
260.00	0.023013
260.25	0.022264
260.50	0.024036
260.75	0.022886
261.00	0.022117
261.25	0.022592
261.50	0.021395
261.75	0.022665
262.00	0.022110
262.25	0.021636
262.50	0.021488
262.75	0.021315
263.00	0.022371
263.25	0.021776
263.50	0.019884
263.75	0.021268
264.00	0.021408
264.25	0.021863
264.50	0.020766
264.75	0.021301
265.00	0.020927
265.25	0.018995
265.50	0.019550
265.75	0.019870
266.00	0.020807
266.25	0.020125
266.50	0.021288
266.75	0.020539
267.00	0.019937
267.25	0.020024
267.50	0.021435
267.75	0.019844
268.00	0.019743
268.25	0.019784
268.50	0.019730
268.75	0.019530
269.00	0.020071
269.25	0.019636
269.50	0.019456
269.75	0.019463
270.00	0.019028
270.25	0.019382
270.50	0.020265
270.75	0.017851
271.00	0.017851
271.25	0.018259
271.50	0.018801
271.75	0.019316
272.00	0.019864
272.25	0.019790
272.50	0.017724
272.75	0.018393
273.00	0.017524
273.25	0.017450
273.50	0.016775
273.75	0.018065
274.00	0.017617
274.25	0.017764
274.50	0.016975
274.75	0.015953
275.00	0.018306
275.25	0.017383
275.50	0.016969
275.75	0.018139
276.00	0.016869
276.25	0.017851
276.50	0.016755
276.75	0.016100
277.00	0.015919
277.25	0.016394
277.50	0.017357
277.75	0.016487
278.00	0.018099
278.25	0.017510
278.50	0.017357
278.75	0.016080
279.00	0.017103
279.25	0.016414
279.50	0.016641
279.75	0.016574
280.00	0.016060
280.25	0.016741
280.50	0.017591
280.75	0.017156
281.00	0.017069
281.25	0.017591
281.50	0.017477
281.75	0.016862
282.00	0.017290
282.25	0.017350
282.50	0.017103
282.75	0.016521
283.00	0.016407
283.25	0.017470
283.50	0.016855
283.75	0.018507
284.00	0.018172
284.25	0.017423
284.50	0.016407
284.75	0.019088
285.00	0.018059
285.25	0.017544
285.50	0.018146
285.75	0.018707
286.00	0.018881
286.25	0.017731
286.50	0.018226
286.75	0.018112
287.00	0.018466
287.25	0.019296
287.50	0.019697
287.75	0.020191
288.00	0.019369
288.25	0.019844
288.50	0.020633
288.75	0.019516
289.00	0.020158
289.25	0.020078
289.50	0.019322
289.75	0.020345
290.00	0.020773
290.25	0.019757
290.50	0.021642
290.75	0.021094
291.00	0.021990
291.25	0.022625
291.50	0.021896
291.75	0.022411
292.00	0.022692
292.25	0.022926
292.50	0.021676
292.75	0.021575
293.00	0.022204
293.25	0.022237
293.50	0.023401
293.75	0.023595
294.00	0.023829
294.25	0.024297
294.50	0.025426
294.75	0.024918
295.00	0.023842
295.25	0.024504
295.50	0.024190
295.75	0.024256
