Wavelength (nm)	K17 ems 
540.00	0.013739
540.50	0.014844
541.00	0.016409
541.50	0.017423
542.00	0.018814
542.50	0.020361
543.00	0.022536
543.50	0.023872
544.00	0.025839
544.50	0.027997
545.00	0.030663
545.50	0.032563
546.00	0.035907
546.50	0.038611
547.00	0.041958
547.50	0.044903
548.00	0.049209
548.50	0.053119
549.00	0.058165
549.50	0.061728
550.00	0.067466
550.50	0.072770
551.00	0.079313
551.50	0.085298
552.00	0.092448
552.50	0.10155
553.00	0.10921
553.50	0.11707
554.00	0.12706
554.50	0.13847
555.00	0.14952
555.50	0.15859
556.00	0.17232
556.50	0.18597
557.00	0.20041
557.50	0.21327
558.00	0.22785
558.50	0.24376
559.00	0.26089
559.50	0.27617
560.00	0.29457
560.50	0.31408
561.00	0.33499
561.50	0.35120
562.00	0.37155
562.50	0.39362
563.00	0.41691
563.50	0.43761
564.00	0.45988
564.50	0.48576
565.00	0.50855
565.50	0.53283
566.00	0.55424
566.50	0.58118
567.00	0.60662
567.50	0.62922
568.00	0.65295
568.50	0.67828
569.00	0.70177
569.50	0.72478
570.00	0.74874
570.50	0.77145
571.00	0.79484
571.50	0.81536
572.00	0.83646
572.50	0.85882
573.00	0.87658
573.50	0.89395
574.00	0.90830
574.50	0.92568
575.00	0.94071
575.50	0.95100
576.00	0.96330
576.50	0.97424
577.00	0.98091
577.50	0.98869
578.00	0.99530
578.50	0.99851
579.00	1.00000
579.50	0.99965
580.00	0.99980
580.50	0.99471
581.00	0.99246
581.50	0.98858
582.00	0.98449
582.50	0.97253
583.00	0.96689
583.50	0.95814
584.00	0.94692
584.50	0.93702
585.00	0.92363
585.50	0.91178
586.00	0.89811
586.50	0.88473
587.00	0.86810
587.50	0.85361
588.00	0.84035
588.50	0.82353
589.00	0.80561
589.50	0.79181
590.00	0.77458
590.50	0.75810
591.00	0.74205
591.50	0.72728
592.00	0.71070
592.50	0.69698
593.00	0.67819
593.50	0.66738
594.00	0.65020
594.50	0.63527
595.00	0.61937
595.50	0.60906
596.00	0.59277
596.50	0.58061
597.00	0.56720
597.50	0.55564
598.00	0.54259
598.50	0.53173
599.00	0.51833
599.50	0.50985
600.00	0.49955
600.50	0.48495
601.00	0.47588
601.50	0.47015
602.00	0.45919
602.50	0.45233
603.00	0.44165
603.50	0.43399
604.00	0.42628
604.50	0.42100
605.00	0.41381
605.50	0.40886
606.00	0.40388
606.50	0.39666
607.00	0.39094
607.50	0.38831
608.00	0.38334
608.50	0.37806
609.00	0.37455
609.50	0.36899
610.00	0.36653
610.50	0.36160
611.00	0.35725
611.50	0.35547
612.00	0.35069
612.50	0.34724
613.00	0.34266
613.50	0.34128
614.00	0.33672
614.50	0.33192
615.00	0.33007
615.50	0.32638
616.00	0.32349
616.50	0.32172
617.00	0.31813
617.50	0.31483
618.00	0.31292
618.50	0.30752
619.00	0.30512
619.50	0.30152
620.00	0.29927
620.50	0.29514
621.00	0.29286
621.50	0.28944
622.00	0.28645
622.50	0.28250
623.00	0.27899
623.50	0.27543
624.00	0.27261
624.50	0.26818
625.00	0.26460
625.50	0.26160
626.00	0.25582
626.50	0.25117
627.00	0.24643
627.50	0.24173
628.00	0.23875
628.50	0.23406
629.00	0.22903
629.50	0.22730
630.00	0.22230
630.50	0.21766
631.00	0.21392
631.50	0.21116
632.00	0.20779
632.50	0.20294
633.00	0.19775
633.50	0.19531
634.00	0.19176
634.50	0.18864
635.00	0.18424
635.50	0.18156
636.00	0.17719
636.50	0.17241
637.00	0.16899
637.50	0.16532
638.00	0.16253
638.50	0.15789
639.00	0.15536
639.50	0.15213
640.00	0.14820
640.50	0.14591
641.00	0.14242
641.50	0.14006
642.00	0.13670
642.50	0.13376
643.00	0.13002
643.50	0.12859
644.00	0.12576
644.50	0.12248
645.00	0.11927
645.50	0.11785
646.00	0.11463
646.50	0.11314
647.00	0.11030
647.50	0.10847
648.00	0.10559
648.50	0.10288
649.00	0.10013
649.50	0.099013
650.00	0.096907
650.50	0.094511
651.00	0.093450
651.50	0.091340
652.00	0.089462
652.50	0.087536
653.00	0.085873
653.50	0.083997
654.00	0.081820
654.50	0.080497
655.00	0.078931
655.50	0.077544
656.00	0.076159
656.50	0.074513
657.00	0.073813
657.50	0.072666
658.00	0.071066
658.50	0.070022
659.00	0.068076
659.50	0.067617
660.00	0.065693
660.50	0.065028
661.00	0.063127
661.50	0.062715
662.00	0.062302
662.50	0.060098
663.00	0.059644
663.50	0.058912
664.00	0.057458
664.50	0.056304
665.00	0.055796
665.50	0.054899
666.00	0.054101
666.50	0.053477
667.00	0.052510
667.50	0.051791
668.00	0.050775
668.50	0.049955
669.00	0.049681
669.50	0.048461
670.00	0.048533
670.50	0.047426
671.00	0.046369
671.50	0.045627
672.00	0.045244
672.50	0.044972
673.00	0.043295
673.50	0.043443
674.00	0.041981
674.50	0.041804
675.00	0.040334
675.50	0.040324
676.00	0.039958
676.50	0.039165
677.00	0.038654
677.50	0.037358
678.00	0.037057
678.50	0.036014
679.00	0.036147
679.50	0.035614
680.00	0.035152
680.50	0.034493
681.00	0.034124
681.50	0.033205
682.00	0.033042
682.50	0.032402
683.00	0.031819
683.50	0.031081
684.00	0.030363
684.50	0.030076
685.00	0.029507
685.50	0.029361
686.00	0.028449
686.50	0.028263
687.00	0.028205
687.50	0.027741
688.00	0.027848
688.50	0.026303
689.00	0.027201
689.50	0.025751
690.00	0.025521
690.50	0.025044
691.00	0.024928
691.50	0.024400
692.00	0.023626
692.50	0.023795
693.00	0.022510
693.50	0.022727
694.00	0.021818
694.50	0.021972
695.00	0.021999
695.50	0.021048
696.00	0.020845
696.50	0.020363
697.00	0.020054
697.50	0.019526
698.00	0.019627
698.50	0.018862
699.00	0.019068
699.50	0.018971
700.00	0.018280
700.50	0.017792
701.00	0.017190
701.50	0.017288
702.00	0.017122
702.50	0.016563
703.00	0.016200
703.50	0.015983
704.00	0.016545
704.50	0.015513
705.00	0.015167
705.50	0.015371
706.00	0.014818
706.50	0.014496
707.00	0.014096
707.50	0.014174
708.00	0.013987
708.50	0.013701
709.00	0.013571
709.50	0.013158
710.00	0.013154
710.50	0.012989
711.00	0.012811
711.50	0.012545
712.00	0.012325
712.50	0.012115
713.00	0.011680
713.50	0.011718
714.00	0.011898
714.50	0.011356
715.00	0.011223
715.50	0.011340
716.00	0.010784
716.50	0.010288
717.00	0.010617
717.50	0.010244
718.00	0.010593
718.50	0.010018
719.00	0.0097549
719.50	0.010543
720.00	0.0097704
720.50	0.0095499
721.00	0.0089667
721.50	0.0091968
722.00	0.0092552
722.50	0.0087956
723.00	0.0085838
723.50	0.0087513
724.00	0.0083720
724.50	0.0081230
725.00	0.0081718
725.50	0.0080962
726.00	0.0079943
726.50	0.0080093
727.00	0.0080155
727.50	0.0077126
728.00	0.0073250
728.50	0.0071554
729.00	0.0072465
729.50	0.0073509
730.00	0.0070855
730.50	0.0069093
731.00	0.0067388
731.50	0.0068777
732.00	0.0066368
732.50	0.0068470
733.00	0.0067855
733.50	0.0066592
734.00	0.0059526
734.50	0.0063723
735.00	0.0064557
735.50	0.0064640
736.00	0.0064625
736.50	0.0060893
737.00	0.0056873
737.50	0.0057937
738.00	0.0060493
738.50	0.0057249
739.00	0.0060115
739.50	0.0052434
740.00	0.0050590
740.50	0.0056278
741.00	0.0054488
741.50	0.0054020
742.00	0.0049724
742.50	0.0049517
743.00	0.0047779
743.50	0.0051642
744.00	0.0048603
744.50	0.0044955
745.00	0.0049277
745.50	0.0046583
746.00	0.0048120
746.50	0.0047446
747.00	0.0046389
747.50	0.0045424
748.00	0.0049779
748.50	0.0046052
749.00	0.0044841
749.50	0.0040325
750.00	0.0044298
