Wavelength (nm)	K18 abs N	K18 abs e
220.00	0.21753	9136.1
221.00	0.21081	8854.0
222.00	0.20504	8611.8
223.00	0.19994	8397.5
224.00	0.19531	8203.0
225.00	0.19098	8021.1
226.00	0.18677	7844.2
227.00	0.18253	7666.1
228.00	0.17856	7499.7
229.00	0.17483	7342.7
230.00	0.17146	7201.4
231.00	0.16841	7073.1
232.00	0.16552	6951.8
233.00	0.16292	6842.7
234.00	0.16070	6749.4
235.00	0.15865	6663.3
236.00	0.15665	6579.5
237.00	0.15461	6493.7
238.00	0.15238	6399.8
239.00	0.14985	6293.9
240.00	0.14727	6185.4
241.00	0.14476	6080.1
242.00	0.14233	5978.0
243.00	0.14013	5885.3
244.00	0.13792	5792.6
245.00	0.13568	5698.7
246.00	0.13348	5606.0
247.00	0.13122	5511.4
248.00	0.12941	5435.1
249.00	0.12811	5380.6
250.00	0.12767	5362.3
251.00	0.12806	5378.7
252.00	0.12960	5443.0
253.00	0.13177	5534.4
254.00	0.13501	5670.6
255.00	0.13913	5843.4
256.00	0.14407	6051.1
257.00	0.14968	6286.6
258.00	0.15577	6542.3
259.00	0.16223	6813.7
260.00	0.16893	7095.2
261.00	0.17578	7382.7
262.00	0.18277	7676.2
263.00	0.18969	7966.9
264.00	0.19648	8252.2
265.00	0.20312	8531.1
266.00	0.20963	8804.5
267.00	0.21606	9074.6
268.00	0.22223	9333.8
269.00	0.22800	9575.9
270.00	0.23302	9786.8
271.00	0.23749	9974.6
272.00	0.24109	10126
273.00	0.24383	10241
274.00	0.24605	10334
275.00	0.24757	10398
276.00	0.24877	10448
277.00	0.25002	10501
278.00	0.25126	10553
279.00	0.25286	10620
280.00	0.25432	10681
281.00	0.25616	10759
282.00	0.25813	10842
283.00	0.26032	10934
284.00	0.26226	11015
285.00	0.26421	11097
286.00	0.26532	11144
287.00	0.26594	11169
288.00	0.26647	11192
289.00	0.26618	11180
290.00	0.26527	11141
291.00	0.26404	11090
292.00	0.26219	11012
293.00	0.26001	10920
294.00	0.25777	10826
295.00	0.25530	10722
296.00	0.25277	10616
297.00	0.25018	10507
298.00	0.24745	10393
299.00	0.24464	10275
300.00	0.24166	10150
301.00	0.23859	10021
302.00	0.23481	9862.1
303.00	0.23094	9699.4
304.00	0.22705	9536.1
305.00	0.22281	9358.0
306.00	0.21825	9166.4
307.00	0.21383	8980.7
308.00	0.20958	8802.6
309.00	0.20591	8648.4
310.00	0.20274	8515.1
