Wavelength (nm)	K18 ems
500.00	0.0010398
500.50	0.0011093
501.00	0.0011245
501.50	0.0011529
502.00	0.0011844
502.50	0.0012033
503.00	0.0012768
503.50	0.0013339
504.00	0.0013008
504.50	0.0013349
505.00	0.0014039
505.50	0.0014434
506.00	0.0014841
506.50	0.0015089
507.00	0.0014913
507.50	0.0016026
508.00	0.0016485
508.50	0.0017792
509.00	0.0017913
509.50	0.0018632
510.00	0.0019907
510.50	0.0020594
511.00	0.0021938
511.50	0.0022469
512.00	0.0024731
512.50	0.0025981
513.00	0.0026238
513.50	0.0027906
514.00	0.0028789
514.50	0.0031094
515.00	0.0032666
515.50	0.0033411
516.00	0.0035939
516.50	0.0038176
517.00	0.0039883
517.50	0.0041298
518.00	0.0044514
518.50	0.0047509
519.00	0.0048109
519.50	0.0051716
520.00	0.0053886
520.50	0.0057978
521.00	0.0059245
521.50	0.0064459
522.00	0.0065864
522.50	0.0071223
523.00	0.0073939
523.50	0.0078930
524.00	0.0081111
524.50	0.0086687
525.00	0.0090916
525.50	0.0097097
526.00	0.010086
526.50	0.010761
527.00	0.011178
527.50	0.012089
528.00	0.012315
528.50	0.012984
529.00	0.013934
529.50	0.014645
530.00	0.015181
530.50	0.016204
531.00	0.017004
531.50	0.018030
532.00	0.018493
532.50	0.019525
533.00	0.020515
533.50	0.021715
534.00	0.022436
534.50	0.023555
535.00	0.024360
535.50	0.025812
536.00	0.026867
536.50	0.028221
537.00	0.029076
537.50	0.031049
538.00	0.031834
538.50	0.033309
539.00	0.034915
539.50	0.036693
540.00	0.037460
540.50	0.039816
541.00	0.041202
541.50	0.043030
542.00	0.044513
542.50	0.046451
543.00	0.048557
543.50	0.050370
544.00	0.052230
544.50	0.054563
545.00	0.056088
545.50	0.059391
546.00	0.060946
546.50	0.063137
547.00	0.065874
547.50	0.069171
548.00	0.071010
548.50	0.074147
549.00	0.076303
549.50	0.080151
550.00	0.082216
550.50	0.085354
551.00	0.088773
551.50	0.092657
552.00	0.095954
552.50	0.099311
553.00	0.10252
553.50	0.10732
554.00	0.11030
554.50	0.11438
555.00	0.11856
555.50	0.12352
556.00	0.12641
556.50	0.13057
557.00	0.13439
557.50	0.13986
558.00	0.14283
558.50	0.14819
559.00	0.15220
559.50	0.15841
560.00	0.16134
560.50	0.16668
561.00	0.17095
561.50	0.17779
562.00	0.18123
562.50	0.18684
563.00	0.19191
563.50	0.19858
564.00	0.20253
564.50	0.20837
565.00	0.21361
565.50	0.22145
566.00	0.22572
566.50	0.23219
567.00	0.23676
567.50	0.24480
568.00	0.25070
568.50	0.25645
569.00	0.26245
569.50	0.27091
570.00	0.27604
570.50	0.28337
571.00	0.28917
571.50	0.29765
572.00	0.30294
572.50	0.31025
573.00	0.31792
573.50	0.32645
574.00	0.33284
574.50	0.34007
575.00	0.34870
575.50	0.35697
576.00	0.36316
576.50	0.37283
577.00	0.38012
577.50	0.38789
578.00	0.39643
578.50	0.40486
