Wavelength (nm)	K19 abs N
219.75	0.52369
220.00	0.52891
220.25	0.53995
220.50	0.54901
220.75	0.55075
221.00	0.55880
221.25	0.56796
221.50	0.57176
221.75	0.58034
222.00	0.58538
222.25	0.59064
222.50	0.59689
222.75	0.60599
223.00	0.60723
223.25	0.61335
223.50	0.62051
223.75	0.62502
224.00	0.63289
224.25	0.63539
224.50	0.64496
224.75	0.64852
225.00	0.65465
225.25	0.66098
225.50	0.66376
225.75	0.66945
226.00	0.67507
226.25	0.67738
226.50	0.68376
226.75	0.68842
227.00	0.69352
227.25	0.69952
227.50	0.70212
227.75	0.70455
228.00	0.71133
228.25	0.71212
228.50	0.71671
228.75	0.71790
229.00	0.71936
229.25	0.71950
229.50	0.72317
229.75	0.72091
230.00	0.72286
230.25	0.72583
230.50	0.72754
230.75	0.72166
231.00	0.72008
231.25	0.71938
231.50	0.71446
231.75	0.71087
232.00	0.70423
232.25	0.70247
232.50	0.69383
232.75	0.68774
233.00	0.67922
233.25	0.67053
233.50	0.66476
233.75	0.65134
234.00	0.64337
234.25	0.63301
234.50	0.62272
234.75	0.60756
235.00	0.59254
235.25	0.57674
235.50	0.56048
235.75	0.54435
236.00	0.52977
236.25	0.51594
236.50	0.50247
236.75	0.48962
237.00	0.47652
237.25	0.46407
237.50	0.44769
237.75	0.43707
238.00	0.42365
238.25	0.41086
238.50	0.39596
238.75	0.38257
239.00	0.37112
239.25	0.35900
239.50	0.34833
239.75	0.33466
240.00	0.32484
240.25	0.31343
240.50	0.30066
240.75	0.29060
241.00	0.28071
241.25	0.26992
241.50	0.25926
241.75	0.25179
242.00	0.24239
242.25	0.23174
242.50	0.22481
242.75	0.21723
243.00	0.20995
243.25	0.20253
243.50	0.19510
243.75	0.19082
244.00	0.18442
244.25	0.17844
244.50	0.17351
244.75	0.16987
245.00	0.16428
245.25	0.16034
245.50	0.15703
245.75	0.15236
246.00	0.14899
246.25	0.14650
246.50	0.14256
246.75	0.14154
247.00	0.13757
247.25	0.13727
247.50	0.13294
247.75	0.13169
248.00	0.13009
248.25	0.12788
248.50	0.12617
248.75	0.12612
249.00	0.12442
249.25	0.12326
249.50	0.12331
249.75	0.12200
250.00	0.12167
250.25	0.11989
250.50	0.11878
250.75	0.11967
251.00	0.11973
251.25	0.11839
251.50	0.11669
251.75	0.11750
252.00	0.11674
252.25	0.11797
252.50	0.11648
252.75	0.11704
253.00	0.11774
253.25	0.11705
253.50	0.11833
253.75	0.11674
254.00	0.11729
254.25	0.11907
254.50	0.11789
254.75	0.11804
255.00	0.11937
255.25	0.11973
255.50	0.12005
255.75	0.12026
256.00	0.12191
256.25	0.12207
256.50	0.12148
256.75	0.12238
257.00	0.12392
257.25	0.12343
257.50	0.12434
257.75	0.12586
258.00	0.12674
258.25	0.12690
258.50	0.12754
258.75	0.12924
259.00	0.12954
259.25	0.13078
259.50	0.13249
259.75	0.13330
260.00	0.13338
260.25	0.13550
260.50	0.13729
260.75	0.13779
261.00	0.13921
261.25	0.14151
261.50	0.14172
261.75	0.14319
262.00	0.14264
262.25	0.14477
262.50	0.14631
262.75	0.14588
263.00	0.14800
263.25	0.14795
263.50	0.14991
263.75	0.15072
264.00	0.15007
264.25	0.15131
264.50	0.15369
264.75	0.15359
265.00	0.15499
265.25	0.15586
265.50	0.15484
265.75	0.15526
266.00	0.15540
266.25	0.15657
266.50	0.15557
266.75	0.15740
267.00	0.15816
267.25	0.15805
