Wavelength (nm)	K19 ems
550.00	0.025498
550.50	0.030268
551.00	0.025103
551.50	0.030141
552.00	0.028480
552.50	0.032024
553.00	0.034999
553.50	0.036919
554.00	0.041971
554.50	0.034782
555.00	0.047590
555.50	0.042683
556.00	0.044554
556.50	0.044360
557.00	0.050666
557.50	0.051354
558.00	0.054147
558.50	0.052865
559.00	0.054312
559.50	0.058394
560.00	0.057234
560.50	0.060845
561.00	0.058918
561.50	0.062812
562.00	0.076539
562.50	0.076432
563.00	0.081582
563.50	0.080587
564.00	0.085009
564.50	0.086608
565.00	0.092380
565.50	0.097961
566.00	0.10843
566.50	0.11332
567.00	0.10940
567.50	0.11498
568.00	0.12687
568.50	0.12200
569.00	0.13144
569.50	0.12682
570.00	0.14391
570.50	0.15020
571.00	0.15421
571.50	0.14772
572.00	0.16837
572.50	0.17331
573.00	0.18134
573.50	0.17998
574.00	0.18766
574.50	0.19177
575.00	0.19266
575.50	0.21335
576.00	0.21280
576.50	0.21665
577.00	0.23209
577.50	0.23417
578.00	0.24245
578.50	0.26685
579.00	0.25861
579.50	0.26123
580.00	0.27601
580.50	0.27035
581.00	0.28913
581.50	0.29841
582.00	0.31505
582.50	0.31927
583.00	0.32157
583.50	0.34568
584.00	0.36514
584.50	0.38641
585.00	0.40981
585.50	0.41059
586.00	0.40753
586.50	0.44014
587.00	0.45754
587.50	0.44869
588.00	0.47151
588.50	0.45576
589.00	0.49662
589.50	0.48128
590.00	0.49646
590.50	0.50940
591.00	0.53310
591.50	0.55985
592.00	0.56305
592.50	0.60233
593.00	0.59000
593.50	0.59817
594.00	0.65529
594.50	0.65278
595.00	0.65237
595.50	0.65377
596.00	0.66906
596.50	0.69079
597.00	0.72970
597.50	0.74275
598.00	0.76700
598.50	0.74239
599.00	0.77883
599.50	0.77038
600.00	0.82241
600.50	0.77287
601.00	0.84220
601.50	0.83369
602.00	0.84966
602.50	0.86311
603.00	0.86591
603.50	0.91132
604.00	0.89991
604.50	0.88692
605.00	0.91340
605.50	0.90824
606.00	0.94028
606.50	0.96314
607.00	0.92198
607.50	0.93477
608.00	0.96611
608.50	0.98045
609.00	0.92346
609.50	0.97287
610.00	0.97659
610.50	1.0000
611.00	0.93817
611.50	0.98371
612.00	0.98160
612.50	0.95061
613.00	0.95927
613.50	0.94903
614.00	0.91879
614.50	0.95727
615.00	0.97289
615.50	0.94950
616.00	0.94624
616.50	0.92330
617.00	0.93089
617.50	0.92012
618.00	0.89315
618.50	0.88254
619.00	0.89897
619.50	0.88461
620.00	0.87066
620.50	0.88510
621.00	0.83015
621.50	0.86171
622.00	0.83417
622.50	0.85820
623.00	0.84541
623.50	0.81447
624.00	0.83172
624.50	0.78978
625.00	0.79184
625.50	0.78676
626.00	0.78520
626.50	0.77089
627.00	0.78181
627.50	0.75082
628.00	0.71045
628.50	0.75996
629.00	0.71685
629.50	0.72242
630.00	0.70921
630.50	0.69773
631.00	0.69460
631.50	0.70339
632.00	0.66403
632.50	0.66106
633.00	0.65355
633.50	0.64692
634.00	0.63241
634.50	0.64220
635.00	0.63379
635.50	0.63393
636.00	0.62690
636.50	0.63185
637.00	0.61803
637.50	0.61597
638.00	0.61959
638.50	0.63390
639.00	0.64803
639.50	0.63785
