Wavelength (nm)	L06 abs N
200.00	0.49630
201.00	0.55023
202.00	0.56209
203.00	0.56112
204.00	0.55489
205.00	0.54685
206.00	0.53870
207.00	0.52959
208.00	0.51781
209.00	0.50463
210.00	0.48880
211.00	0.47024
212.00	0.44844
213.00	0.42278
214.00	0.39403
215.00	0.36346
216.00	0.33214
217.00	0.30269
218.00	0.27517
219.00	0.25083
220.00	0.22919
221.00	0.21070
222.00	0.19468
223.00	0.18160
224.00	0.17052
225.00	0.16134
226.00	0.15392
227.00	0.14754
228.00	0.14227
229.00	0.13783
230.00	0.13412
231.00	0.13110
232.00	0.12859
233.00	0.12652
234.00	0.12488
235.00	0.12349
236.00	0.12242
237.00	0.12188
238.00	0.12180
239.00	0.12203
240.00	0.12252
241.00	0.12334
242.00	0.12416
243.00	0.12513
244.00	0.12629
245.00	0.12740
246.00	0.12843
247.00	0.12935
248.00	0.13022
249.00	0.13091
250.00	0.13149
251.00	0.13174
252.00	0.13183
253.00	0.13156
254.00	0.13085
255.00	0.12996
256.00	0.12874
257.00	0.12705
258.00	0.12478
259.00	0.12205
260.00	0.11873
261.00	0.11531
262.00	0.11181
263.00	0.10836
264.00	0.10495
265.00	0.10200
266.00	0.099308
267.00	0.097359
268.00	0.095978
269.00	0.094492
270.00	0.093320
271.00	0.092709
272.00	0.092512
273.00	0.092635
274.00	0.092772
275.00	0.093192
276.00	0.093830
277.00	0.094769
278.00	0.096278
279.00	0.097835
280.00	0.099745
281.00	0.10185
282.00	0.10436
283.00	0.10735
284.00	0.11035
285.00	0.11393
286.00	0.11778
287.00	0.12204
288.00	0.12701
289.00	0.13207
290.00	0.13753
291.00	0.14365
292.00	0.15003
293.00	0.15691
294.00	0.16417
295.00	0.17177
296.00	0.17984
297.00	0.18811
298.00	0.19699
299.00	0.20561
300.00	0.21441
301.00	0.22348
302.00	0.23193
303.00	0.24052
304.00	0.24802
305.00	0.25547
306.00	0.26267
307.00	0.26927
308.00	0.27472
309.00	0.27967
310.00	0.28409
311.00	0.28761
312.00	0.29030
313.00	0.29176
314.00	0.29123
315.00	0.28831
316.00	0.28207
317.00	0.27321
318.00	0.26082
319.00	0.24553
320.00	0.22791
321.00	0.20944
322.00	0.19042
323.00	0.17142
324.00	0.15413
325.00	0.13780
326.00	0.12314
327.00	0.11027
328.00	0.098359
329.00	0.088382
330.00	0.079363
331.00	0.071468
332.00	0.064408
333.00	0.058546
334.00	0.053048
335.00	0.048321
336.00	0.044092
337.00	0.040189
338.00	0.036729
339.00	0.033987
340.00	0.031419
341.00	0.029018
342.00	0.027085
343.00	0.025411
344.00	0.024328
345.00	0.023045
346.00	0.022310
347.00	0.022032
348.00	0.021864
349.00	0.021665
350.00	0.021522
351.00	0.021744
352.00	0.022365
353.00	0.022658
354.00	0.023348
355.00	0.024051
356.00	0.024607
357.00	0.025353
358.00	0.026110
359.00	0.027101
360.00	0.028007
361.00	0.028925
362.00	0.029909
363.00	0.030946
364.00	0.032215
365.00	0.033852
366.00	0.035103
367.00	0.036800
368.00	0.038389
369.00	0.040066
370.00	0.041544
371.00	0.043490
372.00	0.045666
373.00	0.047841
374.00	0.049679
375.00	0.052227
376.00	0.054420
377.00	0.056024
378.00	0.058742
379.00	0.061298
380.00	0.063731
381.00	0.066408
382.00	0.069133
383.00	0.072355
384.00	0.074816
385.00	0.077721
386.00	0.080996
387.00	0.084219
388.00	0.087430
389.00	0.090916
390.00	0.094463
391.00	0.097818
392.00	0.10127
393.00	0.10518
394.00	0.10844
395.00	0.11238
396.00	0.11624
397.00	0.11935
398.00	0.12317
399.00	0.12683
400.00	0.13027
401.00	0.13328
402.00	0.13693
403.00	0.14050
404.00	0.14357
405.00	0.14749
406.00	0.15070
407.00	0.15326
408.00	0.15647
409.00	0.15989
410.00	0.16272
411.00	0.16613
412.00	0.16868
413.00	0.17157
414.00	0.17380
415.00	0.17650
416.00	0.17828
417.00	0.18049
418.00	0.18216
419.00	0.18347
420.00	0.18469
421.00	0.18533
422.00	0.18541
423.00	0.18538
424.00	0.18447
425.00	0.18387
426.00	0.18217
427.00	0.17985
428.00	0.17740
429.00	0.17397
430.00	0.17035
431.00	0.16669
432.00	0.16261
433.00	0.15652
434.00	0.15114
435.00	0.14566
436.00	0.13974
437.00	0.13398
438.00	0.12743
439.00	0.12151
440.00	0.11474
