Wavelength (nm)	L07 abs N
220.00	0.87171
221.00	0.83340
222.00	0.79627
223.00	0.76173
224.00	0.72948
225.00	0.69953
226.00	0.67190
227.00	0.64718
228.00	0.62309
229.00	0.60145
230.00	0.58076
231.00	0.56174
232.00	0.54390
233.00	0.52740
234.00	0.51243
235.00	0.49799
236.00	0.48525
237.00	0.47346
238.00	0.46310
239.00	0.45376
240.00	0.44577
241.00	0.43878
242.00	0.43280
243.00	0.42771
244.00	0.42362
245.00	0.42051
246.00	0.41810
247.00	0.41678
248.00	0.41605
249.00	0.41598
250.00	0.41644
251.00	0.41759
252.00	0.41951
253.00	0.42142
254.00	0.42350
255.00	0.42618
256.00	0.42877
257.00	0.43208
258.00	0.43530
259.00	0.43941
260.00	0.44348
261.00	0.44847
262.00	0.45437
263.00	0.46163
264.00	0.46948
265.00	0.47935
266.00	0.48961
267.00	0.50048
268.00	0.51214
269.00	0.52603
270.00	0.54044
271.00	0.55581
272.00	0.57139
273.00	0.58798
274.00	0.60508
275.00	0.62189
276.00	0.63942
277.00	0.65638
278.00	0.67207
279.00	0.68752
280.00	0.70041
281.00	0.71288
282.00	0.72394
283.00	0.73251
284.00	0.73987
285.00	0.74526
286.00	0.74900
287.00	0.75086
288.00	0.75320
289.00	0.75501
290.00	0.75587
291.00	0.75707
292.00	0.75798
293.00	0.75966
294.00	0.76173
295.00	0.76294
296.00	0.76550
297.00	0.76904
298.00	0.77208
299.00	0.77501
300.00	0.77918
301.00	0.78243
302.00	0.78691
303.00	0.79191
304.00	0.79456
305.00	0.79772
306.00	0.80259
307.00	0.80511
308.00	0.80727
309.00	0.80914
310.00	0.81035
311.00	0.81104
312.00	0.81092
313.00	0.80930
314.00	0.80687
315.00	0.80445
316.00	0.79954
317.00	0.79478
318.00	0.78710
319.00	0.77840
320.00	0.76746
321.00	0.75370
322.00	0.73852
323.00	0.72135
324.00	0.70096
325.00	0.67960
326.00	0.65567
327.00	0.62997
328.00	0.60310
329.00	0.57658
330.00	0.54851
331.00	0.52110
332.00	0.49379
333.00	0.46716
334.00	0.44100
335.00	0.41659
336.00	0.39260
337.00	0.36983
338.00	0.34835
339.00	0.32866
340.00	0.31025
341.00	0.29383
342.00	0.27857
343.00	0.26491
344.00	0.25240
345.00	0.24134
346.00	0.23065
347.00	0.22145
348.00	0.21271
349.00	0.20470
350.00	0.19686
351.00	0.18998
352.00	0.18316
353.00	0.17692
354.00	0.17038
355.00	0.16409
356.00	0.15850
357.00	0.15363
358.00	0.14879
359.00	0.14413
360.00	0.13923
361.00	0.13452
362.00	0.13010
363.00	0.12592
364.00	0.12175
365.00	0.11821
366.00	0.11431
367.00	0.11055
368.00	0.10689
369.00	0.10351
370.00	0.10034
371.00	0.097372
372.00	0.094406
373.00	0.091674
374.00	0.089266
375.00	0.086673
376.00	0.084776
377.00	0.082615
378.00	0.080773
379.00	0.078694
380.00	0.077469
381.00	0.076302
382.00	0.074856
383.00	0.073694
384.00	0.072692
385.00	0.071806
386.00	0.070881
387.00	0.069301
388.00	0.068748
389.00	0.067722
390.00	0.066868
391.00	0.066474
392.00	0.065885
393.00	0.064585
394.00	0.063755
395.00	0.063299
396.00	0.062454
397.00	0.061788
398.00	0.060933
399.00	0.060433
400.00	0.059992
401.00	0.059188
402.00	0.057829
403.00	0.057414
404.00	0.056493
405.00	0.055857
406.00	0.054813
407.00	0.054270
408.00	0.052770
409.00	0.052318
410.00	0.051222
411.00	0.049935
412.00	0.049109
413.00	0.047879
414.00	0.047212
415.00	0.046462
416.00	0.045340
417.00	0.044259
418.00	0.043598
419.00	0.042500
420.00	0.041608
421.00	0.040251
422.00	0.039534
423.00	0.038749
424.00	0.037390
425.00	0.036623
426.00	0.035977
427.00	0.034593
428.00	0.034175
429.00	0.033124
430.00	0.031987
431.00	0.031363
432.00	0.030465
433.00	0.029747
434.00	0.028751
435.00	0.028281
436.00	0.027319
437.00	0.026870
438.00	0.026296
439.00	0.025827
440.00	0.025283
441.00	0.024306
442.00	0.023926
443.00	0.023362
444.00	0.023712
445.00	0.023380
446.00	0.023259
447.00	0.022915
448.00	0.022796
449.00	0.022660
450.00	0.022824
451.00	0.022655
452.00	0.022657
453.00	0.023000
454.00	0.023597
455.00	0.023239
456.00	0.023779
457.00	0.023899
458.00	0.024144
459.00	0.025403
460.00	0.025909
461.00	0.026154
462.00	0.027232
463.00	0.028347
464.00	0.028694
465.00	0.029640
466.00	0.030676
467.00	0.031911
468.00	0.033224
469.00	0.034581
470.00	0.035929
471.00	0.037706
472.00	0.039077
473.00	0.040903
474.00	0.042500
475.00	0.045303
476.00	0.046570
477.00	0.049360
478.00	0.051103
479.00	0.053964
480.00	0.056621
481.00	0.059428
482.00	0.061883
483.00	0.064608
484.00	0.067593
485.00	0.072118
486.00	0.074821
487.00	0.077526
488.00	0.082165
489.00	0.087003
490.00	0.091464
491.00	0.095834
492.00	0.10113
493.00	0.10564
494.00	0.11069
495.00	0.11669
496.00	0.12150
497.00	0.12685
498.00	0.13361
499.00	0.14032
500.00	0.14720
501.00	0.15365
502.00	0.16134
503.00	0.16937
504.00	0.17694
505.00	0.18558
506.00	0.19300
507.00	0.20191
508.00	0.21104
509.00	0.22004
510.00	0.22994
511.00	0.23916
512.00	0.25074
513.00	0.25949
514.00	0.27028
515.00	0.27954
516.00	0.29119
517.00	0.30279
518.00	0.31251
519.00	0.32490
520.00	0.33373
521.00	0.34462
522.00	0.35610
523.00	0.36605
524.00	0.37728
525.00	0.38820
526.00	0.40036
527.00	0.41260
528.00	0.42502
529.00	0.43585
530.00	0.44828
531.00	0.45972
532.00	0.47255
533.00	0.48705
534.00	0.49876
535.00	0.51184
536.00	0.52438
537.00	0.53635
538.00	0.55054
539.00	0.56341
540.00	0.57742
541.00	0.59101
542.00	0.60394
543.00	0.61819
544.00	0.63099
545.00	0.64510
546.00	0.65892
547.00	0.67416
548.00	0.68643
549.00	0.69916
550.00	0.71318
551.00	0.72665
552.00	0.73963
553.00	0.75065
554.00	0.76500
555.00	0.77622
556.00	0.78881
557.00	0.80148
558.00	0.81187
559.00	0.82276
560.00	0.83432
561.00	0.84551
562.00	0.85328
563.00	0.86691
564.00	0.87732
565.00	0.88529
566.00	0.89432
567.00	0.90363
568.00	0.91211
569.00	0.92103
570.00	0.92802
571.00	0.93412
572.00	0.94148
573.00	0.94769
574.00	0.95475
575.00	0.95999
576.00	0.96401
577.00	0.97046
578.00	0.97381
579.00	0.97799
580.00	0.98230
581.00	0.98613
582.00	0.98813
583.00	0.99071
584.00	0.99367
585.00	0.99525
586.00	0.99635
587.00	0.99888
588.00	0.99835
589.00	0.99891
590.00	1.00000
591.00	0.99914
592.00	0.99828
593.00	0.99810
594.00	0.99691
595.00	0.99467
596.00	0.99416
597.00	0.99181
598.00	0.98893
599.00	0.98668
600.00	0.98471
601.00	0.98100
602.00	0.97835
603.00	0.97402
604.00	0.96998
605.00	0.96478
606.00	0.96133
607.00	0.95499
608.00	0.95089
609.00	0.94447
610.00	0.93775
611.00	0.93213
612.00	0.92530
613.00	0.91862
614.00	0.91025
615.00	0.90255
616.00	0.89468
617.00	0.88792
618.00	0.87926
619.00	0.86940
620.00	0.86026
621.00	0.85189
622.00	0.83984
623.00	0.83074
624.00	0.82189
625.00	0.81098
626.00	0.80004
627.00	0.78905
628.00	0.77754
629.00	0.76652
630.00	0.75578
631.00	0.74413
632.00	0.73201
633.00	0.72056
634.00	0.70815
635.00	0.69683
636.00	0.68502
637.00	0.67207
638.00	0.65985
639.00	0.64772
640.00	0.63720
641.00	0.62222
642.00	0.61228
643.00	0.59953
644.00	0.58803
645.00	0.57463
646.00	0.56477
647.00	0.55405
648.00	0.54272
649.00	0.53328
650.00	0.52292
651.00	0.51091
652.00	0.50036
653.00	0.48869
654.00	0.47917
655.00	0.46495
656.00	0.45765
657.00	0.45768
658.00	0.44696
659.00	0.43501
660.00	0.42517
661.00	0.41648
662.00	0.40801
663.00	0.40183
664.00	0.39475
665.00	0.38771
666.00	0.38222
667.00	0.37346
668.00	0.36860
669.00	0.36144
670.00	0.35561
671.00	0.35005
672.00	0.34386
673.00	0.33936
674.00	0.33495
675.00	0.33009
676.00	0.32568
677.00	0.32056
678.00	0.31701
679.00	0.31178
680.00	0.30811
681.00	0.30445
682.00	0.30084
683.00	0.29680
684.00	0.29299
685.00	0.28923
686.00	0.28542
687.00	0.28189
688.00	0.27804
689.00	0.27401
690.00	0.27039
691.00	0.26655
692.00	0.26314
693.00	0.25887
694.00	0.25451
695.00	0.25033
696.00	0.24652
697.00	0.24182
698.00	0.23775
699.00	0.23309
700.00	0.22833
701.00	0.22279
702.00	0.21864
703.00	0.21342
704.00	0.20900
705.00	0.20420
706.00	0.19933
707.00	0.19396
708.00	0.19063
709.00	0.18545
710.00	0.18090
711.00	0.17631
712.00	0.17224
713.00	0.16717
714.00	0.16290
715.00	0.15924
716.00	0.15590
717.00	0.15125
718.00	0.14721
719.00	0.14323
720.00	0.13965
721.00	0.13641
722.00	0.13355
723.00	0.13020
724.00	0.12678
725.00	0.12375
726.00	0.12099
727.00	0.11842
728.00	0.11558
729.00	0.11286
730.00	0.11017
731.00	0.10794
732.00	0.10515
733.00	0.10334
734.00	0.10118
735.00	0.098672
736.00	0.096394
737.00	0.094542
738.00	0.093211
739.00	0.091330
740.00	0.089231
741.00	0.087659
742.00	0.085684
743.00	0.083836
744.00	0.082774
745.00	0.081369
746.00	0.079481
747.00	0.077877
748.00	0.076965
749.00	0.075814
750.00	0.074531
751.00	0.073014
752.00	0.071424
753.00	0.070660
754.00	0.069004
755.00	0.067992
756.00	0.067476
757.00	0.065982
758.00	0.064798
759.00	0.064123
760.00	0.063067
761.00	0.061923
762.00	0.061647
763.00	0.060681
764.00	0.059734
765.00	0.058390
766.00	0.057433
767.00	0.056605
768.00	0.056120
769.00	0.055260
770.00	0.054506
771.00	0.053799
772.00	0.053006
773.00	0.052702
774.00	0.051741
775.00	0.051164
776.00	0.050968
777.00	0.050168
778.00	0.048781
779.00	0.048826
780.00	0.048029
781.00	0.047608
782.00	0.047147
783.00	0.045961
784.00	0.045499
785.00	0.045173
786.00	0.044534
787.00	0.044016
788.00	0.043295
789.00	0.042909
790.00	0.042443
791.00	0.042010
792.00	0.041287
793.00	0.041021
794.00	0.040596
795.00	0.040311
796.00	0.039682
797.00	0.038605
798.00	0.038524
799.00	0.038686
800.00	0.038162
801.00	0.037238
802.00	0.036231
803.00	0.036638
804.00	0.036654
805.00	0.035673
806.00	0.035214
807.00	0.035628
808.00	0.034329
809.00	0.034130
810.00	0.033958
811.00	0.033842
812.00	0.033347
813.00	0.033390
814.00	0.032854
815.00	0.031932
816.00	0.031856
817.00	0.031579
818.00	0.030699
819.00	0.031096
820.00	0.030413
821.00	0.030743
822.00	0.030622
823.00	0.029691
824.00	0.029446
825.00	0.029268
826.00	0.028576
827.00	0.029043
828.00	0.028545
829.00	0.028156
830.00	0.028202
831.00	0.027535
832.00	0.027476
833.00	0.026976
834.00	0.027240
835.00	0.026739
836.00	0.025958
837.00	0.025927
838.00	0.025800
839.00	0.024896
840.00	0.024837
841.00	0.024650
842.00	0.024263
843.00	0.024436
844.00	0.024036
845.00	0.023741
846.00	0.023244
847.00	0.023065
848.00	0.023170
849.00	0.022287
850.00	0.022522
851.00	0.022092
852.00	0.021734
853.00	0.021852
854.00	0.022433
855.00	0.021328
856.00	0.021582
857.00	0.021426
858.00	0.020179
859.00	0.020300
860.00	0.020940
861.00	0.020709
862.00	0.020342
863.00	0.020537
864.00	0.020284
865.00	0.019707
866.00	0.019115
867.00	0.019017
868.00	0.019496
869.00	0.018173
870.00	0.019038
871.00	0.018451
872.00	0.018285
873.00	0.017610
874.00	0.018125
875.00	0.018100
876.00	0.018361
877.00	0.016946
878.00	0.016694
