Wavelength (nm)	L09 abs N
200.00	0.13279
201.00	0.16270
202.00	0.15422
203.00	0.13654
204.00	0.15229
205.00	0.14054
206.00	0.15048
207.00	0.14830
208.00	0.12434
209.00	0.15288
210.00	0.16941
211.00	0.17018
212.00	0.17441
213.00	0.19170
214.00	0.23653
215.00	0.27880
216.00	0.29677
217.00	0.29208
218.00	0.27899
219.00	0.26265
220.00	0.24491
221.00	0.22709
222.00	0.20918
223.00	0.19140
224.00	0.17414
225.00	0.15888
226.00	0.14588
227.00	0.13518
228.00	0.12617
229.00	0.11839
230.00	0.11168
231.00	0.10547
232.00	0.099983
233.00	0.094692
234.00	0.089544
235.00	0.084667
236.00	0.079973
237.00	0.075326
238.00	0.071230
239.00	0.067557
240.00	0.064326
241.00	0.061488
242.00	0.059254
243.00	0.057512
244.00	0.056231
245.00	0.055445
246.00	0.055122
247.00	0.055322
248.00	0.055956
249.00	0.056944
250.00	0.058421
251.00	0.060308
252.00	0.062305
253.00	0.064840
254.00	0.067533
255.00	0.070648
256.00	0.073843
257.00	0.077499
258.00	0.081494
259.00	0.085801
260.00	0.090490
261.00	0.095532
262.00	0.10094
263.00	0.10668
264.00	0.11277
265.00	0.11923
266.00	0.12555
267.00	0.13218
268.00	0.13821
269.00	0.14399
270.00	0.14961
271.00	0.15447
272.00	0.15908
273.00	0.16297
274.00	0.16588
275.00	0.16874
276.00	0.17086
277.00	0.17248
278.00	0.17383
279.00	0.17472
280.00	0.17553
281.00	0.17630
282.00	0.17680
283.00	0.17752
284.00	0.17817
285.00	0.17888
286.00	0.17948
287.00	0.18020
288.00	0.18076
289.00	0.18135
290.00	0.18185
291.00	0.18184
292.00	0.18158
293.00	0.18123
294.00	0.18042
295.00	0.17888
296.00	0.17697
297.00	0.17427
298.00	0.17099
299.00	0.16713
300.00	0.16265
301.00	0.15779
302.00	0.15240
303.00	0.14671
304.00	0.14076
305.00	0.13423
306.00	0.12790
307.00	0.12148
308.00	0.11552
309.00	0.10959
310.00	0.10403
311.00	0.099277
312.00	0.094800
313.00	0.091260
314.00	0.087802
315.00	0.084646
316.00	0.082435
317.00	0.080515
318.00	0.079061
319.00	0.077698
320.00	0.076514
321.00	0.075906
322.00	0.075497
323.00	0.075526
324.00	0.075538
325.00	0.075771
326.00	0.076287
327.00	0.077096
328.00	0.078021
329.00	0.079055
330.00	0.080348
331.00	0.081641
332.00	0.083135
333.00	0.084560
334.00	0.086337
335.00	0.087907
336.00	0.089640
337.00	0.091559
338.00	0.093397
339.00	0.095256
340.00	0.097392
341.00	0.099496
342.00	0.10162
343.00	0.10395
344.00	0.10592
345.00	0.10819
346.00	0.11061
347.00	0.11318
348.00	0.11536
349.00	0.11811
350.00	0.12048
351.00	0.12326
352.00	0.12523
353.00	0.12740
354.00	0.12947
355.00	0.13142
356.00	0.13302
357.00	0.13395
358.00	0.13501
359.00	0.13542
360.00	0.13567
361.00	0.13577
362.00	0.13491
363.00	0.13387
364.00	0.13194
365.00	0.12979
366.00	0.12697
367.00	0.12352
368.00	0.11970
369.00	0.11563
370.00	0.11073
371.00	0.10608
372.00	0.10075
373.00	0.095544
374.00	0.089752
375.00	0.084369
376.00	0.078497
377.00	0.073050
378.00	0.067516
379.00	0.062337
380.00	0.057475
381.00	0.052752
382.00	0.048305
383.00	0.044584
384.00	0.040737
385.00	0.037286
386.00	0.034184
387.00	0.031704
388.00	0.029006
389.00	0.027013
390.00	0.025140
391.00	0.023440
392.00	0.021916
393.00	0.021038
394.00	0.019983
395.00	0.019317
396.00	0.018518
397.00	0.018335
398.00	0.017950
399.00	0.017726
400.00	0.017545
401.00	0.017462
402.00	0.017555
403.00	0.017585
404.00	0.017412
405.00	0.017520
406.00	0.017907
407.00	0.017999
408.00	0.018907
409.00	0.019094
410.00	0.019673
