Wavelength (nm)	L10 abs N
200.00	0.12620
201.00	0.15353
202.00	0.15247
203.00	0.13361
204.00	0.17188
205.00	0.12430
206.00	0.13609
207.00	0.18595
208.00	0.16455
209.00	0.15238
210.00	0.18476
211.00	0.18044
212.00	0.18034
213.00	0.21534
214.00	0.28021
215.00	0.32927
216.00	0.34751
217.00	0.34395
218.00	0.32866
219.00	0.31023
220.00	0.29030
221.00	0.27031
222.00	0.25004
223.00	0.23022
224.00	0.21109
225.00	0.19388
226.00	0.17846
227.00	0.16525
228.00	0.15371
229.00	0.14331
230.00	0.13403
231.00	0.12529
232.00	0.11768
233.00	0.11067
234.00	0.10438
235.00	0.098479
236.00	0.093118
237.00	0.088066
238.00	0.083390
239.00	0.078852
240.00	0.074442
241.00	0.070504
242.00	0.066677
243.00	0.063203
244.00	0.060164
245.00	0.057492
246.00	0.055219
247.00	0.053416
248.00	0.052311
249.00	0.051674
250.00	0.051441
251.00	0.051682
252.00	0.052379
253.00	0.053238
254.00	0.054509
255.00	0.055926
256.00	0.057887
257.00	0.059889
258.00	0.062327
259.00	0.064770
260.00	0.067721
261.00	0.071123
262.00	0.074759
263.00	0.078907
264.00	0.083403
265.00	0.088109
266.00	0.093556
267.00	0.099299
268.00	0.10516
269.00	0.11123
270.00	0.11744
271.00	0.12394
272.00	0.13045
273.00	0.13678
274.00	0.14298
275.00	0.14870
276.00	0.15419
277.00	0.15949
278.00	0.16398
279.00	0.16801
280.00	0.17213
281.00	0.17569
282.00	0.17866
283.00	0.18158
284.00	0.18426
285.00	0.18655
286.00	0.18864
287.00	0.19026
288.00	0.19177
289.00	0.19302
290.00	0.19441
291.00	0.19529
292.00	0.19595
293.00	0.19613
294.00	0.19636
295.00	0.19584
296.00	0.19499
297.00	0.19327
298.00	0.19146
299.00	0.18870
300.00	0.18524
301.00	0.18129
302.00	0.17673
303.00	0.17129
304.00	0.16521
305.00	0.15864
306.00	0.15181
307.00	0.14462
308.00	0.13716
309.00	0.13005
310.00	0.12296
311.00	0.11588
312.00	0.10953
313.00	0.10358
314.00	0.098459
315.00	0.093625
316.00	0.089462
317.00	0.085828
318.00	0.082656
319.00	0.079753
320.00	0.077354
321.00	0.075500
322.00	0.073859
323.00	0.072786
324.00	0.071503
325.00	0.070642
326.00	0.070158
327.00	0.069693
328.00	0.069454
329.00	0.069385
330.00	0.069507
331.00	0.069595
332.00	0.069921
333.00	0.070505
334.00	0.071235
335.00	0.072100
336.00	0.072970
337.00	0.073814
338.00	0.074830
339.00	0.075968
340.00	0.077193
341.00	0.078328
342.00	0.079553
343.00	0.081045
344.00	0.082494
345.00	0.083773
346.00	0.085533
347.00	0.087000
348.00	0.088604
349.00	0.090327
350.00	0.091832
351.00	0.093499
352.00	0.095462
353.00	0.097300
354.00	0.098983
355.00	0.10078
356.00	0.10254
357.00	0.10373
358.00	0.10511
359.00	0.10614
360.00	0.10765
361.00	0.10888
362.00	0.10984
363.00	0.11042
364.00	0.11047
365.00	0.11083
366.00	0.11100
367.00	0.11104
368.00	0.11090
369.00	0.10970
370.00	0.10852
371.00	0.10759
372.00	0.10583
373.00	0.10415
374.00	0.10195
375.00	0.099863
376.00	0.097124
377.00	0.094004
378.00	0.090813
379.00	0.087680
380.00	0.084390
381.00	0.080844
382.00	0.077508
383.00	0.073858
384.00	0.069848
385.00	0.065978
386.00	0.062251
387.00	0.057991
388.00	0.054702
389.00	0.051108
390.00	0.047388
391.00	0.043879
392.00	0.040867
393.00	0.038161
394.00	0.035530
395.00	0.032766
396.00	0.030499
397.00	0.028384
398.00	0.026236
399.00	0.024286
400.00	0.023093
401.00	0.021704
402.00	0.020515
403.00	0.019414
404.00	0.018429
405.00	0.017887
406.00	0.017178
407.00	0.016794
408.00	0.016565
409.00	0.016567
410.00	0.016386
411.00	0.016187
412.00	0.016498
413.00	0.016482
414.00	0.016367
415.00	0.016669
416.00	0.016888
417.00	0.017408
418.00	0.017821
419.00	0.018151
420.00	0.018636
421.00	0.019316
422.00	0.019944
423.00	0.020248
424.00	0.020802
425.00	0.021543
426.00	0.022529
427.00	0.023378
428.00	0.023959
429.00	0.024519
430.00	0.025868
431.00	0.026397
432.00	0.027486
433.00	0.028642
434.00	0.029671
435.00	0.030456
436.00	0.031707
437.00	0.032798
438.00	0.034025
439.00	0.035568
440.00	0.036409
441.00	0.037805
442.00	0.039146
443.00	0.040473
444.00	0.041792
445.00	0.043514
446.00	0.044966
447.00	0.046417
448.00	0.047949
449.00	0.049408
450.00	0.051252
451.00	0.053027
452.00	0.054637
453.00	0.056465
454.00	0.058607
455.00	0.060340
456.00	0.062315
457.00	0.064196
458.00	0.066403
459.00	0.068302
460.00	0.070598
461.00	0.072779
462.00	0.075217
463.00	0.078091
464.00	0.080166
465.00	0.082534
466.00	0.084735
467.00	0.087789
468.00	0.090460
469.00	0.092900
470.00	0.096319
471.00	0.099311
472.00	0.10184
473.00	0.10545
474.00	0.10821
475.00	0.11127
476.00	0.11485
477.00	0.11847
478.00	0.12147
479.00	0.12500
480.00	0.12911
481.00	0.13236
482.00	0.13604
483.00	0.14034
484.00	0.14426
485.00	0.14936
486.00	0.15224
487.00	0.15524
488.00	0.16025
489.00	0.16499
490.00	0.16871
491.00	0.17380
492.00	0.17884
493.00	0.18333
494.00	0.18786
