Wavelength (nm)	M-1, 198-55-0, Perylene.ems
420.00	0.019548
420.50	0.023280
421.00	0.026287
421.50	0.032061
422.00	0.035629
422.50	0.042949
423.00	0.048751
423.50	0.060355
424.00	0.067591
424.50	0.082827
425.00	0.094658
425.50	0.11675
426.00	0.12937
426.50	0.15530
427.00	0.17323
427.50	0.20747
428.00	0.22724
428.50	0.26247
429.00	0.29084
429.50	0.34446
430.00	0.37371
430.50	0.44522
431.00	0.50237
431.50	0.59681
432.00	0.65256
432.50	0.74214
433.00	0.81156
433.50	0.89380
434.00	0.93414
434.50	0.97561
435.00	0.99405
435.50	1.00000
436.00	0.99374
436.50	0.97299
437.00	0.94678
437.50	0.90887
438.00	0.88870
438.50	0.85833
439.00	0.83952
439.50	0.82120
440.00	0.81513
440.50	0.80972
441.00	0.80498
441.50	0.79946
442.00	0.79231
442.50	0.77728
443.00	0.76252
443.50	0.73000
444.00	0.71276
444.50	0.67709
445.00	0.65092
445.50	0.60985
446.00	0.58939
446.50	0.55542
447.00	0.53682
447.50	0.50548
448.00	0.49230
448.50	0.47029
449.00	0.45832
449.50	0.43929
450.00	0.42984
450.50	0.41551
451.00	0.40666
451.50	0.39442
452.00	0.38893
452.50	0.38228
453.00	0.37865
453.50	0.37477
454.00	0.37478
454.50	0.37802
455.00	0.38221
455.50	0.39384
456.00	0.40195
456.50	0.42285
457.00	0.44274
457.50	0.47910
458.00	0.50185
458.50	0.54313
459.00	0.57782
459.50	0.62554
460.00	0.64830
460.50	0.68359
461.00	0.70902
461.50	0.73511
462.00	0.74643
462.50	0.75665
463.00	0.76095
463.50	0.76033
464.00	0.75844
464.50	0.75179
465.00	0.74613
465.50	0.73549
466.00	0.73060
466.50	0.72211
467.00	0.71750
467.50	0.70621
468.00	0.70129
468.50	0.69048
469.00	0.68134
469.50	0.66270
470.00	0.65260
470.50	0.63169
471.00	0.61707
471.50	0.59014
472.00	0.57711
472.50	0.55149
473.00	0.53535
473.50	0.50990
474.00	0.49693
474.50	0.47532
475.00	0.46131
475.50	0.43880
476.00	0.42721
476.50	0.40872
477.00	0.39415
477.50	0.37326
478.00	0.36312
478.50	0.34233
479.00	0.32828
479.50	0.30891
480.00	0.30026
480.50	0.28489
481.00	0.27430
481.50	0.26087
482.00	0.25324
482.50	0.24442
483.00	0.23767
483.50	0.22902
484.00	0.22558
484.50	0.22014
485.00	0.21653
485.50	0.21338
486.00	0.21215
486.50	0.21104
487.00	0.21107
487.50	0.21295
488.00	0.21455
488.50	0.21780
489.00	0.22146
489.50	0.22778
490.00	0.23120
490.50	0.23800
491.00	0.24235
491.50	0.24878
492.00	0.25240
492.50	0.25697
493.00	0.26028
493.50	0.26320
494.00	0.26446
494.50	0.26620
495.00	0.26700
495.50	0.26799
496.00	0.26853
496.50	0.26830
497.00	0.26840
497.50	0.26757
498.00	0.26743
498.50	0.26580
499.00	0.26407
499.50	0.26085
500.00	0.25875
500.50	0.25430
501.00	0.24971
501.50	0.24286
502.00	0.23948
502.50	0.23150
503.00	0.22586
503.50	0.21637
504.00	0.21171
504.50	0.20474
505.00	0.19875
505.50	0.19124
506.00	0.18626
506.50	0.17980
507.00	0.17468
507.50	0.16679
508.00	0.16314
508.50	0.15709
509.00	0.15144
509.50	0.14417
510.00	0.14089
510.50	0.13513
511.00	0.12920
511.50	0.12311
512.00	0.11976
512.50	0.11427
513.00	0.11043
513.50	0.10431
514.00	0.10203
514.50	0.097469
515.00	0.094429
515.50	0.089663
516.00	0.087541
516.50	0.083325
517.00	0.081128
517.50	0.077421
518.00	0.075851
518.50	0.072581
519.00	0.070852
519.50	0.067868
520.00	0.066859
520.50	0.064525
521.00	0.063095
521.50	0.061189
522.00	0.060369
522.50	0.058967
523.00	0.058221
523.50	0.057297
524.00	0.056875
524.50	0.056351
525.00	0.055852
525.50	0.055618
526.00	0.055530
526.50	0.055183
527.00	0.055090
527.50	0.054751
528.00	0.054790
528.50	0.054480
529.00	0.054319
529.50	0.054136
530.00	0.053957
530.50	0.053785
531.00	0.053721
