Wavelength (nm)	M-3, RRN 9309914, Perylene, PMI(OR).ems
500.00	0.0012088
501.00	0.0013352
502.00	0.0015440
503.00	0.0017418
504.00	0.0020220
505.00	0.0023792
506.00	0.0028188
507.00	0.0032803
508.00	0.0038572
509.00	0.0045276
510.00	0.0053683
511.00	0.0063188
512.00	0.0075277
513.00	0.0088464
514.00	0.010660
515.00	0.012583
516.00	0.015000
517.00	0.017748
518.00	0.021264
519.00	0.024781
520.00	0.029231
521.00	0.033957
522.00	0.039891
523.00	0.045880
524.00	0.053023
525.00	0.059892
526.00	0.068683
527.00	0.076925
528.00	0.086815
529.00	0.097255
530.00	0.10934
531.00	0.12088
532.00	0.13517
533.00	0.14890
534.00	0.16539
535.00	0.18187
536.00	0.20110
537.00	0.22198
538.00	0.24671
539.00	0.27089
540.00	0.30001
541.00	0.33023
542.00	0.36320
543.00	0.39506
544.00	0.43133
545.00	0.46704
546.00	0.50661
547.00	0.54397
548.00	0.58243
549.00	0.62089
550.00	0.66485
551.00	0.69782
552.00	0.73628
553.00	0.77474
554.00	0.80771
555.00	0.83519
556.00	0.86815
557.00	0.89013
558.00	0.91211
559.00	0.93409
560.00	0.95057
561.00	0.96706
562.00	0.97805
563.00	0.98354
564.00	0.99453
565.00	0.99453
566.00	1.0000
567.00	1.0000
568.00	0.99453
569.00	0.99453
570.00	0.98904
571.00	0.97805
572.00	0.97255
573.00	0.96156
574.00	0.95057
575.00	0.93958
576.00	0.92859
577.00	0.91761
578.00	0.90112
579.00	0.89013
580.00	0.87914
581.00	0.87365
582.00	0.86266
583.00	0.85716
584.00	0.85167
585.00	0.84617
586.00	0.84068
587.00	0.84068
588.00	0.84068
589.00	0.84068
590.00	0.84617
591.00	0.85167
592.00	0.85716
593.00	0.86266
594.00	0.87365
595.00	0.88464
596.00	0.89013
597.00	0.90112
598.00	0.91211
599.00	0.92310
600.00	0.93409
601.00	0.94508
602.00	0.95607
603.00	0.96156
604.00	0.97255
605.00	0.97805
606.00	0.98354
607.00	0.98904
608.00	0.99453
609.00	0.99453
610.00	0.99453
611.00	0.99453
612.00	0.99453
613.00	0.98904
614.00	0.98354
615.00	0.97805
616.00	0.96706
617.00	0.96156
618.00	0.95057
619.00	0.93958
620.00	0.92859
621.00	0.91761
622.00	0.90662
623.00	0.89563
624.00	0.87914
625.00	0.86266
626.00	0.84068
627.00	0.82420
628.00	0.80222
629.00	0.78573
630.00	0.76925
631.00	0.75277
632.00	0.73628
633.00	0.72529
634.00	0.70881
635.00	0.69232
636.00	0.67584
637.00	0.66485
638.00	0.64837
639.00	0.63738
640.00	0.62639
641.00	0.61540
642.00	0.60441
643.00	0.59892
644.00	0.58793
645.00	0.58243
646.00	0.57694
647.00	0.57144
648.00	0.56595
649.00	0.56045
650.00	0.55496
651.00	0.54946
652.00	0.54837
653.00	0.54562
654.00	0.54232
655.00	0.54122
656.00	0.53793
657.00	0.53573
658.00	0.53243
659.00	0.53133
660.00	0.52639
661.00	0.52419
662.00	0.51924
663.00	0.51705
664.00	0.51265
665.00	0.50935
666.00	0.50496
667.00	0.50221
668.00	0.49672
669.00	0.49287
670.00	0.48628
671.00	0.48243
672.00	0.47584
673.00	0.46979
674.00	0.46265
675.00	0.45551
676.00	0.44726
677.00	0.44012
678.00	0.43133
679.00	0.42309
680.00	0.41594
681.00	0.40770
682.00	0.39836
683.00	0.39122
684.00	0.38188
685.00	0.37309
686.00	0.36429
687.00	0.35605
688.00	0.34671
689.00	0.34012
690.00	0.33188
691.00	0.32418
692.00	0.31704
693.00	0.30990
694.00	0.30166
695.00	0.29506
696.00	0.28737
697.00	0.28023
698.00	0.27308
699.00	0.26539
700.00	0.25935
701.00	0.25385
702.00	0.24781
703.00	0.24286
704.00	0.23737
705.00	0.23242
706.00	0.22693
707.00	0.22198
708.00	0.21759
709.00	0.21319
710.00	0.20935
711.00	0.20495
712.00	0.20110
713.00	0.19891
714.00	0.19506
715.00	0.19231
716.00	0.19011
717.00	0.18627
718.00	0.18462
719.00	0.18132
720.00	0.17913
721.00	0.17693
722.00	0.17308
723.00	0.17198
724.00	0.16978
725.00	0.16704
726.00	0.16539
727.00	0.16319
728.00	0.16099
729.00	0.15989
730.00	0.15715
731.00	0.15495
732.00	0.15275
733.00	0.15165
734.00	0.14890
735.00	0.14671
736.00	0.14451
737.00	0.14286
738.00	0.14011
739.00	0.13846
740.00	0.13682
741.00	0.13462
742.00	0.13187
743.00	0.13022
744.00	0.12748
745.00	0.12528
746.00	0.12253
747.00	0.12143
748.00	0.11813
749.00	0.11539
750.00	0.11374
751.00	0.11099
752.00	0.10879
753.00	0.10660
754.00	0.10385
755.00	0.10165
756.00	0.099453
757.00	0.096706
758.00	0.095057
759.00	0.092310
760.00	0.090112
761.00	0.087914
762.00	0.086815
763.00	0.084617
764.00	0.082969
765.00	0.080222
766.00	0.079123
767.00	0.078024
768.00	0.075826
769.00	0.073628
770.00	0.071980
771.00	0.070881
772.00	0.068683
773.00	0.067035
774.00	0.065936
775.00	0.063738
776.00	0.062639
777.00	0.061540
778.00	0.059892
779.00	0.058793
780.00	0.057694
781.00	0.056595
782.00	0.054891
783.00	0.053957
784.00	0.052474
785.00	0.051485
786.00	0.050551
787.00	0.049122
788.00	0.048683
789.00	0.047529
790.00	0.046375
791.00	0.045990
792.00	0.045166
793.00	0.043682
794.00	0.042803
795.00	0.042144
796.00	0.041485
797.00	0.040880
798.00	0.040276
799.00	0.039671
800.00	0.038517
